Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.007295315
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.006395927
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.007776992
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,35,0,10000,0,10000,0.0115565
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.005676418
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,8,0,10000,0,10000,0.01135508
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,14,0,10000,0,10000,0.009097102
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.009017225
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,16,0,10000,0,10000,0.009366166
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.016006649
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.003001409
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,14,0,10000,0,10000,0.007329288
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.01736365
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,15,0,10000,0,10000,0.005171016
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,8,0,10000,0,10000,0.0092471
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.011567012
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,13,0,10000,0,10000,0.012608434
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,48,0,10000,0,10000,0.018940342
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00314194
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,26,0,10000,0,10000,0.016354249
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,12,0,10000,0,10000,0.010407843
2,0.0025,0,0,10000,1,49,0.003263345,4.47E-07,3544.294118,6088.913495,21,1,70,0,10000,0,10000,0.018497427
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,15,0,10000,0,10000,0.011270058
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.0164567
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,53,0,10000,0,10000,0.015642096
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.015743711
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,25,0,10000,0,10000,0.01212653
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,21,0,10000,0,10000,0.010277536
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,78,0,10000,0,10000,0.020208587
2,0.0025,0,0,10000,1,48,0.001761965,1.23E-07,3628.692308,10111.90533,17,1,65,0,10000,0,10000,0.025961284
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,15,0,10000,0,10000,0.008552782
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,26,0,10000,0,10000,0.018708368
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,63,0,10000,0,10000,0.013921899
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000,0.015985247
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0.0071784
2,0.0025,0,0,10000,1,47,0.001685554,4.00E-08,3741,18975.5,32,1,79,0,10000,0,10000,0.017169878
