Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,25,0,10000,0,10000,0.019524092
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.00803505
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.010735169
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000,0.012184832
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,43,0,10000,0,10000,0.012373994
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,28,0,10000,0,10000,0.012355699
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,29,0,10000,0,10000,0.014682295
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,19,0,10000,0,10000,0.010029604
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.007212365
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,51,0,10000,0,10000,0.011135418
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,25,0,10000,0,10000,0.005850897
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00424672
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.003905045
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,16,0,10000,0,10000,0.013427908
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,5,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.008074295
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.012988441
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.00634043
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,34,0,10000,0,10000,0.016843937
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,40,0,10000,0,10000,0.014324047
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,34,0,10000,0,10000,0.016351449
2,0.0025,0,0,10000,1,32,0.001947819,1.76E-07,3700.466667,9722.782222,19,1,51,0,10000,0,10000,0.019725597
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,40,0,10000,0,10000,0.017909012
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.021244482
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,22,0,10000,0,10000,0.018534391
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,62,0,10000,0,10000,0.018374287
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,121,0,10000,0,10000,0.02483044
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.007142827
2,0.0025,0,0,10000,1,35,0.004009185,1.34E-06,3436.604938,23364.95504,85,1,120,0,10000,0,10000,0.026200312
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.01571744
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,20,0,10000,0,10000,0.016084715
2,0.0025,0,0,10000,1,30,0.00118864,3.40E-08,3742.666667,2654.888889,13,1,43,0,10000,0,10000,0.029161923
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.014084829
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,70,0,10000,0,10000,0.0175366
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,23,0,10000,0,10000,0.011486067
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.017057453
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,22,0,10000,0,10000,0.010441667
2,0.0025,0,0,10000,1,93,0.003746768,9.17E-07,3421.890411,20405.30306,77,1,170,0,10000,0,10000,0.018627352
2,0.0025,0,0,10000,1,72,0.00200344,1.48E-07,3673.135593,10107.91382,63,1,135,0,10000,0,10000,0.023833353
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,47,0,10000,0,10000,0.01946475
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,45,0,10000,0,10000,0.031741293
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,77,0,10000,0,10000,0.022742233
2,0.003,0,0,10000,1,51,0.004403711,6.84E-07,3420.057143,16746.11102,39,1,90,0,10000,0,10000,0.039212773
2,0.003,456,0,10000,1,33,0.005448821,1.27E-05,3306.116343,157520.5903,726,1,759,0,10000,0,10000,0.024304204
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,22,0,10000,0,10000,0.036224584
2,0.003,0,0,10000,1,37,0.004327286,1.07E-05,3412.179487,125420.6772,238,1,275,0,10000,0,10000,0.028494516
2,0.003,0,0,10000,1,97,0.00540802,6.08E-08,3331.625,4800.734375,12,1,109,0,10000,0,10000,0.026157671
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.017491868
2,0.003,0,0,10000,1,80,0.005763005,1.79E-06,3239.175676,38718.334,78,1,158,0,10000,0,10000,0.027733099
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000,0.01373608
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.01484355
2,0.003,0,0,10000,1,46,0.002612158,2.23E-07,3627.739726,13535.535,77,1,123,0,10000,0,10000,0.02589856
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,97,0,10000,0,10000,0.028997362
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.012178725
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,50,0,10000,0,10000,0.021187418
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,37,0,10000,0,10000,0.029063461
