Low-Density Growth Rate,Migration Rate,Time Elapsed
2,0.01,596
2,0.01,589
2,0.01,682
2,0.01,639
2,0.01,606
2,0.01,639
2,0.01,581
2,0.01,666
2,0.01,622
2,0.01,681
2,0.01,517
2,0.01,596
2,0.01,607
2,0.01,600
2,0.01,648
2,0.01,578
2,0.01,706
2,0.01,739
2,0.01,586
2,0.01,563
2,0.0125,362
2,0.0125,416
2,0.0125,409
2,0.0125,431
2,0.0125,434
2,0.0125,451
2,0.0125,419
2,0.0125,416
2,0.0125,430
2,0.0125,460
2,0.0125,449
2,0.0125,394
2,0.0125,418
2,0.0125,412
2,0.0125,405
2,0.0125,421
2,0.0125,369
2,0.0125,392
2,0.0125,418
2,0.0125,448
2,0.015,301
2,0.015,306
2,0.015,305
2,0.015,274
2,0.015,326
2,0.015,308
2,0.015,289
2,0.015,337
2,0.015,281
2,0.015,297
2,0.015,323
2,0.015,287
2,0.015,297
2,0.015,305
2,0.015,297
2,0.015,344
2,0.015,324
2,0.015,334
2,0.015,297
2,0.015,269
2,0.0175,254
2,0.0175,223
2,0.0175,235
2,0.0175,234
2,0.0175,244
2,0.0175,226
2,0.0175,248
2,0.0175,211
2,0.0175,228
2,0.0175,262
2,0.0175,240
2,0.0175,224
2,0.0175,262
2,0.0175,241
2,0.0175,278
2,0.0175,263
2,0.0175,227
2,0.0175,235
2,0.0175,244
2,0.0175,239
2,0.02,195
2,0.02,205
2,0.02,190
2,0.02,185
2,0.02,201
2,0.02,205
2,0.02,205
2,0.02,201
2,0.02,203
2,0.02,201
2,0.02,211
2,0.02,205
2,0.02,208
2,0.02,215
2,0.02,208
2,0.02,208
2,0.02,194
2,0.02,199
2,0.02,200
2,0.02,197
2,0.0225,177
2,0.0225,177
2,0.0225,173
2,0.0225,160
2,0.0225,158
2,0.0225,160
2,0.0225,180
2,0.0225,170
2,0.0225,174
2,0.0225,181
2,0.0225,156
2,0.0225,181
2,0.0225,175
2,0.0225,165
2,0.0225,174
2,0.0225,172
2,0.0225,173
2,0.0225,178
2,0.0225,164
2,0.0225,174
2,0.025,143
2,0.025,137
2,0.025,157
2,0.025,142
2,0.025,152
2,0.025,159
2,0.025,148
2,0.025,129
2,0.025,151
2,0.025,167
2,0.025,137
2,0.025,160
2,0.025,150
2,0.025,148
2,0.025,152
2,0.025,159
2,0.025,129
2,0.025,148
2,0.025,148
2,0.025,142
2,0.0275,128
2,0.0275,127
2,0.0275,122
2,0.0275,141
2,0.0275,131
2,0.0275,131
2,0.0275,129
2,0.0275,130
2,0.0275,126
2,0.0275,138
2,0.0275,125
2,0.0275,129
2,0.0275,126
2,0.0275,125
2,0.0275,133
2,0.0275,131
2,0.0275,141
