Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.006404753
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,5,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0.00679362
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,23,0,10000,0,10000,0.008434928
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.00397854
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.007008935
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.005581003
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.004719673
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.007306435
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00749315
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.004962788
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.004996063
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0.00793118
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.006581785
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,12,0,10000,0,10000,0.006079809
2,0.002,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00307782
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.005093296
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.013898673
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.012105009
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.00595722
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,8,0,10000,0,10000,0.009353333
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.01125472
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,2,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,19,0,10000,0,10000,0.016299059
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00760799
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,14,0,10000,0,10000,0.007429944
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.00683265
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,16,0,10000,0,10000,0.013173458
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,34,0,10000,0,10000,0.00927145
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,8,0,10000,0,10000,0.017601267
2,0.0025,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,13,0,10000,0,10000,0.010226759
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.009958475
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,11,0,10000,0,10000,0.020006333
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.010647392
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,34,0,10000,0,10000,0.022330194
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,91,0,10000,0,10000,0.026459739
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,35,0,10000,0,10000,0.02348838
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.0142028
2,0.003,0,0,10000,1,32,0.00135257,6.83E-08,3707,25,6,1,38,0,10000,0,10000,0.02609179
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,27,0,10000,0,10000,0.013504428
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,53,0,10000,0,10000,0.027588571
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.014751848
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.02102056
