Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.8,99,0,10000,1,27,0.020127607,9.93E-05,1709.272446,355292.7349,973,0,10000,0,10000,1,0.24413,0.094578478
0.8,0.8,91,0,10000,1,25,0.022341966,0.000282754,1685.348095,391197.057,975,0,10000,0,10000,1,0.303599,0.093079505
0.8,0.8,78,0,10000,1,31,0.024455789,0.000386865,1695.673575,437494.966,969,0,10000,0,10000,1,0.271403,0.099295267
0.8,0.8,93,0,10000,1,39,0.023544533,0.00028446,1718.289446,380344.5568,961,0,10000,0,10000,1,0.338631,0.116407271
0.8,0.8,100,0,10000,1,26,0.024981988,0.000467948,1739.21134,448740.0141,974,0,10000,0,10000,1,0.269864,0.090333345
0.8,0.8,91,0,10000,1,32,0.021790008,0.000125513,1653.859959,381923.5022,968,0,10000,0,10000,1,0.370618,0.080813804
0.8,0.8,84,0,10000,1,19,0.021744388,0.000195552,1804.409417,434899.7873,981,0,10000,0,10000,1,0.346575,0.096014733
0.8,0.8,94,0,10000,1,30,0.024086207,0.000265103,1632.910973,410020.8161,970,0,10000,0,10000,1,0.296412,0.088773808
0.8,0.8,93,0,10000,1,26,0.024231559,0.000263881,1691.225773,441366.4408,974,0,10000,0,10000,1,0.273031,0.098538709
0.8,0.8,88,0,10000,1,45,0.019762121,0.000120411,1761.462671,382062.5683,955,0,10000,0,10000,1,0.359836,0.140131793
0.8,0.8,107,0,10000,1,30,0.021133374,0.000207622,1909.663561,527718.4013,970,0,10000,0,10000,1,0.421301,0.113814681
0.8,0.8,112,0,10000,1,36,0.023499426,0.000202584,1662.645833,431219.4579,964,0,10000,0,10000,1,0.265288,0.126809059
0.8,0.8,93,0,10000,1,28,0.021320451,0.000151511,1735.285124,392089.3113,972,0,10000,0,10000,1,0.13769,0.111297525
0.8,0.8,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0
0.8,0.8,100,0,10000,1,45,0.021480479,0.000113761,1675.91062,358959.3453,955,0,10000,0,10000,1,0.380678,0.141738654
0.8,0.8,109,0,10000,1,37,0.024277124,0.000255572,1713.779979,443434.9558,963,0,10000,0,10000,1,0.17785,0.12381533
0.8,0.8,104,0,10000,1,24,0.022099993,0.000176334,1660.98251,364646.9843,976,0,10000,0,10000,1,0.243438,0.117063115
