Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.8,80,0,10000,1,32,0.043639802,0.003267719,1533.776971,485263.2957,968,0,10000,0,10000,1,0.15571,0.1063922
0.8,0.8,93,1,236,1,33,0.034041141,0.000971539,1838.923469,655804.6727,200,0,10000,0,10000,0,10000,0.095317521
0.8,0.8,88,1,351,1,40,0.041569444,0.0047389,1917.19281,786017.8877,310,0,10000,0,10000,0,10000,0.111423697
0.8,0.8,66,1,273,1,26,0.082095986,0.011599657,1448.344398,894712.2673,245,0,10000,0,10000,0,10000,0.119072505
0.8,0.8,83,0,10000,1,36,0.045227539,0.001170795,1348.125,458345.2156,964,0,10000,0,10000,1,0.154315,0.100879994
0.8,0.8,67,0,10000,1,56,0.043082911,0.000907747,1406.457447,496100.2737,944,0,10000,0,10000,1,0.231051,0.102848083
0.8,0.8,81,1,494,1,19,0.050773307,0.006532015,1506.023454,749615.7287,473,0,10000,0,10000,0,10000,0.09597222
0.8,0.8,86,0,10000,1,31,0.043490884,0.001089331,1393.359585,507070.4106,969,0,10000,0,10000,1,0.0768443,0.090781989
0.8,0.8,79,1,160,1,30,0.047000322,0.006839389,2262.241935,1113946.054,128,0,10000,0,10000,0,10000,0.093955796
0.8,0.8,90,0,10000,1,26,0.04970972,0.004163109,1536.41651,658998.4944,537,1,563,0,10000,0,10000,0.116046036
0.8,0.8,87,0,10000,1,44,0.036954047,0.001030415,1611.146008,491003.4734,956,0,10000,0,10000,1,0.573442,0.09972266
0.8,0.8,89,0,10000,1,35,0.040614395,0.001575191,1601.832466,606902.999,965,0,10000,0,10000,1,0.214372,0.122106068
0.8,0.8,74,0,10000,1,48,0.056839043,0.002815671,1324.78692,505907.385,952,0,10000,0,10000,1,0.188281,0.109029236
0.8,0.8,77,0,10000,1,35,0.039520364,0.000934058,1514.246618,388670.9413,965,0,10000,0,10000,1,0.30684,0.127413416
0.8,0.8,83,1,572,1,47,0.066404912,0.003406253,1288.775,490338.1859,524,0,10000,0,10000,0,10000,0.11329733
0.8,0.8,83,1,518,1,46,0.049734342,0.004494813,1478.143777,549760.5995,470,0,10000,0,10000,0,10000,0.111582755
0.8,0.8,74,1,946,1,48,0.058636969,0.004469211,1250.694289,411827.5426,897,0,10000,0,10000,0,10000,0.094299868
0.8,0.8,87,0,10000,1,29,0.039250261,0.000866263,1436.511892,383919.3915,971,0,10000,0,10000,1,0.191729,0.108628788
0.8,0.8,76,0,10000,1,33,0.054680505,0.004609812,1396.148494,444102.0808,967,0,10000,0,10000,1,0.357025,0.097363028
0.8,0.8,72,1,192,1,36,0.04437852,0.002769542,1814.059603,987872.1885,155,0,10000,0,10000,0,10000,0.111181456
0.8,0.81,78,0,10000,1,31,0.044089673,0.000779695,1450.156,495105.049,754,1,785,0,10000,0,10000,0.09256927
0.8,0.81,70,1,547,1,17,0.044248498,0.002027017,1553.653333,711056.916,529,0,10000,0,10000,0,10000,0.070734692
0.8,0.81,87,0,10000,1,31,0.046635297,0.001394509,1409.007254,470463.3523,969,0,10000,0,10000,1,0.113885,0.129106193
0.8,0.81,67,0,10000,1,31,0.055768086,0.004216763,1384.798964,523055.3813,969,0,10000,0,10000,1,0.546835,0.1399002
0.8,0.81,93,0,10000,1,44,0.033487414,0.000691408,1610.410714,479895.2331,676,1,720,0,10000,0,10000,0.100548335
0.8,0.81,89,1,960,1,47,0.058245825,0.005543331,1457.635061,735009.2858,911,0,10000,0,10000,0,10000,0.117383807
0.8,0.81,78,0,10000,1,30,0.068540518,0.004810271,1250.880208,521374.0152,580,1,610,0,10000,0,10000,0.120519312
0.8,0.81,93,0,10000,1,48,0.071708824,0.008287102,1396.755064,577374.7595,547,1,595,0,10000,0,10000,0.135091132
0.8,0.81,84,0,10000,1,30,0.04764736,0.002108397,1355.443064,452869.814,970,0,10000,0,10000,1,0.358209,0.142186277
0.8,0.81,72,1,278,1,35,0.06181964,0.014919033,1720.767932,716940.4651,241,0,10000,0,10000,0,10000,0.093141197
0.8,0.81,85,0,10000,1,46,0.040270575,0.000484174,1374.335789,323442.8946,954,0,10000,0,10000,1,0.381798,0.110983638
0.8,0.81,77,0,10000,1,39,0.052753483,0.002837257,1336.2704,439043.6597,629,1,668,0,10000,0,10000,0.109560269
0.8,0.81,78,0,10000,1,70,0.04290498,0.001457236,1600.646123,803780.4672,507,1,577,0,10000,0,10000,0.137483636
0.8,0.81,70,0,10000,1,95,0.050260177,0.001823372,1399.105438,406012.6559,905,0,10000,0,10000,1,0.333953,0.124909591
0.8,0.81,69,0,10000,1,18,0.043143382,0.000620651,1408.506135,418883.8532,982,0,10000,0,10000,1,0.216094,0.092768136
0.8,0.81,70,0,10000,1,42,0.033192308,0.000633926,1792.169312,677620.5428,193,1,235,0,10000,0,10000,0.09354995
0.8,0.81,82,1,361,1,52,0.038113083,0.001142697,1690.411184,582199.9132,308,0,10000,0,10000,0,10000,0.109101773
0.8,0.81,82,0,10000,1,28,0.053232704,0.003989767,1419.832645,505140.8274,972,0,10000,0,10000,1,0.160929,0.103508842
0.8,0.81,78,1,670,1,102,0.051280847,0.001260747,1322.211368,278325.3852,567,0,10000,0,10000,0,10000,0.121950038
0.8,0.81,76,0,10000,1,51,0.030942902,0.000444005,1633.849057,677177.386,163,1,214,0,10000,0,10000,0.107203694
0.8,0.82,84,1,714,1,62,0.077086749,0.012382755,1290.256569,600291.9373,651,0,10000,0,10000,0,10000,0.1210389
0.8,0.82,79,1,369,1,26,0.06707326,0.009921566,1590.538462,814618.9349,342,0,10000,0,10000,0,10000,0.081295632
0.8,0.82,78,0,10000,1,48,0.050303174,0.001524816,1408.304852,460622.8111,952,0,10000,0,10000,1,0.145833,0.100309832
0.8,0.82,87,0,10000,1,69,0.07542058,0.021867338,1613.858621,711318.0317,294,1,363,0,10000,0,10000,0.099794735
0.8,0.82,82,0,10000,1,65,0.098738424,0.009087697,1150.219595,533208.516,300,1,365,0,10000,0,10000,0.112417369
0.8,0.82,79,0,10000,1,31,0.037384566,0.000973429,1616.723316,624392.6892,969,0,10000,0,10000,1,0.60917,0.096570948
0.8,0.82,76,0,10000,1,30,0.053190427,0.003565581,1746.065217,911107.8891,970,0,10000,0,10000,1,0.075,0.0934065
0.8,0.82,79,0,10000,1,44,0.049461089,0.001472248,1398.054893,341035.2882,842,1,886,0,10000,0,10000,0.118413063
0.8,0.82,75,1,471,1,25,0.065359414,0.008807733,1699.15873,1044162.959,445,0,10000,0,10000,0,10000,0.093738414
0.8,0.82,93,1,246,1,112,0.143237984,0.016206491,613.1782946,189739.6814,133,0,10000,0,10000,0,10000,0.103889731
0.8,0.82,78,1,214,1,75,0.072485371,0.012874791,1518.768657,633453.0286,138,0,10000,0,10000,0,10000,0.117391621
0.8,0.82,82,1,189,1,11,0.026291689,0.002939362,2444.549133,1023790.895,177,0,10000,0,10000,0,10000,0.117024714
0.8,0.82,88,1,469,1,24,0.053398893,0.005190002,1613.207289,779838.4377,443,0,10000,0,10000,0,10000,0.129103675
0.8,0.82,92,0,10000,1,15,0.048504617,0.002056351,1790.554878,1086214.448,332,1,347,0,10000,0,10000,0.096240364
0.8,0.82,79,1,879,1,62,0.059956858,0.003948845,1283.964198,382167.5456,814,0,10000,0,10000,0,10000,0.128965048
0.8,0.82,92,0,10000,1,38,0.059329223,0.004078325,1640.659574,973693.7309,474,1,512,0,10000,0,10000,0.107572347
0.8,0.82,80,1,226,1,27,0.132858734,0.026817182,1501.979381,1504456.804,198,0,10000,0,10000,0,10000,0.115704796
0.8,0.82,84,0,10000,1,68,0.042466654,0.00156892,1537.116379,382147.9261,932,0,10000,0,10000,1,0.215176,0.108379192
0.8,0.82,83,0,10000,1,20,0.040603169,0.001149951,1697.278689,740311.5207,980,0,10000,0,10000,1,0.141904,0.086163413
0.8,0.82,79,0,10000,1,38,0.054876636,0.002857444,1389.010438,529388.6617,962,0,10000,0,10000,1,0.150097,0.107522668
0.8,0.83,73,1,290,1,80,0.083910823,0.005793905,1151.190244,297562.5638,209,0,10000,0,10000,0,10000,0.108767678
0.8,0.83,81,0,10000,1,25,0.043703595,0.001629946,1474.269825,531876.3577,975,0,10000,0,10000,1,0.41411,0.080014981
0.8,0.83,77,0,10000,1,38,0.04935045,0.001957384,1510.933194,447013.34,962,0,10000,0,10000,1,0.194517,0.102260226
0.8,0.83,87,1,521,1,40,0.061373714,0.003724957,1367.287815,490849.2554,480,0,10000,0,10000,0,10000,0.114828261
0.8,0.83,77,0,10000,1,33,0.048999975,0.001700683,1460.190031,533044.8185,967,0,10000,0,10000,1,0.19301,0.113870472
0.8,0.83,73,0,10000,1,47,0.113625408,0.026020628,1560.456311,1080795.297,107,1,154,0,10000,0,10000,0.106251837
0.8,0.83,70,0,10000,1,17,0.068027075,0.006371146,1399.114402,640633.6478,983,0,10000,0,10000,1,0.193069,0.078648754
0.8,0.83,78,0,10000,1,28,0.032777535,0.000341405,1728.764516,516325.722,314,1,342,0,10000,0,10000,0.099427129
0.8,0.83,90,0,10000,1,59,0.063581471,0.003818271,1279.225187,456547.278,941,0,10000,0,10000,1,0.233871,0.094779153
0.8,0.83,94,0,10000,1,63,0.045287732,0.000950727,1407.026795,333832.0368,937,0,10000,0,10000,1,0.187408,0.092565539
0.8,0.83,81,1,463,1,14,0.04752553,0.00184052,1557.461712,693447.6494,448,0,10000,0,10000,0,10000,0.08685853
0.8,0.83,109,1,757,1,60,0.060751621,0.00439612,1385.58815,491689.6584,696,0,10000,0,10000,0,10000,0.108526443
0.8,0.83,93,0,10000,1,40,0.076420546,0.004884097,1183.388075,479627.0136,960,0,10000,0,10000,1,0.240489,0.104100144
0.8,0.83,96,0,10000,1,52,0.070790119,0.006079414,1236.856992,417074.4149,948,0,10000,0,10000,1,0.226109,0.102875421
0.8,0.83,79,1,565,1,72,0.057572992,0.003498648,1355.971193,421794.5136,490,0,10000,0,10000,0,10000,0.118663631
0.8,0.83,87,1,282,1,32,0.064579031,0.004709093,1633.938776,900303.3554,249,0,10000,0,10000,0,10000,0.097508857
0.8,0.83,71,1,288,1,68,0.047898993,0.001997069,1459.432558,305751.0455,219,0,10000,0,10000,0,10000,0.113077522
0.8,0.83,67,1,697,1,37,0.068471322,0.00514634,1214.038168,489715.9359,659,0,10000,0,10000,0,10000,0.10368457
0.8,0.83,83,1,184,1,81,0.070962885,0.007660939,1452.591837,589517.4865,102,0,10000,0,10000,0,10000,0.118999734
0.8,0.83,82,1,322,1,26,0.100789627,0.020086427,1421.141869,806213.2567,293,0,10000,0,10000,0,10000,0.101771727
0.8,0.84,73,1,225,1,40,0.0436133,0.002778257,1934.822222,896102.5462,184,0,10000,0,10000,0,10000,0.099355517
0.8,0.84,67,1,391,1,32,0.086403032,0.011701302,1468.096045,775423.8608,358,0,10000,0,10000,0,10000,0.112712189
0.8,0.84,80,0,10000,1,39,0.049805929,0.00172502,1499.322884,508108.3294,961,0,10000,0,10000,1,0.550291,0.1044416
0.8,0.84,73,1,457,1,42,0.05418038,0.00406342,1568.653659,613614.5435,414,0,10000,0,10000,0,10000,0.121377924
0.8,0.84,88,0,10000,1,69,0.037466321,0.000730408,1558.775583,241545.0897,561,1,630,0,10000,0,10000,0.1203352
0.8,0.84,83,1,284,1,38,0.053931002,0.005951615,1779.9125,645810.1215,244,0,10000,0,10000,0,10000,0.084125562
0.8,0.84,69,0,10000,1,63,0.05413298,0.001385537,1280.306538,303602.4334,937,0,10000,0,10000,1,0.32266,0.094207583
0.8,0.84,75,1,588,1,27,0.036038561,0.003572967,1941.01259,676646.6347,560,0,10000,0,10000,0,10000,0.100938587
0.8,0.84,76,1,649,1,75,0.057118201,0.005368241,1388.996485,302430.5343,573,0,10000,0,10000,0,10000,0.11731587
0.8,0.84,95,1,272,1,48,0.066993775,0.005176047,1542.09589,828810.8447,223,0,10000,0,10000,0,10000,0.108642123
0.8,0.84,88,1,329,1,29,0.06433869,0.00952769,1590.34471,530534.0552,297,0,10000,0,10000,0,10000,0.106761076
0.8,0.84,76,1,530,1,98,0.053200625,0.002375469,1397.593897,467286.8046,430,0,10000,0,10000,0,10000,0.127133629
0.8,0.84,76,1,395,1,20,0.06484889,0.00577534,1538.634146,881419.793,373,0,10000,0,10000,0,10000,0.101612594
0.8,0.84,77,1,153,1,17,0.092741243,0.023181124,1889.815385,1301153.981,134,0,10000,0,10000,0,10000,0.120501969
0.8,0.84,69,0,10000,1,63,0.0473276,0.001151474,1424.837736,335651.3925,534,1,597,0,10000,0,10000,0.112404014
0.8,0.84,74,0,10000,1,71,0.051065922,0.001179741,1332.158919,281438.1596,929,0,10000,0,10000,1,0.237132,0.107557246
0.8,0.84,80,1,373,1,22,0.050048035,0.004559773,1714.060694,886011.0686,350,0,10000,0,10000,0,10000,0.134832644
0.8,0.84,88,1,209,1,75,0.060325135,0.006817077,1605.703125,730309.3962,132,0,10000,0,10000,0,10000,0.090949287
0.8,0.84,79,1,479,1,27,0.048132134,0.007700216,1972.306488,937892.5079,451,0,10000,0,10000,0,10000,0.108271048
0.8,0.84,72,1,170,1,127,0.324610526,0.063438438,388.7368421,53868.14127,42,0,10000,0,10000,0,10000,0.109807097
0.8,0.85,84,1,386,1,34,0.058082742,0.00292794,1459.829971,701227.4034,351,0,10000,0,10000,0,10000,0.089207
0.8,0.85,81,1,419,1,65,0.063603471,0.00553841,1486.553009,692613.932,353,0,10000,0,10000,0,10000,0.106703334
0.8,0.85,78,1,668,1,77,0.081727852,0.011445451,1268.360068,340601.7321,590,0,10000,0,10000,0,10000,0.109064153
0.8,0.85,84,0,10000,1,41,0.0505978,0.001242482,1405.843979,402138.7285,959,0,10000,0,10000,1,0.0702045,0.100595311
0.8,0.85,80,1,212,1,40,0.056135087,0.006482484,1617.91018,692755.6386,171,0,10000,0,10000,0,10000,0.109589281
0.8,0.85,70,1,235,1,46,0.040438653,0.002902345,1703.673913,445689.8067,188,0,10000,0,10000,0,10000,0.131996671
0.8,0.85,85,1,252,1,98,0.075881973,0.009650314,1356.72973,329888.8594,152,0,10000,0,10000,0,10000,0.101128514
0.8,0.85,88,0,10000,1,34,0.052394587,0.002549554,1452.756757,447991.3649,966,0,10000,0,10000,1,0.40572,0.107866597
0.8,0.85,82,1,413,1,31,0.063274341,0.005676891,1521.04244,582980.9107,381,0,10000,0,10000,0,10000,0.090141226
0.8,0.85,77,1,906,1,41,0.046780366,0.001907513,1489.747674,425133.7282,864,0,10000,0,10000,0,10000,0.106425416
0.8,0.85,94,1,311,1,87,0.116772188,0.031858932,1181.447489,547261.5349,223,0,10000,0,10000,0,10000,0.10004253
0.8,0.85,68,1,929,1,31,0.052341389,0.002386739,1406.119821,472518.0987,897,0,10000,0,10000,0,10000,0.121614119
0.8,0.85,73,1,383,1,52,0.092254048,0.006448423,1145.654321,510238.9608,328,0,10000,0,10000,0,10000,0.112100446
0.8,0.85,58,1,338,1,23,0.050239957,0.00386799,1778.113269,1037273.971,313,0,10000,0,10000,0,10000,0.101487589
0.8,0.85,80,1,447,1,40,0.046582883,0.002143866,1586.18,539504.5776,404,0,10000,0,10000,0,10000,0.113872408
0.8,0.85,80,1,244,1,21,0.055878075,0.005562394,1802.022936,980702.7839,222,0,10000,0,10000,0,10000,0.102212229
0.8,0.85,79,1,505,1,28,0.075638361,0.008585603,1535.798301,872724.0761,475,0,10000,0,10000,0,10000,0.092532146
