Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.8,132,1,266,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.110247103
0.8,0.8,119,1,242,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.105535832
0.8,0.8,108,1,416,1,160,0.071864922,0.003625215,1168.39759,122008.368,253,0,10000,0,10000,0,10000,0.119521928
0.8,0.8,111,1,216,1,77,0.133256832,0.040534251,1397.820896,781385.8336,138,0,10000,0,10000,0,10000,0.127159612
0.8,0.8,117,1,232,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.11684758
0.8,0.8,102,1,257,1,240,0.354816417,0.000537477,86.25,1435.6875,16,0,10000,0,10000,0,10000,0.109173875
0.8,0.8,116,1,232,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.120264897
0.8,0.8,114,1,253,1,155,0.168689661,0.017442272,699.8586957,178538.9909,96,0,10000,0,10000,0,10000,0.115693777
0.8,0.8,133,1,257,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.116410277
0.8,0.8,112,1,226,1,195,0.24879312,0.007642263,331.76,19523.6224,29,0,10000,0,10000,0,10000,0.124252012
0.8,0.8,120,1,231,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.113560563
0.8,0.8,122,1,240,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.123933933
0.8,0.8,113,1,237,1,114,0.112449834,0.031917077,1549.720339,824747.0659,122,0,10000,0,10000,0,10000,0.106267132
0.8,0.8,140,1,271,1,130,0.125275978,0.023790885,1459.647059,997438.2284,140,0,10000,0,10000,0,10000,0.106982513
0.8,0.8,134,1,401,1,44,0.074684424,0.008888584,1540.875,661100.1435,356,0,10000,0,10000,0,10000,0.101520358
0.8,0.8,135,1,437,1,228,0.095455992,0.008967991,1155.22549,353686.2433,208,0,10000,0,10000,0,10000,0.121495207
0.8,0.8,118,1,240,1,59,0.051835211,0.010296064,2103.147727,776812.8077,180,0,10000,0,10000,0,10000,0.100583671
0.8,0.8,103,1,448,1,89,0.098524985,0.012606723,1249.20904,456923.4704,358,0,10000,0,10000,0,10000,0.099941985
0.8,0.8,115,1,246,1,27,0.066358667,0.0096355,1966.598131,1202370.315,218,0,10000,0,10000,0,10000,0.076660348
0.8,0.8,120,1,242,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.108602643
0.8,0.81,124,1,413,1,180,0.102119581,0.019787362,1191.631579,329822.4169,232,0,10000,0,10000,0,10000,0.116462366
0.8,0.81,108,1,226,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.117866494
0.8,0.81,103,1,241,1,60,0.094900598,0.015969706,1633.051136,1034683.81,180,0,10000,0,10000,0,10000,0.092146488
0.8,0.81,110,1,328,1,163,0.119000935,0.017511019,1050.823899,282774.9375,163,0,10000,0,10000,0,10000,0.112905489
