Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.8,91,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,207,0,10000,0.598394031
0.8,0.8,99,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,236,0,10000,0.576753638
0.8,0.8,123,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,229,0,10000,0.53420681
0.8,0.8,117,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,248,0,10000,0.400870219
0.8,0.8,141,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,283,0,10000,0.492034941
0.8,0.8,83,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,224,0,10000,0.527854322
0.8,0.8,121,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,229,0,10000,0.528468582
0.8,0.8,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
0.8,0.8,109,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,248,0,10000,0.476798768
0.8,0.8,116,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,264,0,10000,0.456572657
0.8,0.8,137,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,292,0,10000,0.41269584
0.8,0.8,139,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,267,0,10000,0.507736224
0.8,0.8,107,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,213,0,10000,0.419960305
0.8,0.8,110,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,395,0,10000,0.622660035
0.8,0.8,106,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,245,0,10000,0.527816104
0.8,0.8,115,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,220,0,10000,0.502258691
0.8,0.8,124,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,294,0,10000,0.578964653
0.8,0.8,129,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,255,0,10000,0.42979751
0.8,0.8,118,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,247,0,10000,0.520708421
0.8,0.8,76,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,241,0,10000,0.523077549
0.8,0.81,118,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,252,0,10000,0.493379011
0.8,0.81,100,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,252,0,10000,0.376935507
0.8,0.81,111,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,224,0,10000,0.495615235
0.8,0.81,105,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,226,0,10000,0.380044107
0.8,0.81,129,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,261,0,10000,0.335980401
0.8,0.81,103,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,334,0,10000,0.423230656
