"","Efficiency","Low-Density Growth Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"1",0.8,2,1,40,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"2",0.8,2,1,39,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"3",0.8,2,1,41,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"4",0.8,2,1,61,1,25,0.065223784,0.001043503,0.053953084,0.000623539,784.8387097,369781.1675,35,0,10000,0,10000,0,10000,0,10000,0,0
"5",0.8,2,1,36,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"6",0.8,2,1,40,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"7",0.8,2,1,45,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"8",0.8,2,1,38,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"9",0.8,2,1,41,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"10",0.8,2,1,43,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"11",0.8,2,1,39,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"12",0.8,2,1,40,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"13",0.8,2,1,36,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"14",0.8,2,1,38,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"15",0.8,2,1,40,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"16",0.8,2,1,39,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"17",0.8,2,1,38,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"18",0.8,2,1,41,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"19",0.8,2,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,39,0,10000,0,10000,0,10000,0,1
"20",0.8,2,1,39,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"21",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,31,0,10000,0,10000,0,0
"22",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,72,0,10000,0,10000,0,0
"23",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"24",0.8,2.5,1,49,1,29,0.07270202,0.001536818,0.055608267,0.001397984,452.3333333,175149.6889,19,0,10000,0,10000,0,10000,0,10000,0,0
"25",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,29,0,10000,0,10000,0,0
"26",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,64,0,10000,0,10000,0,0
"27",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"28",0.8,2.5,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"29",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"30",0.8,2.5,1,43,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"31",0.8,2.5,1,47,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"32",0.8,2.5,1,77,1,22,0.107615463,0.005770362,0.083848408,0.003919635,1029.604167,2255381.156,52,0,10000,0,10000,0,10000,0,10000,0,0
"33",0.8,2.5,1,48,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"34",0.8,2.5,1,66,1,25,0.093179103,0.003584856,0.07426355,0.002201848,716.6,789699.84,39,0,10000,0,10000,0,10000,0,10000,0,0
"35",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"36",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"37",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,42,0,10000,0,10000,0,0
"38",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"39",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"40",0.8,2.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"41",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"42",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"43",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"44",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"45",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"46",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,40,0,10000,0,10000,0,0
"47",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,45,0,10000,0,10000,0,0
"48",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"49",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"50",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"51",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"52",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"53",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"54",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"55",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"56",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"57",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"58",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"59",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,51,0,10000,0,10000,0,0
"60",0.8,3,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,40,0,10000,0,10000,0,0
"61",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,40,0,10000,0,10000,0,0
"62",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"63",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"64",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"65",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"66",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"67",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"68",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,46,0,10000,0,10000,0,0
"69",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"70",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,45,0,10000,0,10000,0,0
"71",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"72",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,41,0,10000,0,10000,0,0
"73",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"74",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"75",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"76",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,49,0,10000,0,10000,0,0
"77",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"78",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"79",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"80",0.8,3.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"81",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"82",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"83",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"84",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,45,0,10000,0,10000,0,0
"85",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,30,0,10000,0,10000,0,0
"86",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"87",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"88",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"89",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"90",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,35,0,10000,0,10000,0,0
"91",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"92",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"93",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"94",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"95",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"96",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"97",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,41,0,10000,0,10000,0,0
"98",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,40,0,10000,0,10000,0,0
"99",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"100",0.8,4,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"101",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,33,0,10000,0,10000,0,0
"102",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,32,0,10000,0,10000,0,0
"103",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"104",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,38,0,10000,0,10000,0,0
"105",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,38,0,10000,0,10000,0,0
"106",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"107",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,38,0,10000,0,10000,0,0
"108",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,43,0,10000,0,10000,0,0
"109",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,34,0,10000,0,10000,0,0
"110",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,39,0,10000,0,10000,0,0
"111",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"112",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,37,0,10000,0,10000,0,0
"113",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"114",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
"115",0.8,4.5,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,1,36,0,10000,0,10000,0,0
