,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,2,0.01,0,10000,1,68,0.058407278,4.51E-05,0.053923083,2.59E-05,6868.444444,2380598.469,22,1,90,0,10000,0,10000,0,10000,1,0
2,2,0.01,0,10000,1,73,0.034254448,0.000392901,0.030415364,0.000327945,14287.32231,16581465.88,367,1,440,0,10000,0,10000,0,10000,1,0
3,2,0.01,0,10000,1,74,0.013031688,0.000175403,0.011841442,0.000143918,28505.82176,64392639.86,436,1,510,0,10000,0,10000,0,10000,1,0
4,2,0.01,0,10000,1,69,0.030609083,4.77E-05,0.028397922,2.92E-05,13240.33333,5615651.333,22,1,91,0,10000,0,10000,0,10000,1,0
5,2,0.01,0,10000,1,71,0.100529384,0.000110444,0.090440097,4.60E-05,3549.216216,1805325.629,41,1,112,0,10000,0,10000,0,10000,1,0
6,2,0.01,0,10000,1,67,0.023530989,9.41E-05,0.021963518,6.52E-05,17689.90909,31276103.29,37,1,104,0,10000,0,10000,0,10000,1,0
7,2,0.01,0,10000,1,67,0.058887283,0.002713509,0.050070705,0.001923542,12689.24,41010258.78,104,1,171,0,10000,0,10000,0,10000,1,0
8,2,0.01,0,10000,1,71,0.028267965,0.000204009,0.025029637,0.000156433,16369.53543,40741477.43,131,1,202,0,10000,0,10000,0,10000,1,0
9,2,0.01,0,10000,1,71,0.13539925,0.001628456,0.124795315,0.001335601,3257,3229434.739,50,1,121,0,10000,0,10000,0,10000,1,0
10,2,0.01,0,10000,1,68,0.029088463,0.000675173,0.026071439,0.000569138,19859.34411,111244017.3,437,1,505,0,10000,0,10000,0,10000,1,0
11,2,0.01,0,10000,1,72,0.037517046,0.000233338,0.032177128,0.000160446,12591.43556,22526238.03,229,1,301,0,10000,0,10000,0,10000,1,0
12,2,0.01,0,10000,1,73,0.086913481,0.000911337,0.078956116,0.000601338,5156.513514,7729763.601,41,1,114,0,10000,0,10000,0,10000,1,0
13,2,0.01,0,10000,1,73,0.045340696,0.000187016,0.043106296,0.000136305,11232.14815,9641798.274,31,1,104,0,10000,0,10000,0,10000,1,0
14,2,0.01,0,10000,1,78,0.039008216,0.000869451,0.034851559,0.000690933,16055.70427,76695287.37,332,1,410,0,10000,0,10000,0,10000,1,0
