,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,2,0.01,1,84,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,2,0.01,1,81,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
3,2,0.01,0,10000,1,73,0.190429,7.29E-06,0.1680904,6.78E-05,2307.2,8887.76,9,1,82,0,10000,0,10000,0,10000,1,0
4,2,0.01,0,10000,1,83,0.9280505,0.005283398,0.739663,0.001288637,97,114.5,8,1,93,0,10000,0,10000,0,10000,1,0
5,2,0.01,0,10000,1,73,0.112789333,7.39E-05,0.10140785,1.17E-05,5013.833333,36224.13889,10,1,83,0,10000,0,10000,0,10000,1,0
6,2,0.01,1,79,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
7,2,0.01,1,82,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
8,2,0.01,1,83,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
9,2,0.01,1,86,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
10,2,0.01,1,88,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
11,2,0.01,0,10000,1,66,0.06935307,6.27E-05,0.06417459,1.55E-05,7008.8,491244.16,14,1,80,0,10000,0,10000,0,10000,1,0
