,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,2,0.01,0,10000,1,104,0.538463824,0.002095339,0.465135529,0.001869702,509.8823529,77688.92734,21,1,125,0,10000,0,10000,0,10000,1,0
2,2,0.01,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,105,0,10000,0,10000,0,10000,0,1
3,2,0.01,1,104,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
4,2,0.01,0,10000,1,89,0.573641615,0.042999013,0.412594692,0.035932549,867.2307692,42438.02367,17,1,106,0,10000,0,10000,0,10000,1,0
5,2,0.01,1,111,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
6,2,0.01,1,99,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
7,2,0.01,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,118,0,10000,0,10000,0,10000,0,1
8,2,0.01,1,124,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
9,2,0.01,0,10000,1,98,0.205318067,0.000126265,0.192682,0.000127498,1837.533333,131220.2489,19,1,117,0,10000,0,10000,0,10000,1,0
10,2,0.01,1,101,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
11,2,0.01,1,108,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
12,2,0.01,0,10000,1,85,0.034269867,4.78E-05,0.031719876,2.11E-05,13654.33333,4386657.937,25,1,110,0,10000,0,10000,0,10000,1,0
13,2,0.01,0,10000,1,92,0.156350625,0.001078722,0.128485269,0.001104794,1471.625,116711.3594,20,1,112,0,10000,0,10000,0,10000,1,0
14,2,0.01,1,123,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
15,2,0.01,1,114,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
16,2,0.01,0,10000,1,94,0.27687075,0.004805663,0.246845583,0.000810742,599,123375.6667,16,1,110,0,10000,0,10000,0,10000,1,0
17,2,0.01,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,103,0,10000,0,10000,0,10000,0,1
18,2,0.01,1,184,1,97,0.206861378,0.017848645,0.17302042,0.012159093,2418.865854,1326126.531,86,0,10000,0,10000,0,10000,0,10000,0,0
19,2,0.01,0,10000,1,92,0.294060882,0.010717877,0.236910412,0.007176937,1482,76622.47059,21,1,113,0,10000,0,10000,0,10000,1,0
20,2,0.01,0,10000,1,91,0.257959222,0.00463749,0.224696389,0.003494789,1779.833333,641558.8611,40,1,131,0,10000,0,10000,0,10000,1,0
421,2.5,0.01,0,10000,1,91,0.061099635,0.00033291,0.055115085,0.000150009,8933.15,6279841.528,24,1,115,0,10000,0,10000,0,10000,1,0
422,2.5,0.01,0,10000,1,89,0.031657284,0.000981709,0.027343653,0.000630015,19861.32692,53571180.07,212,1,301,0,10000,0,10000,0,10000,1,0
423,2.5,0.01,1,598,1,94,0.105976601,0.014367418,0.083691836,0.007969893,9431.362903,45762617.74,500,0,10000,0,10000,0,10000,0,10000,0,0
424,2.5,0.01,0,10000,1,92,0.377362609,0.017661959,0.272214609,0.00667588,1012.086957,566359.0359,27,1,119,0,10000,0,10000,0,10000,1,0
425,2.5,0.01,0,10000,1,89,0.124227077,0.000107652,0.108240538,8.63E-06,4100.153846,250164.1302,17,1,106,0,10000,0,10000,0,10000,1,0
426,2.5,0.01,0,10000,1,94,0.399020684,0.031520961,0.318051694,0.019783815,772.377551,205512.3983,102,1,196,0,10000,0,10000,0,10000,1,0
427,2.5,0.01,1,111,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
428,2.5,0.01,1,510,1,92,0.083772219,0.012551181,0.06709855,0.008628812,11789.37317,53780272.77,414,0,10000,0,10000,0,10000,0,10000,0,0
429,2.5,0.01,1,121,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
430,2.5,0.01,0,10000,1,94,0.33045375,0.008968748,0.277062375,0.010408029,668.125,330453.776,28,1,122,0,10000,0,10000,0,10000,1,0
431,2.5,0.01,1,259,1,93,0.210557829,0.009420394,0.171557842,0.006067264,2401.620253,1130604.793,162,0,10000,0,10000,0,10000,0,10000,0,0
432,2.5,0.01,0,10000,1,82,0.113669162,0.019889512,0.098213099,0.015204462,12690.56698,78373751.41,325,1,407,0,10000,0,10000,0,10000,1,0
