,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,2,0.01,0,10000,1,59,0.020932595,6.12E-05,0.018440321,4.75E-05,15947.87513,28256092.15,941,0,10000,0,10000,1,0.163951,0,10000,0,0
2,2,0.01,0,10000,1,66,0.023605097,0.000101141,0.021075393,8.04E-05,15636.55269,28052278.83,934,0,10000,0,10000,1,0.281118,0,10000,0,0
3,2,0.01,0,10000,1,75,0.018993092,6.13E-05,0.016780541,4.67E-05,17857.75027,44001894.76,925,0,10000,0,10000,1,0.0711647,0,10000,0,0
4,2,0.01,0,10000,1,65,0.017976017,4.53E-05,0.015942795,3.60E-05,18504.17293,36371234.76,935,0,10000,0,10000,1,0.122628,0,10000,0,0
5,2,0.01,0,10000,1,57,0.022215009,9.02E-05,0.019665924,7.09E-05,16369.85517,34817513.19,943,0,10000,0,10000,1,0.143266,0,10000,0,0
6,2,0.01,0,10000,1,68,0.021799049,6.68E-05,0.019318384,5.43E-05,15184.37177,25650468.66,932,0,10000,0,10000,1,0.109396,0,10000,0,0
7,2,0.01,0,10000,1,74,0.02076867,5.03E-05,0.01834854,4.08E-05,16062.20174,25568285.48,926,0,10000,0,10000,1,0.186645,0,10000,0,0
8,2,0.01,0,10000,1,67,0.018583711,0.000108807,0.016485688,8.56E-05,19220.74596,65507861.59,933,0,10000,0,10000,1,0.240531,0,10000,0,0
9,2,0.01,0,10000,1,64,0.024749368,0.00012345,0.022017457,0.000100064,14609.11159,28665417.31,936,0,10000,0,10000,1,0.123529,0,10000,0,0
10,2,0.01,0,10000,1,67,0.020140067,5.93E-05,0.017650817,4.44E-05,16400.93434,41316427.59,933,0,10000,0,10000,1,0.103187,0,10000,0,0
11,2,0.01,0,10000,1,66,0.02064287,5.73E-05,0.018145789,4.36E-05,16009.94731,31027357.58,934,0,10000,0,10000,1,0.0775003,0,10000,0,0
12,2,0.01,0,10000,1,62,0.020289184,3.29E-05,0.01773003,2.50E-05,15074.11349,15700669.81,938,0,10000,0,10000,1,0.299792,0,10000,0,0
