Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
10000,1,187,1,25,0.040013982,0.001452529,2170.292994,2102422.551,161,0,10000,0,10000,0,10000
10000,0,10000,1,22,0.041948772,0.000947452,2161.475359,3275548.457,978,0,10000,0,10000,1,0.838554
10000,1,736,1,25,0.042571374,0.000893508,1780.665722,1053556.687,710,0,10000,0,10000,0,10000
10000,1,719,1,22,0.04475705,0.000962994,1821.473988,1642989.206,696,0,10000,0,10000,0,10000
10000,0,10000,1,24,0.038135125,0.000835867,2203.57716,2548644.186,976,0,10000,0,10000,1,0.669314
10000,0,10000,1,24,0.041689873,0.000854315,2010.014403,2379188.35,976,0,10000,0,10000,1,0.732377
10000,0,10000,1,23,0.041020959,0.000514979,1800.661871,1316252.843,977,0,10000,0,10000,1,0.473166
10000,0,10000,1,23,0.051249985,0.001073162,1792.755287,1579099.152,335,1,358,0,10000,0,10000
10000,0,10000,1,23,0.050864496,0.001536485,1491.727273,697875.2165,59,1,82,0,10000,0,10000
10000,0,10000,1,22,0.041301238,0.000918743,1882.177905,1865265.816,701,1,723,0,10000,0,10000
10000,1,81,1,23,0.046657319,0.000408062,1309.754717,557895.5059,57,0,10000,0,10000,0,10000
10000,1,977,1,20,0.039938678,0.000944201,2120.343487,1922132.515,956,0,10000,0,10000,0,10000
10000,0,10000,1,21,0.041321584,0.001591616,2110.21761,3176558.515,799,1,820,0,10000,0,10000
10000,0,10000,1,21,0.04042254,0.001491683,2038.171053,1877998.238,688,1,709,0,10000,0,10000
10000,1,960,1,24,0.049210321,0.002008998,2065.50913,2454910.102,935,0,10000,0,10000,0,10000
10000,1,56,1,20,0.044898697,0.002635932,2272.566667,2534909.779,34,0,10000,0,10000,0,10000
10000,0,10000,1,23,0.04172572,0.004498055,2510.965944,5457275.711,327,1,350,0,10000,0,10000
10000,1,218,1,23,0.042740205,0.000789965,1758.057895,1160150.718,194,0,10000,0,10000,0,10000
10000,0,10000,1,27,0.041901957,0.001346814,2066.438596,2653976.133,973,0,10000,0,10000,1,0.487306
10000,1,413,1,24,0.048014864,0.002732093,1924.815104,2087106.854,388,0,10000,0,10000,0,10000
20000,0,10000,1,20,0.052887801,0.001117774,2561.829114,5353491.376,636,1,656,0,10000,0,10000
20000,0,10000,1,24,0.053070019,0.002655459,2511.815315,4884496.054,670,1,694,0,10000,0,10000
20000,1,372,1,22,0.051218282,0.000755327,2325.46087,3719496.515,349,0,10000,0,10000,0,10000
20000,1,810,1,22,0.05510328,0.002764669,2956.35249,9702597.912,787,0,10000,0,10000,0,10000
20000,1,130,1,23,0.091423933,0.008510562,1661.343137,2179135.892,106,0,10000,0,10000,0,10000
20000,1,934,1,24,0.049598333,0.00079038,2373.283978,3281806.133,909,0,10000,0,10000,0,10000
20000,1,527,1,20,0.045655978,0.000845328,3137.041833,9802450.227,506,0,10000,0,10000,0,10000
20000,1,173,1,22,0.069316895,0.002918694,1975.178082,2847572.489,150,0,10000,0,10000,0,10000
20000,1,687,1,23,0.051344912,0.001203654,3311.449165,15349440.27,663,0,10000,0,10000,0,10000
20000,1,324,1,21,0.059591715,0.00234509,2499.828859,10772691.25,302,0,10000,0,10000,0,10000
20000,0,10000,1,20,0.049886153,0.001100966,2719.883197,6617650.458,980,0,10000,0,10000,1,0.60447
20000,1,189,1,24,0.086186788,0.004453475,1661.21875,4743230.183,164,0,10000,0,10000,0,10000
20000,1,184,1,20,0.048907694,0.000833964,3307.613924,8573652.44,162,0,10000,0,10000,0,10000
20000,1,166,1,22,0.059172049,0.004447037,3906.676259,16058313.17,143,0,10000,0,10000,0,10000
20000,1,373,1,26,0.057738664,0.002282574,2694.131579,9467535.57,346,0,10000,0,10000,0,10000
20000,1,173,1,20,0.06058041,0.001579857,2625.632653,10702134.91,151,0,10000,0,10000,0,10000
20000,0,10000,1,21,0.079503851,0.008821007,2457.522727,6776521.295,92,1,113,0,10000,0,10000
20000,0,10000,1,24,0.057702094,0.001239467,2286.807947,5622659.274,306,1,330,0,10000,0,10000
20000,0,10000,1,21,0.068245082,0.004044959,2876.174157,10153035.87,360,1,381,0,10000,0,10000
20000,1,422,1,25,0.050964459,0.00133964,2310.647959,3147122.606,396,0,10000,0,10000,0,10000
30000,0,10000,1,25,0.053708349,0.001098212,3268.096807,8794864.576,975,0,10000,0,10000,1,0.503725
30000,1,26,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,116,1,20,0.081718303,0.003435567,2117.054945,10273254.29,95,0,10000,0,10000,0,10000
30000,1,316,1,20,0.057130759,0.001184376,3029.841924,9061244.161,295,0,10000,0,10000,0,10000
30000,0,10000,1,25,0.055903374,0.002157627,3281.888412,11458655.77,470,1,495,0,10000,0,10000
30000,1,388,1,22,0.058182642,0.001570455,2972.412742,8423282.143,365,0,10000,0,10000,0,10000
30000,0,10000,1,19,0.063799807,0.002766408,3158.79021,12512031.13,576,1,595,0,10000,0,10000
30000,1,415,1,23,0.046270168,0.000873629,4333.346253,19335479.35,391,0,10000,0,10000,0,10000
30000,1,79,1,23,0.062680214,0.003432874,2107.509804,1158199.27,55,0,10000,0,10000,0,10000
30000,1,160,1,24,0.054945056,0.001153679,2140.569231,3566027.353,134,0,10000,0,10000,0,10000
30000,1,377,1,23,0.080262789,0.005726944,2494.77937,9572356.218,353,0,10000,0,10000,0,10000
30000,0,10000,1,19,0.055604212,0.001555404,4013.423077,11671680.17,30,1,49,0,10000,0,10000
30000,1,174,1,23,0.057091527,0.001208883,2646.034247,7954918.773,150,0,10000,0,10000,0,10000
30000,1,733,1,22,0.058559719,0.001843978,4328.393768,20118850.56,710,0,10000,0,10000,0,10000
30000,1,542,1,20,0.057296993,0.001647519,4194.59381,16373154.81,521,0,10000,0,10000,0,10000
30000,1,741,1,21,0.057677825,0.001501781,3294.329132,16819673.15,718,0,10000,0,10000,0,10000
30000,1,46,1,26,0.233308333,0.003355819,217.5333333,25366.24889,19,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.075926497,0.007753006,2898.615385,8121220.801,43,1,67,0,10000,0,10000
30000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.051946682,0.00293944,3885.058824,12779909.23,21,1,45,0,10000,0,10000
40000,1,268,1,23,0.048433765,0.001142239,6102.733333,55821398.05,244,0,10000,0,10000,0,10000
40000,0,10000,1,23,0.084874927,0.007203632,2410.195251,7634995.893,383,1,406,0,10000,0,10000
40000,1,54,1,21,0.059074361,0.001388652,1517.75,923163.2589,32,0,10000,0,10000,0,10000
40000,0,10000,1,25,0.074375446,0.003562482,4016.191176,23637467.23,276,1,301,0,10000,0,10000
40000,1,325,1,23,0.066358072,0.001773691,3244.164983,12779502.16,301,0,10000,0,10000,0,10000
40000,1,289,1,23,0.066661023,0.002793233,6217.773077,64359620.72,264,0,10000,0,10000,0,10000
40000,1,740,1,21,0.05961335,0.001520466,3806.033661,23917140.07,717,0,10000,0,10000,0,10000
40000,1,189,1,22,0.076534506,0.002817243,2991.795031,13183027.12,165,0,10000,0,10000,0,10000
40000,1,253,1,20,0.0589298,0.001876517,5041.894737,37766069.13,232,0,10000,0,10000,0,10000
