Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
10000,1,97,1,28,0.120840473,0.017886379,1770.921875,1919562.103,68,0,10000,0,10000,0,10000
10000,1,104,1,30,0.126249474,0.011679608,1226.691176,1795583.331,72,0,10000,0,10000,0,10000
10000,1,35,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
10000,1,435,1,28,0.058709051,0.002054045,2237.399002,4512309.432,405,0,10000,0,10000,0,10000
10000,1,307,1,24,0.066562571,0.002398837,1840.392086,3210595.267,282,0,10000,0,10000,0,10000
10000,1,165,1,25,0.113179157,0.006458991,1218.207407,2428966.594,139,0,10000,0,10000,0,10000
10000,1,231,1,27,0.097540774,0.008580759,1875.557789,4755215.885,203,0,10000,0,10000,0,10000
10000,1,153,1,27,0.075419963,0.004047987,1163.743802,570397.8269,125,0,10000,0,10000,0,10000
10000,1,109,1,28,0.1140398,0.028358436,1889.578947,2431704.454,80,0,10000,0,10000,0,10000
10000,1,188,1,24,0.075340908,0.00374485,1497.251572,1407662.83,163,0,10000,0,10000,0,10000
10000,1,172,1,28,0.106809068,0.006042704,1377.899281,1952534.278,143,0,10000,0,10000,0,10000
10000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
10000,1,167,1,31,0.096374241,0.004460297,1401.607692,1992593.131,134,0,10000,0,10000,0,10000
10000,1,90,1,24,0.091395967,0.003974005,1095.04918,575660.8664,65,0,10000,0,10000,0,10000
10000,1,183,1,23,0.078905478,0.005303937,1592.428571,1848651.167,158,0,10000,0,10000,0,10000
10000,1,63,1,28,0.08750672,0.009729952,1963.666667,1325907.689,34,0,10000,0,10000,0,10000
10000,1,172,1,26,0.069724809,0.002584117,1138.007092,677177.3262,145,0,10000,0,10000,0,10000
10000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
10000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
10000,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,35,0,10000,0,10000
20000,0,10000,1,27,0.127426857,0.007473315,869.4411765,629371.5407,72,1,99,0,10000,0,10000
20000,1,49,1,25,0.07397455,0.005292302,2046.611111,2350678.015,22,0,10000,0,10000,0,10000
20000,1,131,1,24,0.091215399,0.00268209,1203.058824,1673430.683,106,0,10000,0,10000,0,10000
20000,1,328,1,27,0.074524532,0.002096275,1866.92517,3389167.545,298,0,10000,0,10000,0,10000
20000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,1,72,1,27,0.12621889,0.013056407,1763.076923,3386776.943,44,0,10000,0,10000,0,10000
20000,1,116,1,28,0.07231924,0.001907088,2729.487805,4639542.372,86,0,10000,0,10000,0,10000
20000,1,69,1,25,0.117320372,0.014448396,4150.333333,14960282.27,43,0,10000,0,10000,0,10000
20000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,1,494,1,24,0.097666646,0.011211727,2099.747845,6465595.339,468,0,10000,0,10000,0,10000
20000,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,34,0,10000,0,10000
20000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,1,94,1,24,0.071113346,0.001987671,3390.953846,11331491.03,69,0,10000,0,10000,0,10000
