Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
10000,0,10000,1,48,0.032396378,0.000803292,4006.735232,3433981.022,952,0,10000,0,10000,1,0.38992
10000,0,10000,1,62,0.030511497,0.000419135,3770.195931,2705179.076,938,0,10000,0,10000,1,0.498906
10000,0,10000,1,53,0.029702765,0.000298088,3690.68929,2569745.419,947,0,10000,0,10000,1,0.579846
10000,0,10000,1,60,0.034763642,0.001934557,3801.852564,3495518.547,940,0,10000,0,10000,1,0.256546
10000,0,10000,1,61,0.034497515,0.000908899,3699.8,3652218.74,939,0,10000,0,10000,1,0.41879
10000,0,10000,1,62,0.037708267,0.00113021,3851.85546,4584312.132,938,0,10000,0,10000,1,0.331268
10000,0,10000,1,54,0.032420476,0.000858606,4113.282378,5563831.266,946,0,10000,0,10000,1,0.252459
10000,0,10000,1,52,0.031867028,0.000357977,3787.122881,2455863.671,948,0,10000,0,10000,1,0.635994
10000,0,10000,1,62,0.03378839,0.000877954,3884.496788,3724070.49,938,0,10000,0,10000,1,0.287827
10000,0,10000,1,59,0.032152829,0.000802106,3924.219851,3887890.654,941,0,10000,0,10000,1,0.307613
10000,0,10000,1,61,0.03591314,0.000800971,3612.250267,3574753.114,939,0,10000,0,10000,1,0.687272
10000,1,325,1,70,0.072263303,0.014068967,3278.432,3916410.581,254,0,10000,0,10000,0,10000
10000,0,10000,1,58,0.032325412,0.000484168,3657.272921,2600417.629,942,0,10000,0,10000,1,0.61367
10000,0,10000,1,60,0.037221914,0.00103495,3760.837607,3520384.916,940,0,10000,0,10000,1,0.284785
10000,0,10000,1,52,0.033018452,0.000535919,3768.716102,2897810.585,948,0,10000,0,10000,1,0.265229
10000,0,10000,1,50,0.032237707,0.000365843,3589.623679,2411689.558,950,0,10000,0,10000,1,0.387361
10000,0,10000,1,61,0.030148462,0.000261684,3669.935829,2069804.347,939,0,10000,0,10000,1,0.48041
10000,0,10000,1,62,0.034381494,0.001309869,3909.626338,4719680.459,938,0,10000,0,10000,1,0.531627
10000,0,10000,1,50,0.030520352,0.000288672,3706.957717,2496984.616,950,0,10000,0,10000,1,0.415829
10000,0,10000,1,53,0.033062437,0.000664006,3838.256628,3553075.474,947,0,10000,0,10000,1,0.653155
20000,1,476,1,63,0.084416287,0.014432704,4971.110294,13499313.84,412,0,10000,0,10000,0,10000
20000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,1,219,1,63,0.127997734,0.029480957,4321.708609,11469683.4,155,0,10000,0,10000,0,10000
20000,1,485,1,62,0.060709722,0.011365588,5585.732057,17311129.65,422,0,10000,0,10000,0,10000
20000,1,135,1,68,0.078380667,0.009019904,4206.868852,8791328.212,65,0,10000,0,10000,0,10000
20000,1,144,1,55,0.178192639,0.069110031,3266.5,5569528.893,88,0,10000,0,10000,0,10000
20000,1,239,1,67,0.04468286,0.001606611,5581.473054,10364458.08,171,0,10000,0,10000,0,10000
20000,1,398,1,56,0.062864064,0.010129133,3983.296736,4147001.467,341,0,10000,0,10000,0,10000
20000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,1,262,1,68,0.146188928,0.040650707,3633.486772,8555597.118,193,0,10000,0,10000,0,10000
20000,1,290,1,65,0.074750906,0.0044326,4844.940639,17974019.46,223,0,10000,0,10000,0,10000
20000,1,423,1,66,0.0657747,0.008429615,5763.951705,18658965.81,356,0,10000,0,10000,0,10000
20000,1,427,1,54,0.074042943,0.011150593,5782.706522,12818711.12,372,0,10000,0,10000,0,10000
20000,1,353,1,60,0.067147381,0.009308063,4520.968641,7445483.961,291,0,10000,0,10000,0,10000
20000,1,305,1,60,0.065893137,0.008706544,5399.054167,18076892.01,244,0,10000,0,10000,0,10000
20000,1,420,1,62,0.070009856,0.009641915,5895.093484,17688600.22,357,0,10000,0,10000,0,10000
20000,1,564,1,58,0.066808395,0.006561193,5031.800399,10674436.94,505,0,10000,0,10000,0,10000
20000,1,222,1,65,0.064136724,0.002897805,5494.394737,13132608.23,156,0,10000,0,10000,0,10000
20000,1,358,1,59,0.101700137,0.020797662,4579.282313,16721162.67,298,0,10000,0,10000,0,10000
20000,1,409,1,67,0.061875031,0.011856224,5561.599407,12459346.59,341,0,10000,0,10000,0,10000
30000,1,81,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,78,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,182,1,56,0.109863968,0.015623367,4991.099174,19236368.55,125,0,10000,0,10000,0,10000
30000,1,79,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,322,1,55,0.095864072,0.01134886,4689.057252,8915978.794,266,0,10000,0,10000,0,10000
30000,1,161,1,60,0.088897876,0.00647133,2815.604167,2446190.01,100,0,10000,0,10000,0,10000
30000,1,161,1,60,0.089841226,0.004871265,5470.736842,21041619.5,99,0,10000,0,10000,0,10000
30000,1,194,1,63,0.153215381,0.031129694,4981.706349,23626273.67,130,0,10000,0,10000,0,10000
30000,1,76,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,261,1,66,0.080909365,0.005808414,4373.431579,6552561.382,194,0,10000,0,10000,0,10000
30000,1,537,1,63,0.097228024,0.025711888,6869.779915,21845324.05,472,0,10000,0,10000,0,10000
30000,1,78,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,77,1,65,0.471281333,0.016957089,98.33333333,192.8888889,10,0,10000,0,10000,0,10000
30000,1,159,1,56,0.209871347,0.018762801,1256.795918,1662737.673,102,0,10000,0,10000,0,10000
30000,1,92,1,56,0.140813281,0.014669275,3348.83871,6317041.748,35,0,10000,0,10000,0,10000
30000,1,203,1,63,0.11835417,0.044789689,6393.888889,13230257.77,139,0,10000,0,10000,0,10000
30000,1,103,1,57,0.270272828,0.049914787,1389.4,842231.04,44,0,10000,0,10000,0,10000
40000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
