Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
10000,0,10000,1,31,0.034741157,0.000318853,1741.756477,747293.8423,969,0,10000,0,10000,1,0.613569
10000,0,10000,1,23,0.03467298,0.000259129,1912.303186,1107945.72,977,0,10000,0,10000,1,0.75481
10000,0,10000,1,25,0.035453849,0.000399331,1879.224511,1181347.253,975,0,10000,0,10000,1,0.624899
10000,0,10000,1,25,0.034385741,0.000275962,1762.159629,731920.3731,975,0,10000,0,10000,1,0.629299
10000,0,10000,1,26,0.033475407,0.000289151,1770.194845,784341.0229,974,0,10000,0,10000,1,0.779917
10000,0,10000,1,26,0.035344236,0.000246241,1776.491753,717725.7819,974,0,10000,0,10000,1,0.648977
10000,0,10000,1,25,0.037322554,0.000323137,1782.680742,948088.5078,975,0,10000,0,10000,1,0.630695
10000,0,10000,1,23,0.035799008,0.000338307,1731.485098,724291.0124,977,0,10000,0,10000,1,0.685957
10000,0,10000,1,27,0.040337419,0.000937274,1841.822497,1315177.756,973,0,10000,0,10000,1,0.604191
10000,0,10000,1,30,0.036133425,0.000528883,1782.827122,811307.9525,970,0,10000,0,10000,1,0.580377
10000,0,10000,1,24,0.033764891,0.000206797,1790.806584,670211.0552,976,0,10000,0,10000,1,0.625487
10000,0,10000,1,21,0.037689514,0.001238117,1819.46359,857675.74,979,0,10000,0,10000,1,0.661797
10000,0,10000,1,23,0.033833292,0.000291462,1805.967112,828030.595,977,0,10000,0,10000,1,0.509772
10000,0,10000,1,25,0.038296485,0.000524212,1847.894954,1227607.173,975,0,10000,0,10000,1,0.717511
10000,0,10000,1,25,0.038041095,0.000496083,1693.684861,666313.359,975,0,10000,0,10000,1,0.79668
10000,0,10000,1,29,0.033242114,0.000212433,1908.708376,774068.3576,971,0,10000,0,10000,1,0.546574
10000,0,10000,1,26,0.035149842,0.000214936,1623.225773,490319.416,974,0,10000,0,10000,1,0.695536
10000,0,10000,1,23,0.032522484,0.000205717,1842.500514,662683.0989,977,0,10000,0,10000,1,0.62258
10000,0,10000,1,28,0.032701312,0.000204687,1903.339876,1011821.871,972,0,10000,0,10000,1,0.77863
10000,0,10000,1,27,0.03731349,0.000604098,1740.990712,868892.7915,973,0,10000,0,10000,1,0.63294
20000,0,10000,1,22,0.055470204,0.001190183,1979.334702,2536978.313,978,0,10000,0,10000,1,0.843009
20000,0,10000,1,29,0.051993843,0.000810291,2196.958991,2799487.143,321,1,350,0,10000,0,10000
20000,0,10000,1,25,0.053115309,0.000977919,1972.051493,1807368.535,975,0,10000,0,10000,1,0.762998
20000,0,10000,1,25,0.050132807,0.000538923,2053.53656,2285646.683,975,0,10000,0,10000,1,0.877551
20000,0,10000,1,26,0.048534333,0.000929998,2067.959794,3788078.179,974,0,10000,0,10000,1,0.743892
20000,0,10000,1,22,0.046881652,0.000496327,1901.073922,1619062.771,978,0,10000,0,10000,1,0.786424
20000,0,10000,1,28,0.054728502,0.001289096,1884.400826,1916155.098,972,0,10000,0,10000,1,0.818885
20000,1,752,1,23,0.050190548,0.000690076,1895.827109,1430682.375,727,0,10000,0,10000,0,10000
20000,1,566,1,24,0.057112335,0.00122713,1633.048689,1032167.548,538,0,10000,0,10000,0,10000
20000,0,10000,1,26,0.055357675,0.002248737,1837.248454,2030148.053,974,0,10000,0,10000,1,0.768364
20000,0,10000,1,27,0.053186966,0.000974227,2076.467492,2728147.099,973,0,10000,0,10000,1,0.777135
20000,0,10000,1,23,0.054003282,0.001571403,2349.221729,3575025.317,455,1,478,0,10000,0,10000
20000,1,37,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
20000,0,10000,1,21,0.079402848,0.007603973,1467.070313,1220932.565,132,1,153,0,10000,0,10000
20000,0,10000,1,21,0.054390748,0.00089966,1783.66359,1504947.971,979,0,10000,0,10000,1,0.644357
20000,0,10000,1,23,0.050249351,0.001409404,1987.358824,1742489.642,174,1,197,0,10000,0,10000
