,Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,0.8,0.8,0,10000,1,24,0.008045679,1.51E-05,0.00344715,1.65E-06,12910.03086,3575419.668,976,0,10000,0,10000,1,0.650505,0,10000,0,0
2,0.8,0.8,0,10000,1,20,0.007887101,1.51E-05,0.0033721,1.61E-06,13084.10246,3862238.033,980,0,10000,0,10000,1,0.668465,0,10000,0,0
3,0.8,0.8,0,10000,1,25,0.008276331,1.87E-05,0.003528109,2.10E-06,13012.8898,3782902.689,975,0,10000,0,10000,1,0.693275,0,10000,0,0
4,0.8,0.8,0,10000,1,24,0.007788415,1.28E-05,0.003350407,1.55E-06,13022.11626,3560035.483,976,0,10000,0,10000,1,0.671088,0,10000,0,0
5,0.8,0.8,0,10000,1,23,0.008085242,1.52E-05,0.003464612,1.80E-06,12902.01028,3756881.132,977,0,10000,0,10000,1,0.673435,0,10000,0,0
6,0.8,0.8,0,10000,1,23,0.007946935,1.43E-05,0.003424844,1.73E-06,12951.18294,3223849.518,977,0,10000,0,10000,1,0.722596,0,10000,0,0
7,0.8,0.8,0,10000,1,24,0.007876666,1.45E-05,0.003306987,1.46E-06,13119.47222,3828372.679,976,0,10000,0,10000,1,0.737992,0,10000,0,0
8,0.8,0.8,0,10000,1,24,0.00789232,1.47E-05,0.003372932,1.65E-06,13019.57716,4074236.051,976,0,10000,0,10000,1,0.671163,0,10000,0,0
9,0.8,0.8,0,10000,1,23,0.008331321,2.05E-05,0.003545727,1.85E-06,12925.34738,3405211.684,977,0,10000,0,10000,1,0.682601,0,10000,0,0
10,0.8,0.8,0,10000,1,25,0.007819275,1.34E-05,0.003449855,2.10E-06,12828.90319,4034221.56,975,0,10000,0,10000,1,0.660385,0,10000,0,0
11,0.8,0.8,0,10000,1,23,0.008338298,1.59E-05,0.003602538,2.01E-06,12788.50462,4157417.134,977,0,10000,0,10000,1,0.70097,0,10000,0,0
12,0.8,0.8,0,10000,1,22,0.007937681,1.48E-05,0.003414309,1.78E-06,13033.28337,4029935.3,978,0,10000,0,10000,1,0.647736,0,10000,0,0
13,0.8,0.8,0,10000,1,23,0.00816954,1.68E-05,0.003548769,1.94E-06,12949.99692,4307681.423,977,0,10000,0,10000,1,0.662677,0,10000,0,0
14,0.8,0.8,0,10000,1,25,0.007955215,1.27E-05,0.003456945,1.42E-06,12795.45932,3954137.414,975,0,10000,0,10000,1,0.69911,0,10000,0,0
15,0.8,0.8,0,10000,1,22,0.007896163,1.57E-05,0.003378948,1.92E-06,12966.74025,3263898.168,978,0,10000,0,10000,1,0.64045,0,10000,0,0
16,0.8,0.8,0,10000,1,23,0.007278267,1.16E-05,0.003160578,1.44E-06,13021.69579,3279165.725,977,0,10000,0,10000,1,0.685851,0,10000,0,0
17,0.8,0.8,0,10000,1,22,0.008247771,2.14E-05,0.003411112,2.03E-06,13110.86756,4371905.871,978,0,10000,0,10000,1,0.687765,0,10000,0,0
18,0.8,0.8,0,10000,1,26,0.007894993,1.27E-05,0.003405288,1.57E-06,12763.0268,3884425.003,974,0,10000,0,10000,1,0.708149,0,10000,0,0
19,0.8,0.8,0,10000,1,22,0.008156904,1.64E-05,0.003485284,1.99E-06,12977.89836,4199325.467,978,0,10000,0,10000,1,0.649078,0,10000,0,0
20,0.8,0.8,0,10000,1,24,0.008348472,2.11E-05,0.003540172,2.09E-06,12701.79321,3062316.15,976,0,10000,0,10000,1,0.6688,0,10000,0,0
421,0.81,0.8,0,10000,1,22,0.008737315,1.69E-05,0.003723271,1.83E-06,12588.85216,4236685.898,978,0,10000,0,10000,1,0.644677,0,10000,0,0
422,0.81,0.8,0,10000,1,22,0.008527916,1.49E-05,0.003681778,1.90E-06,12585.31314,4057339.377,978,0,10000,0,10000,1,0.6245,0,10000,0,0
423,0.81,0.8,0,10000,1,22,0.008233856,1.70E-05,0.003589628,2.05E-06,12593.18789,3686273.654,978,0,10000,0,10000,1,0.66284,0,10000,0,0
424,0.81,0.8,0,10000,1,24,0.008473,2.14E-05,0.003634456,2.10E-06,12514.3323,3434310.796,976,0,10000,0,10000,1,0.702903,0,10000,0,0
