,Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,0.8,0.8,0,10000,1,25,0.010219743,2.97E-05,0.003963561,2.94E-06,10013.24408,2999076.695,975,0,10000,0,10000,1,0.769543,0,10000,0,0
2,0.8,0.8,0,10000,1,22,0.010590669,3.02E-05,0.004037339,2.46E-06,10136.90452,2836682.24,978,0,10000,0,10000,1,0.761172,0,10000,0,0
3,0.8,0.8,0,10000,1,23,0.010107013,3.46E-05,0.003833452,3.43E-06,10208.8222,3265047.423,977,0,10000,0,10000,1,0.803477,0,10000,0,0
4,0.8,0.8,0,10000,1,23,0.010555267,3.12E-05,0.004173478,3.43E-06,10021.79445,2667163.896,977,0,10000,0,10000,1,0.759091,0,10000,0,0
5,0.8,0.8,0,10000,1,22,0.010059257,3.26E-05,0.003868786,2.64E-06,10107.15298,2452283.729,978,0,10000,0,10000,1,0.757198,0,10000,0,0
6,0.8,0.8,0,10000,1,23,0.011176388,4.81E-05,0.004302847,4.88E-06,10083.05653,3847631.72,977,0,10000,0,10000,1,0.72805,0,10000,0,0
7,0.8,0.8,0,10000,1,24,0.010396166,4.46E-05,0.003999008,2.96E-06,10088.1965,3378649.281,976,0,10000,0,10000,1,0.710109,0,10000,0,0
8,0.8,0.8,0,10000,1,26,0.009825966,2.38E-05,0.003988078,2.72E-06,10073.73814,3087212.28,974,0,10000,0,10000,1,0.783291,0,10000,0,0
9,0.8,0.8,0,10000,1,25,0.010552433,3.64E-05,0.004069243,3.06E-06,10118.92997,2812168.673,975,0,10000,0,10000,1,0.709965,0,10000,0,0
10,0.8,0.8,0,10000,1,24,0.010335131,3.21E-05,0.004100046,2.83E-06,9989.311728,2656717.175,976,0,10000,0,10000,1,0.723845,0,10000,0,0
