,Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,-1,0,0,10000,1,20,0.041040092,0.000441279,0.016733079,6.76E-05,10652.89857,25288741.03,980,0,10000,0,10000,1,0.858788,0,10000,0,0
2,-1,0,0,10000,1,23,0.040226089,0.000377266,0.016403627,6.53E-05,10834.60843,25596618.92,977,0,10000,0,10000,1,0.656542,0,10000,0,0
3,-1,0,0,10000,1,22,0.040859153,0.000435637,0.016578286,7.54E-05,10898.1345,23524851.48,978,0,10000,0,10000,1,0.517765,0,10000,0,0
4,-1,0,0,10000,1,20,0.040075639,0.000463321,0.01641839,8.68E-05,10775.48566,24961247.35,980,0,10000,0,10000,1,0.430304,0,10000,0,0
5,-1,0,0,10000,1,22,0.038904933,0.000339355,0.015479687,4.79E-05,10634.38912,25557045.37,978,0,10000,0,10000,1,0.52988,0,10000,0,0
6,-1,0,0,10000,1,22,0.040176864,0.00042596,0.01635294,6.87E-05,10896.41992,22646963.33,978,0,10000,0,10000,1,0.789949,0,10000,0,0
7,-1,0,0,10000,1,20,0.043153023,0.000574873,0.017665474,9.91E-05,11718.11168,37956774.16,980,0,10000,0,10000,1,0.84721,0,10000,0,0
8,-1,0,0,10000,1,23,0.038528138,0.000405797,0.015917943,7.87E-05,10769.36793,24747108.34,977,0,10000,0,10000,1,0.706091,0,10000,0,0
9,-1,0,0,10000,1,21,0.04091206,0.000468618,0.017215786,0.000102538,10393.73128,21201989.43,979,0,10000,0,10000,1,0.7868,0,10000,0,0
10,-1,0,0,10000,1,21,0.039601597,0.000413269,0.016097476,7.11E-05,11274.48513,33679474.05,979,0,10000,0,10000,1,0.774702,0,10000,0,0
11,-1,0,0,10000,1,20,0.040283868,0.000370327,0.016065765,5.87E-05,11278.22541,29272194.38,980,0,10000,0,10000,1,0.755903,0,10000,0,0
12,-1,0,0,10000,1,21,0.038737164,0.000356143,0.015772506,6.82E-05,11105.76,25069093.68,979,0,10000,0,10000,1,0.517128,0,10000,0,0
13,-1,0,0,10000,1,20,0.040189523,0.000362087,0.016364988,6.82E-05,10594.52357,26484982.37,980,0,10000,0,10000,1,0.758449,0,10000,0,0
14,-1,0,0,10000,1,19,0.04022449,0.000330416,0.015886842,5.14E-05,11195.52405,22160804.19,981,0,10000,0,10000,1,0.809351,0,10000,0,0
15,-1,0,0,10000,1,23,0.040013608,0.00038487,0.016196443,6.86E-05,11350.99486,21805857.61,977,0,10000,0,10000,1,0.801057,0,10000,0,0
16,-1,0,0,10000,1,20,0.041244535,0.000622642,0.016836837,8.47E-05,10699.81489,24240170.78,528,1,548,0,10000,0,10000,0,10000,1,0
17,-1,0,0,10000,1,20,0.039567227,0.000392335,0.016041362,6.70E-05,11351.74693,33349432.45,980,0,10000,0,10000,1,0.817345,0,10000,0,0
18,-1,0,0,10000,1,22,0.041163263,0.000431096,0.016751575,9.15E-05,10952.67351,24634534.34,978,0,10000,0,10000,1,0.870697,0,10000,0,0
19,-1,0,0,10000,1,21,0.041187268,0.000421749,0.016769111,8.07E-05,10816.61436,24325523.98,979,0,10000,0,10000,1,0.770587,0,10000,0,0
20,-1,0,0,10000,1,20,0.040658427,0.000395234,0.016569269,6.12E-05,10540.94877,23998896.01,980,0,10000,0,10000,1,0.653874,0,10000,0,0
1,-1,0,0,10000,1,22,0.039452201,0.000401259,0.015961446,6.49E-05,11285.70945,29601852.58,978,0,10000,0,10000,1,0.796673,0,10000,0,0
2,-1,0,0,10000,1,20,0.040633434,0.000370319,0.016815431,6.27E-05,10601.09734,30659928.4,980,0,10000,0,10000,1,0.6462,0,10000,0,0
3,-1,0,0,10000,1,20,0.041728015,0.000495107,0.016837221,8.98E-05,11302.5666,29799495.76,980,0,10000,0,10000,1,0.654075,0,10000,0,0
4,-1,0,0,10000,1,22,0.041281199,0.000474579,0.016912405,8.03E-05,10703.11396,27199286.38,978,0,10000,0,10000,1,0.808375,0,10000,0,0
5,-1,0,0,10000,1,20,0.039864617,0.000450428,0.016122884,6.82E-05,10996.72234,29951902.36,980,0,10000,0,10000,1,0.729427,0,10000,0,0
6,-1,0,0,10000,1,20,0.040607478,0.000364008,0.016956687,7.65E-05,10568.14242,24539756.08,980,0,10000,0,10000,1,0.367409,0,10000,0,0
7,-1,0,0,10000,1,20,0.037950556,0.000336548,0.015715821,6.74E-05,12259.22234,42099543.86,980,0,10000,0,10000,1,0.860935,0,10000,0,0
8,-1,0,0,10000,1,20,0.040179158,0.00043532,0.016209747,7.76E-05,11224.14652,28571031.46,980,0,10000,0,10000,1,0.698159,0,10000,0,0
9,-1,0,0,10000,1,21,0.040743499,0.000425963,0.017184286,9.37E-05,11437.95795,40568630.62,979,0,10000,0,10000,1,0.813405,0,10000,0,0
10,-1,0,0,10000,1,20,0.041368884,0.000354171,0.016775851,6.18E-05,11349.0082,32788853.33,980,0,10000,0,10000,1,0.80502,0,10000,0,0
11,-1,0,0,10000,1,24,0.041022925,0.000416783,0.016691392,8.09E-05,10624.30144,24669426.79,976,0,10000,0,10000,1,0.661766,0,10000,0,0
12,-1,0,0,10000,1,20,0.039920276,0.000446345,0.016256476,6.57E-05,10980.72029,30717068.56,980,0,10000,0,10000,1,0.656344,0,10000,0,0
13,-1,0,0,10000,1,18,0.03927439,0.000435684,0.015747685,6.40E-05,10556.54908,28111511.3,982,0,10000,0,10000,1,0.599543,0,10000,0,0
14,-1,0,0,10000,1,19,0.040025186,0.000413979,0.016683388,8.34E-05,10708.09212,31060168.52,981,0,10000,0,10000,1,0.591521,0,10000,0,0
15,-1,0,0,10000,1,21,0.041915883,0.000536807,0.017219248,0.000109342,11392.09744,32680972.46,979,0,10000,0,10000,1,0.747383,0,10000,0,0
16,-1,0,0,10000,1,20,0.04129588,0.000623561,0.016539283,0.000101017,11486.50512,31337655.97,980,0,10000,0,10000,1,0.713722,0,10000,0,0
17,-1,0,0,10000,1,20,0.039019506,0.000351136,0.015564452,5.82E-05,11440.26127,29995680.74,980,0,10000,0,10000,1,0.550619,0,10000,0,0
18,-1,0,0,10000,1,20,0.03957286,0.000354022,0.01561533,5.12E-05,10601.62193,17965124.66,980,0,10000,0,10000,1,0.705681,0,10000,0,0
19,-1,0,0,10000,1,20,0.041425251,0.000551979,0.017547007,0.000130765,10339.85451,22368142.19,980,0,10000,0,10000,1,0.717687,0,10000,0,0
20,-1,0,0,10000,1,21,0.03997712,0.000441057,0.016578053,9.55E-05,11248.79897,32635753.14,979,0,10000,0,10000,1,0.596737,0,10000,0,0
21,-1,0,0,10000,1,22,0.043704133,0.000840082,0.018878962,0.000284471,11069.05031,35404079.72,978,0,10000,0,10000,1,0.752518,0,10000,0,0
22,-1,0,0,10000,1,22,0.042243472,0.000449233,0.016954685,7.15E-05,10955.17248,30412148.87,978,0,10000,0,10000,1,0.576909,0,10000,0,0
23,-1,0,0,10000,1,25,0.040079007,0.000379687,0.016300215,6.11E-05,11272.4243,36262210.31,975,0,10000,0,10000,1,0.787344,0,10000,0,0
24,-1,0,0,10000,1,22,0.043114674,0.000894855,0.019153693,0.000360332,11145.30287,43783166.24,978,0,10000,0,10000,1,0.515836,0,10000,0,0
25,-1,0,0,10000,1,22,0.042627585,0.000481816,0.017718352,8.86E-05,10636.76283,25050589.44,978,0,10000,0,10000,1,0.82991,0,10000,0,0
26,-1,0,0,10000,1,22,0.041977125,0.00051182,0.017542987,0.00010863,10331.43737,24943654.89,978,0,10000,0,10000,1,0.55857,0,10000,0,0
27,-1,0,0,10000,1,21,0.039254354,0.000348791,0.015580306,5.97E-05,10949.46359,20621437.19,979,0,10000,0,10000,1,0.629041,0,10000,0,0
28,-1,0,0,10000,1,19,0.040665372,0.00042287,0.01646147,7.38E-05,11737.35619,36344973.75,981,0,10000,0,10000,1,0.469905,0,10000,0,0
29,-1,0,0,10000,1,21,0.038052697,0.000317638,0.01550833,5.21E-05,11208.28513,28737939.39,979,0,10000,0,10000,1,0.839782,0,10000,0,0
30,-1,0,0,10000,1,21,0.040696496,0.00041958,0.016069697,6.42E-05,10974.58974,24494044.78,979,0,10000,0,10000,1,0.641466,0,10000,0,0
31,-1,0,0,10000,1,20,0.040185716,0.000357052,0.016390832,7.42E-05,10589.30123,18295562.91,980,0,10000,0,10000,1,0.622896,0,10000,0,0
32,-1,0,0,10000,1,23,0.040929213,0.000410788,0.016740753,7.90E-05,10309.47379,21589160.08,977,0,10000,0,10000,1,0.599499,0,10000,0,0
33,-1,0,0,10000,1,19,0.041375441,0.000466216,0.016657838,8.10E-05,11047.15558,27012162.3,981,0,10000,0,10000,1,0.547312,0,10000,0,0
34,-1,0,0,10000,1,20,0.039374163,0.000387668,0.015994347,5.78E-05,10654.72131,23580575.26,980,0,10000,0,10000,1,0.789041,0,10000,0,0
35,-1,0,0,10000,1,20,0.0438636,0.000669729,0.018971647,0.000182397,10209.3873,22645259.4,980,0,10000,0,10000,1,0.799389,0,10000,0,0
36,-1,0,0,10000,1,20,0.038338428,0.000332507,0.015350677,5.40E-05,11632.98566,32338407.49,980,0,10000,0,10000,1,0.751618,0,10000,0,0
37,-1,0,0,10000,1,21,0.038867963,0.000352093,0.016145638,6.77E-05,11145.75795,27904806.81,979,0,10000,0,10000,1,0.586397,0,10000,0,0
38,-1,0,0,10000,1,20,0.040133705,0.000432508,0.016424701,7.21E-05,10592.74693,26973901.5,980,0,10000,0,10000,1,0.701804,0,10000,0,0
39,-1,0,0,10000,1,20,0.041155435,0.000599834,0.017483822,0.000235744,10926.45389,27655561.3,980,0,10000,0,10000,1,0.247482,0,10000,0,0
40,-1,0,0,10000,1,23,0.039947686,0.000395019,0.016065378,6.38E-05,11173.41316,27853525.34,977,0,10000,0,10000,1,0.764094,0,10000,0,0
41,-1,0,0,10000,1,22,0.041778338,0.000509691,0.016431495,7.34E-05,11426.71766,30643005.73,978,0,10000,0,10000,1,0.707727,0,10000,0,0
42,-1,0,0,10000,1,22,0.03836362,0.000391566,0.016117548,7.85E-05,11215.45483,31670635.55,978,0,10000,0,10000,1,0.39075,0,10000,0,0
43,-1,0,0,10000,1,22,0.039848453,0.000419251,0.016464146,7.93E-05,11216.89938,28593275.4,978,0,10000,0,10000,1,0.683414,0,10000,0,0
44,-1,0,0,10000,1,21,0.040114725,0.000332315,0.016827645,6.69E-05,10863.68205,29612598.87,979,0,10000,0,10000,1,0.358122,0,10000,0,0
45,-1,0,0,10000,1,22,0.039355587,0.000397283,0.015866408,6.86E-05,11556.25257,31660426.44,978,0,10000,0,10000,1,0.520037,0,10000,0,0
46,-1,0,0,10000,1,20,0.039740814,0.000366986,0.015806205,6.12E-05,11074.46209,23986787.79,980,0,10000,0,10000,1,0.728331,0,10000,0,0
47,-1,0,0,10000,1,21,0.041039859,0.000472471,0.016706413,7.65E-05,11138.2759,30713986.27,979,0,10000,0,10000,1,0.211006,0,10000,0,0
48,-1,0,0,10000,1,19,0.037466794,0.000386936,0.015171295,5.97E-05,11001.1607,33233060.87,981,0,10000,0,10000,1,0.846504,0,10000,0,0
49,-1,0,0,10000,1,21,0.038917845,0.000422743,0.015810588,6.16E-05,11198.92,30614056.78,979,0,10000,0,10000,1,0.775646,0,10000,0,0
50,-1,0,0,10000,1,21,0.041220079,0.000444145,0.016514881,6.62E-05,11115.77231,25568901.52,979,0,10000,0,10000,1,0.677041,0,10000,0,0
51,-1,0,0,10000,1,21,0.03950936,0.000423534,0.016683342,8.23E-05,10803.9159,27083025.56,979,0,10000,0,10000,1,0.468473,0,10000,0,0
52,-1,0,0,10000,1,22,0.040215704,0.000413715,0.016549419,6.48E-05,10921.17762,29845077.23,978,0,10000,0,10000,1,0.335495,0,10000,0,0
53,-1,0,0,10000,1,19,0.040003263,0.000324062,0.016506436,6.22E-05,11126.71136,24927172.67,981,0,10000,0,10000,1,0.495317,0,10000,0,0
54,-1,0,0,10000,1,23,0.042700175,0.000392821,0.017634606,8.05E-05,10674.56629,20873024.33,977,0,10000,0,10000,1,0.76646,0,10000,0,0
55,-1,0,0,10000,1,20,0.041191866,0.00048482,0.016451519,6.15E-05,11120.77049,29507624.25,980,0,10000,0,10000,1,0.603976,0,10000,0,0
56,-1,0,0,10000,1,21,0.039779133,0.000360416,0.015988519,6.06E-05,11071.14564,26773377.98,979,0,10000,0,10000,1,0.865327,0,10000,0,0
57,-1,0,0,10000,1,21,0.040389071,0.000624406,0.017377367,0.000183482,11439.60308,42131529.3,979,0,10000,0,10000,1,0.660279,0,10000,0,0
58,-1,0,0,10000,1,22,0.039664693,0.000383473,0.016318295,6.46E-05,10628.90041,25009699.08,978,0,10000,0,10000,1,0.455663,0,10000,0,0
59,-1,0,0,10000,1,21,0.039698315,0.000412323,0.016254428,7.60E-05,11927.42462,43163247.17,979,0,10000,0,10000,1,0.69783,0,10000,0,0
60,-1,0,0,10000,1,22,0.040382191,0.00039579,0.01606241,6.12E-05,11051.37885,24701897.12,978,0,10000,0,10000,1,0.720662,0,10000,0,0
61,-1,0,0,10000,1,22,0.040612142,0.000360661,0.016158271,5.16E-05,10499.13347,18424975.27,978,0,10000,0,10000,1,0.783508,0,10000,0,0
62,-1,0,0,10000,1,24,0.040392558,0.000425942,0.016855445,7.59E-05,11902.02058,40109421.65,976,0,10000,0,10000,1,0.70258,0,10000,0,0
63,-1,0,0,10000,1,20,0.040707417,0.000434356,0.016612911,9.00E-05,10826.93545,23996523.53,980,0,10000,0,10000,1,0.88051,0,10000,0,0
64,-1,0,0,10000,1,22,0.03658997,0.000314888,0.014814929,4.53E-05,10287.60575,20775045.05,978,0,10000,0,10000,1,0.693642,0,10000,0,0
65,-1,0,0,10000,1,22,0.040181788,0.00035986,0.016268255,6.11E-05,11261.59651,28464178.7,978,0,10000,0,10000,1,0.780623,0,10000,0,0
66,-1,0,0,10000,1,21,0.039614588,0.00038339,0.015430892,4.79E-05,12035.49333,36285786.86,979,0,10000,0,10000,1,0.764537,0,10000,0,0
67,-1,0,0,10000,1,21,0.040793724,0.000392979,0.016146468,6.04E-05,11169.14359,24221910.39,979,0,10000,0,10000,1,0.750477,0,10000,0,0
68,-1,0,0,10000,1,23,0.040349454,0.000380873,0.016686998,7.15E-05,11302.82117,31454766.07,977,0,10000,0,10000,1,0.788088,0,10000,0,0
69,-1,0,0,10000,1,21,0.04016517,0.000458558,0.016496716,8.98E-05,11728.14974,35242770.72,979,0,10000,0,10000,1,0.711519,0,10000,0,0
70,-1,0,0,10000,1,20,0.043329447,0.000483676,0.017282488,7.70E-05,11019.33402,25851575.43,980,0,10000,0,10000,1,0.553592,0,10000,0,0
71,-1,0,0,10000,1,19,0.039833222,0.000435464,0.01622588,6.07E-05,10233.57421,21121252,981,0,10000,0,10000,1,0.398145,0,10000,0,0
72,-1,0,0,10000,1,20,0.04035581,0.00038818,0.016972865,8.34E-05,10720.57275,25492617.7,980,0,10000,0,10000,1,0.41771,0,10000,0,0
73,-1,0,0,10000,1,20,0.040714533,0.000426198,0.016555964,9.83E-05,10799.67418,24792763.7,980,0,10000,0,10000,1,0.244546,0,10000,0,0
74,-1,0,0,10000,1,20,0.039389623,0.000537185,0.016560589,9.76E-05,10874.16496,34006776.63,980,0,10000,0,10000,1,0.604743,0,10000,0,0
75,-1,0,0,10000,1,21,0.04075441,0.00042519,0.016624071,7.50E-05,11449.32718,34346002.82,979,0,10000,0,10000,1,0.715955,0,10000,0,0
76,-1,0,0,10000,1,21,0.04208454,0.000796612,0.017674446,0.000183711,10606.85949,26710568.68,979,0,10000,0,10000,1,0.764081,0,10000,0,0
77,-1,0,0,10000,1,20,0.03905733,0.000329334,0.015928851,5.36E-05,10746.42008,24193191.79,980,0,10000,0,10000,1,0.717728,0,10000,0,0
78,-1,0,0,10000,1,21,0.042761192,0.000681414,0.018089232,0.000174402,11280.73128,38867981.89,979,0,10000,0,10000,1,0.882596,0,10000,0,0
79,-1,0,0,10000,1,23,0.040347453,0.000445182,0.016139729,7.37E-05,11315.59404,28589103.88,977,0,10000,0,10000,1,0.484978,0,10000,0,0
80,-1,0,0,10000,1,21,0.038662133,0.000375551,0.015599929,5.65E-05,11274.39077,28812464.91,979,0,10000,0,10000,1,0.80033,0,10000,0,0
421,-0.9,0,0,10000,1,20,0.041509237,0.000494324,0.01730276,8.74E-05,11205.26742,48730728.91,980,0,10000,0,10000,1,0.600302,0,10000,0,0
422,-0.9,0,1,632,1,21,0.048530497,0.00137265,0.021279439,0.000324564,10587.56601,39071100.16,610,0,10000,0,10000,0,10000,0,10000,0,0
423,-0.9,0,1,685,1,22,0.043184938,0.000585797,0.017406037,0.000143337,10916.78995,26169641.77,661,0,10000,0,10000,0,10000,0,10000,0,0
424,-0.9,0,0,10000,1,20,0.042787395,0.000431687,0.017629406,8.19E-05,11723.36783,33742014.27,980,0,10000,0,10000,1,0.767004,0,10000,0,0
425,-0.9,0,0,10000,1,20,0.039349189,0.000362022,0.015992306,6.42E-05,11910.97643,34666507.99,980,0,10000,0,10000,1,0.532445,0,10000,0,0
426,-0.9,0,0,10000,1,21,0.044307815,0.000527847,0.019056319,0.000128552,10754.36103,33624798.28,979,0,10000,0,10000,1,0.801979,0,10000,0,0
427,-0.9,0,0,10000,1,23,0.038969984,0.00038799,0.01620798,6.66E-05,11344.60021,33070660.74,977,0,10000,0,10000,1,0.757756,0,10000,0,0
428,-0.9,0,0,10000,1,20,0.040521425,0.000406871,0.016795597,7.04E-05,10799.82992,28477280.68,980,0,10000,0,10000,1,0.763625,0,10000,0,0
429,-0.9,0,0,10000,1,21,0.04450111,0.00053891,0.018156248,0.000104054,10605.80308,24391106.14,979,0,10000,0,10000,1,0.673005,0,10000,0,0
430,-0.9,0,0,10000,1,21,0.040121271,0.000430351,0.016559458,7.59E-05,11937.18256,39562316.43,979,0,10000,0,10000,1,0.718641,0,10000,0,0
431,-0.9,0,0,10000,1,20,0.044499387,0.000592634,0.018636083,0.000141242,10778.07275,28681130.29,980,0,10000,0,10000,1,0.689233,0,10000,0,0
432,-0.9,0,0,10000,1,24,0.044194927,0.000507281,0.018123457,9.59E-05,10520.75412,23721411.19,976,0,10000,0,10000,1,0.732242,0,10000,0,0
433,-0.9,0,0,10000,1,20,0.041687235,0.000371952,0.017231907,5.83E-05,11069.23463,30838524.94,980,0,10000,0,10000,1,0.618715,0,10000,0,0
434,-0.9,0,0,10000,1,20,0.041893345,0.000474198,0.017562347,8.06E-05,10961.30533,31757980.28,980,0,10000,0,10000,1,0.689548,0,10000,0,0
435,-0.9,0,0,10000,1,20,0.04130057,0.00043442,0.017050211,8.97E-05,11076.12398,29400157.21,980,0,10000,0,10000,1,0.390144,0,10000,0,0
436,-0.9,0,0,10000,1,23,0.043293543,0.000497507,0.017811909,7.69E-05,10268.6629,20899665.68,977,0,10000,0,10000,1,0.674025,0,10000,0,0
437,-0.9,0,0,10000,1,21,0.04183176,0.000521767,0.017482249,0.000102509,10856.37436,28434956.81,979,0,10000,0,10000,1,0.786852,0,10000,0,0
438,-0.9,0,0,10000,1,22,0.039221916,0.000398989,0.016232198,6.24E-05,11203.19405,33554695.44,978,0,10000,0,10000,1,0.705062,0,10000,0,0
439,-0.9,0,0,10000,1,21,0.04282281,0.000523103,0.017398015,7.49E-05,11148.79795,30801954.9,979,0,10000,0,10000,1,0.721893,0,10000,0,0
440,-0.9,0,0,10000,1,20,0.040573776,0.000382888,0.016835856,7.77E-05,10555.39344,23057413.38,980,0,10000,0,10000,1,0.334111,0,10000,0,0
81,-0.9,0,0,10000,1,22,0.041976056,0.000554923,0.017926836,0.000125476,10854.09856,28073607.65,978,0,10000,0,10000,1,0.621832,0,10000,0,0
82,-0.9,0,0,10000,1,21,0.040524892,0.000308648,0.016850629,5.74E-05,10412.52308,19540811.23,979,0,10000,0,10000,1,0.737381,0,10000,0,0
83,-0.9,0,0,10000,1,21,0.041069934,0.000387253,0.016677631,6.80E-05,10588.96513,24442206.11,979,0,10000,0,10000,1,0.672574,0,10000,0,0
84,-0.9,0,0,10000,1,20,0.046345518,0.00096575,0.020423079,0.000335747,10464.0584,27441356.96,980,0,10000,0,10000,1,0.776375,0,10000,0,0
85,-0.9,0,0,10000,1,21,0.044631862,0.000507033,0.019088283,0.000104256,9956.779487,23488594.65,979,0,10000,0,10000,1,0.50234,0,10000,0,0
86,-0.9,0,0,10000,1,20,0.046060358,0.000754417,0.019603928,0.000168153,10428.30058,29019556.11,859,1,879,0,10000,0,10000,0,10000,1,0
87,-0.9,0,0,10000,1,22,0.042783171,0.000477498,0.01700622,7.73E-05,10264.22793,17451725.34,978,0,10000,0,10000,1,0.679813,0,10000,0,0
88,-0.9,0,0,10000,1,21,0.045805872,0.000547034,0.018585,9.98E-05,10688.59487,26389436.85,979,0,10000,0,10000,1,0.769547,0,10000,0,0
89,-0.9,0,0,10000,1,20,0.041414391,0.000492307,0.016844583,7.45E-05,10768.54406,39965480.55,980,0,10000,0,10000,1,0.512465,0,10000,0,0
90,-0.9,0,0,10000,1,19,0.041815666,0.000380896,0.017093431,6.21E-05,10654.83316,27315390.58,981,0,10000,0,10000,1,0.460436,0,10000,0,0
91,-0.9,0,0,10000,1,20,0.043285041,0.000606595,0.018280693,0.000138857,10263.72234,24880456.28,980,0,10000,0,10000,1,0.5067,0,10000,0,0
92,-0.9,0,0,10000,1,21,0.041274808,0.000460624,0.017143376,8.41E-05,11530.05026,39193220.92,979,0,10000,0,10000,1,0.29719,0,10000,0,0
93,-0.9,0,0,10000,1,22,0.042153591,0.000475098,0.016914685,7.13E-05,11056.15503,25297585.17,978,0,10000,0,10000,1,0.648229,0,10000,0,0
94,-0.9,0,0,10000,1,20,0.043800054,0.000534248,0.018144593,0.000106596,10873.39242,29524397.02,980,0,10000,0,10000,1,0.483135,0,10000,0,0
95,-0.9,0,0,10000,1,22,0.043024713,0.000458062,0.017839322,8.19E-05,11100.93429,32261978.24,978,0,10000,0,10000,1,0.88641,0,10000,0,0
96,-0.9,0,0,10000,1,20,0.041557956,0.000398814,0.017639163,7.65E-05,10527.70492,27387616.51,980,0,10000,0,10000,1,0.757576,0,10000,0,0
97,-0.9,0,0,10000,1,20,0.043499743,0.000483996,0.018083851,9.39E-05,10619.76844,25621196.97,980,0,10000,0,10000,1,0.637347,0,10000,0,0
98,-0.9,0,1,951,1,20,0.041370898,0.000425167,0.017506206,7.96E-05,10372.03784,22923020.62,929,0,10000,0,10000,0,10000,0,10000,0,0
99,-0.9,0,0,10000,1,19,0.044011658,0.000514118,0.018817852,0.000109223,9776.380757,21697257.67,981,0,10000,0,10000,1,0.822912,0,10000,0,0
100,-0.9,0,0,10000,1,20,0.040240379,0.000546557,0.016329849,7.93E-05,11765.18135,43810456.72,980,0,10000,0,10000,1,0.663124,0,10000,0,0
101,-0.9,0,0,10000,1,20,0.043301783,0.000594737,0.017906147,0.00010774,10952.50922,34230876.26,980,0,10000,0,10000,1,0.651192,0,10000,0,0
102,-0.9,0,0,10000,1,21,0.03985721,0.000407767,0.016501625,7.53E-05,10783.36821,28492884.37,979,0,10000,0,10000,1,0.601253,0,10000,0,0
103,-0.9,0,0,10000,1,20,0.04370375,0.000570286,0.017848377,9.11E-05,10408.89037,25208131.95,980,0,10000,0,10000,1,0.772527,0,10000,0,0
104,-0.9,0,0,10000,1,20,0.043725971,0.000788743,0.01887963,0.000205101,11203.60963,38996127.19,980,0,10000,0,10000,1,0.495239,0,10000,0,0
105,-0.9,0,0,10000,1,21,0.04300197,0.000604056,0.018404093,0.000120099,10826.78154,38766040.51,979,0,10000,0,10000,1,0.574313,0,10000,0,0
106,-0.9,0,0,10000,1,21,0.042558686,0.000526227,0.018081836,0.000139345,11485.00615,34462885.1,979,0,10000,0,10000,1,0.8016,0,10000,0,0
107,-0.9,0,0,10000,1,21,0.042885235,0.000523291,0.017749834,0.000145679,10689.07385,20007091.91,979,0,10000,0,10000,1,0.595532,0,10000,0,0
108,-0.9,0,0,10000,1,21,0.042124272,0.000504465,0.017305496,9.46E-05,11057.46769,29348429.24,979,0,10000,0,10000,1,0.641961,0,10000,0,0
109,-0.9,0,0,10000,1,23,0.041043971,0.000421069,0.017210844,8.44E-05,11095.61973,34118311.7,977,0,10000,0,10000,1,0.393929,0,10000,0,0
