,Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,-1,0,0,10000,1,26,0.047391197,0.000611654,0.016488753,9.38E-05,9748.561856,21320621.61,974,0,10000,0,10000,1,0.862829,0,10000,0,0
2,-1,0,0,10000,1,22,0.048647864,0.000550281,0.017196773,8.44E-05,8844.561602,11512156.88,978,0,10000,0,10000,1,0.482958,0,10000,0,0
3,-1,0,0,10000,1,23,0.048354652,0.000542016,0.017013624,7.90E-05,9341.499486,17028259.32,977,0,10000,0,10000,1,0.466156,0,10000,0,0
4,-1,0,0,10000,1,24,0.047182699,0.000606964,0.016262364,8.87E-05,9290.973251,14861164.02,976,0,10000,0,10000,1,0.739333,0,10000,0,0
5,-1,0,0,10000,1,23,0.050966939,0.000760186,0.017632606,9.83E-05,9647.449126,18860868.11,977,0,10000,0,10000,1,0.82466,0,10000,0,0
6,-1,0,0,10000,1,22,0.046227565,0.000596192,0.01558641,7.64E-05,9136.723819,10196987.66,978,0,10000,0,10000,1,0.800276,0,10000,0,0
7,-1,0,0,10000,1,22,0.043190089,0.000518934,0.014379923,5.45E-05,9429.989733,13013394.96,978,0,10000,0,10000,1,0.880095,0,10000,0,0
8,-1,0,0,10000,1,25,0.04711792,0.000654331,0.015566356,7.35E-05,9555.101957,15761106.74,975,0,10000,0,10000,1,0.753382,0,10000,0,0
9,-1,0,0,10000,1,24,0.048724629,0.00081369,0.017042403,0.000125696,9042.400206,12736252.21,976,0,10000,0,10000,1,0.858153,0,10000,0,0
10,-1,0,0,10000,1,22,0.047287479,0.001518593,0.016194196,0.000286194,9354.101643,13221693.1,978,0,10000,0,10000,1,0.704607,0,10000,0,0
11,-1,0,0,10000,1,23,0.048532273,0.000722577,0.016846694,8.40E-05,9026.653649,15133922.42,977,0,10000,0,10000,1,0.749883,0,10000,0,0
12,-1,0,0,10000,1,24,0.049870691,0.000647182,0.018108543,0.000130495,9308.840535,15643939.04,976,0,10000,0,10000,1,0.790218,0,10000,0,0
13,-1,0,1,157,1,21,0.091896145,0.005744178,0.046285039,0.002315808,5383.515385,12004487.22,134,0,10000,0,10000,0,10000,0,10000,0,0
14,-1,0,0,10000,1,23,0.047395134,0.000539535,0.015887956,6.11E-05,9177.930113,14493043.52,977,0,10000,0,10000,1,0.596945,0,10000,0,0
15,-1,0,0,10000,1,23,0.046636606,0.000558208,0.015987143,7.44E-05,9347.386434,16840383.51,977,0,10000,0,10000,1,0.819157,0,10000,0,0
16,-1,0,0,10000,1,23,0.044273506,0.00058406,0.015229458,9.60E-05,9699.36074,16300617.22,977,0,10000,0,10000,1,0.855221,0,10000,0,0
17,-1,0,0,10000,1,22,0.047912413,0.000935201,0.017597602,0.000453255,8946.824435,12257156.05,978,0,10000,0,10000,1,0.846249,0,10000,0,0
18,-1,0,0,10000,1,24,0.045440006,0.000466886,0.015373208,7.68E-05,9005.122428,10693898.99,976,0,10000,0,10000,1,0.774194,0,10000,0,0
19,-1,0,0,10000,1,22,0.047115229,0.00073812,0.016759854,0.000150518,9153.747433,15097887.36,978,0,10000,0,10000,1,0.867732,0,10000,0,0
20,-1,0,1,848,1,23,0.04930087,0.001172766,0.018243788,0.000337919,8688.619804,13004679.66,822,0,10000,0,10000,0,10000,0,10000,0,0
1,-1,0,0,10000,1,24,0.04444514,0.00047629,0.0152691,6.73E-05,9363.88375,15321012.2,976,0,10000,0,10000,1,0.769397,0,10000,0,0
2,-1,0,0,10000,1,26,0.0489584,0.0007068,0.01722374,0.00012181,9423.66907,18949144.1,974,0,10000,0,10000,1,0.773646,0,10000,0,0
3,-1,0,0,10000,1,24,0.04729581,0.00103202,0.01701021,0.00043232,10002.642,25709231,976,0,10000,0,10000,1,0.833207,0,10000,0,0
4,-1,0,0,10000,1,22,0.04931115,0.00060941,0.01710298,9.12E-05,9244.3963,15531711.9,978,0,10000,0,10000,1,0.757488,0,10000,0,0
5,-1,0,0,10000,1,22,0.04704046,0.00063263,0.01660747,0.00011019,8874.51848,13968968.9,978,0,10000,0,10000,1,0.910081,0,10000,0,0
6,-1,0,0,10000,1,24,0.04633315,0.00085129,0.01641679,0.00024655,9467.63992,18089408.7,976,0,10000,0,10000,1,0.835916,0,10000,0,0
7,-1,0,0,10000,1,22,0.04987508,0.00063263,0.01709047,7.36E-05,9512.6499,18022541.9,978,0,10000,0,10000,1,0.812165,0,10000,0,0
8,-1,0,0,10000,1,22,0.04810502,0.00075959,0.01690795,0.00010652,9209.17249,16500457.3,978,0,10000,0,10000,1,0.840431,0,10000,0,0
9,-1,0,0,10000,1,23,0.04676521,0.0010073,0.01624379,0.00031028,9212.08325,16015348.9,977,0,10000,0,10000,1,0.771828,0,10000,0,0
10,-1,0,1,45,1,24,0.13074857,0.00288734,0.05067316,0.00052644,4849.73333,1993984.6,19,0,10000,0,10000,0,10000,0,10000,0,0
11,-1,0,0,10000,1,23,0.05115081,0.0013009,0.01764896,0.00022915,9976.30421,21704785.5,977,0,10000,0,10000,1,0.654008,0,10000,0,0
12,-1,0,0,10000,1,23,0.04399064,0.0005157,0.01508816,5.62E-05,8975.99589,11318580.6,977,0,10000,0,10000,1,0.719866,0,10000,0,0
13,-1,0,0,10000,1,26,0.0453654,0.00046901,0.01545128,6.33E-05,9260.43918,13845776.6,974,0,10000,0,10000,1,0.679048,0,10000,0,0
14,-1,0,0,10000,1,23,0.04844108,0.00047955,0.01646687,5.81E-05,9463.73587,15951533,977,0,10000,0,10000,1,0.840606,0,10000,0,0
15,-1,0,0,10000,1,27,0.04796803,0.00068111,0.01696027,0.00012932,9575.62745,20759395.6,973,0,10000,0,10000,1,0.855279,0,10000,0,0
16,-1,0,0,10000,1,23,0.04572404,0.00055429,0.016391,7.90E-05,8899.81706,14919286.2,977,0,10000,0,10000,1,0.46795,0,10000,0,0
17,-1,0,0,10000,1,22,0.04587736,0.00054233,0.01583024,9.13E-05,9141.2885,11842411.2,978,0,10000,0,10000,1,0.786847,0,10000,0,0
18,-1,0,0,10000,1,23,0.04972944,0.00066325,0.01739261,9.80E-05,8718.79548,11492751.6,977,0,10000,0,10000,1,0.82369,0,10000,0,0
19,-1,0,0,10000,1,21,0.04811361,0.00064259,0.01572039,5.26E-05,8970.21026,11279437.4,979,0,10000,0,10000,1,0.713356,0,10000,0,0
20,-1,0,1,33,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
21,-1,0,0,10000,1,27,0.04677721,0.00062824,0.01555846,0.00010078,9812.30547,15695897.7,973,0,10000,0,10000,1,0.706169,0,10000,0,0
22,-1,0,0,10000,1,23,0.04724529,0.00053823,0.01549449,6.42E-05,9851.61151,15096734.8,977,0,10000,0,10000,1,0.764355,0,10000,0,0
23,-1,0,0,10000,1,22,0.0470626,0.00057171,0.0152766,5.32E-05,9331.58932,12505068.6,978,0,10000,0,10000,1,0.750806,0,10000,0,0
24,-1,0,0,10000,1,27,0.0495059,0.00066201,0.01679378,8.56E-05,9115.50568,15659314.8,973,0,10000,0,10000,1,0.780621,0,10000,0,0
25,-1,0,0,10000,1,22,0.04696378,0.00046131,0.01572674,6.49E-05,9024.77823,13552015.5,978,0,10000,0,10000,1,0.609692,0,10000,0,0
26,-1,0,0,10000,1,24,0.04801349,0.00063906,0.01655878,8.60E-05,9823.74691,20945499.4,976,0,10000,0,10000,1,0.903279,0,10000,0,0
27,-1,0,0,10000,1,25,0.04628406,0.00059578,0.01549271,6.15E-05,9468.34604,12880306.4,975,0,10000,0,10000,1,0.772207,0,10000,0,0
28,-1,0,0,10000,1,27,0.04433089,0.00046306,0.01514313,6.60E-05,9208.97523,13093539.1,973,0,10000,0,10000,1,0.836973,0,10000,0,0
29,-1,0,0,10000,1,21,0.05008039,0.00073379,0.01678292,8.73E-05,9521.88718,16092430.9,979,0,10000,0,10000,1,0.764156,0,10000,0,0
30,-1,0,0,10000,1,24,0.04886229,0.00079289,0.0177624,0.00013,8796.47428,15945085.4,976,0,10000,0,10000,1,0.789164,0,10000,0,0
31,-1,0,0,10000,1,22,0.05025719,0.00107658,0.01853126,0.00034727,9348.51848,17355471,978,0,10000,0,10000,1,0.594713,0,10000,0,0
32,-1,0,0,10000,1,23,0.04852344,0.00098116,0.01806771,0.0002047,9432.56012,19507980.4,977,0,10000,0,10000,1,0.754064,0,10000,0,0
33,-1,0,0,10000,1,22,0.05346711,0.00091156,0.01970137,0.00017079,9408.47741,22471191.7,978,0,10000,0,10000,1,0.765583,0,10000,0,0
34,-1,0,1,374,1,25,0.04703003,0.00050587,0.01644979,9.31E-05,9023.62059,12516620,344,0,10000,0,10000,0,10000,0,10000,0,0
35,-1,0,1,34,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
36,-1,0,0,10000,1,25,0.04878303,0.0006672,0.01646009,8.10E-05,9201.9001,13150869.3,975,0,10000,0,10000,1,0.889143,0,10000,0,0
37,-1,0,0,10000,1,23,0.04319724,0.00041514,0.01457226,5.04E-05,9854.19013,16864107.9,977,0,10000,0,10000,1,0.821756,0,10000,0,0
38,-1,0,0,10000,1,24,0.04890461,0.00069887,0.016682,7.98E-05,9468.5751,17695467.8,976,0,10000,0,10000,1,0.865391,0,10000,0,0
39,-1,0,0,10000,1,23,0.04764028,0.00058695,0.01634809,6.67E-05,9283.38541,14783036.1,977,0,10000,0,10000,1,0.797698,0,10000,0,0
40,-1,0,0,10000,1,24,0.04817978,0.00054797,0.01650083,6.92E-05,9600.90226,17885727.5,976,0,10000,0,10000,1,0.725426,0,10000,0,0
41,-1,0,1,838,1,22,0.04944895,0.00083138,0.01729969,0.00012366,9355.33457,20719173.3,814,0,10000,0,10000,0,10000,0,10000,0,0
42,-1,0,0,10000,1,22,0.05315624,0.00098255,0.01863977,0.00019076,9349.85216,20355380,978,0,10000,0,10000,1,0.760729,0,10000,0,0
43,-1,0,0,10000,1,23,0.04655455,0.00053395,0.01579516,6.27E-05,9586.74204,16171557.4,977,0,10000,0,10000,1,0.837218,0,10000,0,0
44,-1,0,0,10000,1,23,0.04642954,0.00048403,0.01597659,5.55E-05,9252.89928,13014704.8,977,0,10000,0,10000,1,0.776928,0,10000,0,0
45,-1,0,0,10000,1,28,0.34814825,0.05664711,0.3893115,0.0015252,93.75,10273.6875,8,1,36,0,10000,0,10000,0,10000,1,0
46,-1,0,1,157,1,24,0.07459551,0.00978878,0.03449698,0.00392785,8156.37008,17993802.3,131,0,10000,0,10000,0,10000,0,10000,0,0
47,-1,0,1,885,1,23,0.04510992,0.0004008,0.0146367,4.25E-05,9321.44626,11030049.8,860,0,10000,0,10000,0,10000,0,10000,0,0
48,-1,0,0,10000,1,24,0.05055428,0.00083261,0.01854725,0.00020653,9043.24589,15572240.8,976,0,10000,0,10000,1,0.777351,0,10000,0,0
49,-1,0,1,35,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
50,-1,0,0,10000,1,23,0.0469519,0.00053913,0.01616356,7.52E-05,9362.08325,14681686.7,977,0,10000,0,10000,1,0.761263,0,10000,0,0
51,-1,0,0,10000,1,23,0.04819618,0.00077298,0.01714624,0.00012239,9549.71223,19790801.5,977,0,10000,0,10000,1,0.747355,0,10000,0,0
52,-1,0,0,10000,1,25,0.04639792,0.00055369,0.01484102,5.20E-05,9804.21833,11535612.4,975,0,10000,0,10000,1,0.775741,0,10000,0,0
53,-1,0,0,10000,1,25,0.0465774,0.00064151,0.01679532,0.00012361,9279.84655,16217913.3,975,0,10000,0,10000,1,0.716092,0,10000,0,0
54,-1,0,0,10000,1,23,0.05014613,0.00127001,0.01809556,0.00021038,8943.86331,14306935.5,977,0,10000,0,10000,1,0.854616,0,10000,0,0
55,-1,0,0,10000,1,23,0.04798477,0.00076389,0.01612942,0.00010171,9344.05755,14972335.4,977,0,10000,0,10000,1,0.627527,0,10000,0,0
56,-1,0,0,10000,1,26,0.04947328,0.00114919,0.01719404,0.00026569,9663.99175,14249076.7,974,0,10000,0,10000,1,0.634174,0,10000,0,0
57,-1,0,0,10000,1,22,0.04597114,0.0005422,0.01585709,7.91E-05,9667.07598,17400815.1,978,0,10000,0,10000,1,0.750652,0,10000,0,0
58,-1,0,0,10000,1,23,0.0469452,0.00062764,0.01717709,0.00013955,9188.14389,19398245.2,977,0,10000,0,10000,1,0.716202,0,10000,0,0
59,-1,0,0,10000,1,25,0.04566515,0.00061138,0.01561803,9.63E-05,9146.16375,11476621.4,975,0,10000,0,10000,1,0.774174,0,10000,0,0
60,-1,0,0,10000,1,23,0.04903259,0.00070053,0.01758347,0.00016249,9296.59815,15795769.8,977,0,10000,0,10000,1,0.709487,0,10000,0,0
61,-1,0,0,10000,1,23,0.0470853,0.00053426,0.01590306,5.72E-05,9237.00925,13879780.8,977,0,10000,0,10000,1,0.807733,0,10000,0,0
62,-1,0,0,10000,1,23,0.04735094,0.00058461,0.0163469,7.07E-05,8993.94347,14636959.7,977,0,10000,0,10000,1,0.793329,0,10000,0,0
63,-1,0,0,10000,1,23,0.04880538,0.00071601,0.01695596,0.00012183,9656.30113,18725790.8,977,0,10000,0,10000,1,0.780426,0,10000,0,0
64,-1,0,0,10000,1,24,0.05142113,0.00074789,0.01774194,0.00010665,9178.67284,14217280.1,976,0,10000,0,10000,1,0.830086,0,10000,0,0
65,-1,0,0,10000,1,23,0.04859389,0.00051538,0.01611903,6.52E-05,9807.7852,16781986.5,977,0,10000,0,10000,1,0.795975,0,10000,0,0
66,-1,0,0,10000,1,22,0.05032641,0.0006784,0.01795165,0.00010577,8721.51745,14505741.2,978,0,10000,0,10000,1,0.840242,0,10000,0,0
67,-1,0,0,10000,1,23,0.05408017,0.00129255,0.02092583,0.00037093,8585.2333,15517774.3,977,0,10000,0,10000,1,0.755895,0,10000,0,0
68,-1,0,0,10000,1,27,0.0489207,0.00122565,0.01818562,0.00031564,9210.83695,21473139.6,973,0,10000,0,10000,1,0.827203,0,10000,0,0
69,-1,0,1,251,1,25,0.05235363,0.00090763,0.02044962,0.00022396,9056.55708,27878615.3,223,0,10000,0,10000,0,10000,0,10000,0,0
70,-1,0,0,10000,1,23,0.04907736,0.00068135,0.01776291,0.00015309,8775.82117,14872284.7,977,0,10000,0,10000,1,0.764438,0,10000,0,0
71,-1,0,1,42,1,22,0.17350573,0.01319441,0.07860481,0.00265641,2505.76923,859820.947,17,0,10000,0,10000,0,10000,0,10000,0,0
72,-1,0,0,10000,1,23,0.04704243,0.00052715,0.01501031,5.35E-05,9508.35046,13111706.4,977,0,10000,0,10000,1,0.847846,0,10000,0,0
73,-1,0,0,10000,1,23,0.04850912,0.00108886,0.01734887,0.00023508,9030.44399,12609821.3,977,0,10000,0,10000,1,0.783249,0,10000,0,0
74,-1,0,0,10000,1,23,0.04983107,0.00065363,0.01757936,8.48E-05,9228.02775,17457899,977,0,10000,0,10000,1,0.794322,0,10000,0,0
75,-1,0,0,10000,1,25,0.04766513,0.00050229,0.0170164,0.0001098,9522.87539,17184345.1,975,0,10000,0,10000,1,0.850818,0,10000,0,0
76,-1,0,0,10000,1,24,0.04607931,0.00046462,0.01578283,7.50E-05,9700.62037,16255052.1,976,0,10000,0,10000,1,0.691106,0,10000,0,0
77,-1,0,0,10000,1,27,0.0467162,0.0010293,0.01714886,0.00042338,9096.6388,13700120.3,973,0,10000,0,10000,1,0.86009,0,10000,0,0
78,-1,0,0,10000,1,22,0.04585303,0.00056136,0.01619069,7.23E-05,9370.95688,18074637.9,978,0,10000,0,10000,1,0.860175,0,10000,0,0
79,-1,0,0,10000,1,22,0.05170219,0.00080482,0.01885809,0.00015837,8939.32136,16026556.7,978,0,10000,0,10000,1,0.834939,0,10000,0,0
80,-1,0,0,10000,1,23,0.04837437,0.00055648,0.01753251,0.0001355,9585.18911,25553533.8,977,0,10000,0,10000,1,0.886142,0,10000,0,0
21,-1,0.05,0,10000,1,32,0.052463122,0.001034913,0.018954876,0.000195059,8805.469917,14381518.8,968,0,10000,0,10000,1,0.678125,0,10000,0,0
22,-1,0.05,0,10000,1,23,0.052670903,0.001246738,0.019792644,0.000429016,9094.748201,20967260.52,977,0,10000,0,10000,1,0.731161,0,10000,0,0
23,-1,0.05,0,10000,1,26,0.049019832,0.000804383,0.017613023,0.000148761,9053.701031,14531125.79,974,0,10000,0,10000,1,0.747735,0,10000,0,0
24,-1,0.05,0,10000,1,23,0.05113573,0.000641011,0.017516064,8.64E-05,9066.635149,14133117.7,977,0,10000,0,10000,1,0.70933,0,10000,0,0
25,-1,0.05,0,10000,1,23,0.050272908,0.000814983,0.017586506,0.000110313,9119.346351,15279501.08,977,0,10000,0,10000,1,0.750456,0,10000,0,0
26,-1,0.05,0,10000,1,22,0.049647982,0.000580865,0.017756607,0.000101497,9012.328542,13984835.82,978,0,10000,0,10000,1,0.896648,0,10000,0,0
27,-1,0.05,0,10000,1,23,0.052182756,0.0009825,0.018987116,0.000230913,9184.300103,19604266.46,977,0,10000,0,10000,1,0.484536,0,10000,0,0
28,-1,0.05,0,10000,1,22,0.051099217,0.000966335,0.018082606,0.000130207,8758.777207,13345357.06,978,0,10000,0,10000,1,0.792619,0,10000,0,0
29,-1,0.05,1,392,1,23,0.048965633,0.0011025,0.020237722,0.000351677,9188.182825,24949979.76,365,0,10000,0,10000,0,10000,0,10000,0,0
30,-1,0.05,0,10000,1,26,0.046773557,0.000530025,0.016853443,8.90E-05,9136.757732,17137630.87,974,0,10000,0,10000,1,0.723859,0,10000,0,0
31,-1,0.05,0,10000,1,23,0.054529477,0.001126563,0.020347352,0.000252541,8875.375128,17958344.94,977,0,10000,0,10000,1,0.781822,0,10000,0,0
32,-1,0.05,0,10000,1,23,0.052127368,0.000923207,0.019344968,0.000199798,8962.469681,18609374.81,977,0,10000,0,10000,1,0.794532,0,10000,0,0
33,-1,0.05,0,10000,1,24,0.050439282,0.001155372,0.019300771,0.000282171,9156.954733,22749401.7,976,0,10000,0,10000,1,0.875245,0,10000,0,0
34,-1,0.05,0,10000,1,23,0.053625285,0.00171974,0.021287187,0.000740353,9088.271326,24203163.61,977,0,10000,0,10000,1,0.588902,0,10000,0,0
35,-1,0.05,0,10000,1,23,0.056090095,0.000969348,0.020567749,0.000221311,8805.833505,15493188.76,977,0,10000,0,10000,1,0.663518,0,10000,0,0
36,-1,0.05,0,10000,1,22,0.0511537,0.000692178,0.018168903,8.45E-05,8501.893224,13311948.09,978,0,10000,0,10000,1,0.704855,0,10000,0,0
37,-1,0.05,0,10000,1,23,0.051482315,0.000769889,0.018351617,0.000125038,8580.806783,12015798.6,977,0,10000,0,10000,1,0.873327,0,10000,0,0
38,-1,0.05,1,858,1,27,0.056647324,0.001622292,0.021436121,0.000431372,9349.165049,24167180.62,828,0,10000,0,10000,0,10000,0,10000,0,0
39,-1,0.05,0,10000,1,22,0.054617228,0.001017869,0.02070524,0.000196188,8362.919918,17624791.29,978,0,10000,0,10000,1,0.704634,0,10000,0,0
40,-1,0.05,0,10000,1,23,0.052703826,0.001012498,0.018959822,0.000157828,8795.056526,15235288.38,977,0,10000,0,10000,1,0.811218,0,10000,0,0
41,-1,0.1,0,10000,1,25,0.05425237,0.001529828,0.020730905,0.00034746,8932.201854,22755290.5,975,0,10000,0,10000,1,0.73061,0,10000,0,0
