,Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1,-1,0,0,10000,1,22,0.033787852,0.000181654,0.016130218,2.95E-05,6696.374743,5646863.885,978,0,10000,0,10000,1,0.763753,0,10000,0,0
2,-1,0,0,10000,1,25,0.036211975,0.000265165,0.017701567,5.42E-05,6610.881565,6612719.808,975,0,10000,0,10000,1,0.814293,0,10000,0,0
3,-1,0,0,10000,1,24,0.038251977,0.000295188,0.01859687,5.83E-05,6428.113169,5379704.096,976,0,10000,0,10000,1,0.800917,0,10000,0,0
4,-1,0,0,10000,1,22,0.03464154,0.000237698,0.016630894,4.36E-05,6631.179671,4974867.786,978,0,10000,0,10000,1,0.749105,0,10000,0,0
5,-1,0,0,10000,1,21,0.038911796,0.000324456,0.018341434,5.61E-05,6758.588718,5683192.718,979,0,10000,0,10000,1,0.691663,0,10000,0,0
6,-1,0,0,10000,1,22,0.036914842,0.000241534,0.017643224,4.52E-05,6569.802875,5721136.583,978,0,10000,0,10000,1,0.74908,0,10000,0,0
7,-1,0,0,10000,1,21,0.036916203,0.000364484,0.018171391,8.44E-05,6314.487179,5311948.264,979,0,10000,0,10000,1,0.776051,0,10000,0,0
8,-1,0,0,10000,1,23,0.036924724,0.00024123,0.017501898,4.44E-05,6871.318602,6747423.105,977,0,10000,0,10000,1,0.789854,0,10000,0,0
9,-1,0,0,10000,1,21,0.038906459,0.000287901,0.018694824,5.88E-05,6574.596923,5549660.144,979,0,10000,0,10000,1,0.821913,0,10000,0,0
10,-1,0,0,10000,1,21,0.037800865,0.000370467,0.017990272,5.85E-05,6808.062564,7708024.877,979,0,10000,0,10000,1,0.732204,0,10000,0,0
11,-1,0,0,10000,1,21,0.038218512,0.00026196,0.018593145,5.43E-05,6682.189744,8251782.703,979,0,10000,0,10000,1,0.628876,0,10000,0,0
12,-1,0,0,10000,1,23,0.038289354,0.000298807,0.01814913,5.79E-05,6627.604317,4935391.997,977,0,10000,0,10000,1,0.77891,0,10000,0,0
13,-1,0,0,10000,1,21,0.034921589,0.000197412,0.016509977,3.37E-05,6695.607179,6009571.637,979,0,10000,0,10000,1,0.751322,0,10000,0,0
14,-1,0,0,10000,1,22,0.037648287,0.000308682,0.018200923,6.23E-05,6602.317248,6948730.249,978,0,10000,0,10000,1,0.738063,0,10000,0,0
15,-1,0,0,10000,1,24,0.036303374,0.000245233,0.017408614,4.36E-05,6320.290123,4188151.969,976,0,10000,0,10000,1,0.859808,0,10000,0,0
16,-1,0,0,10000,1,25,0.038520514,0.00025784,0.01788279,3.82E-05,6854.182286,6307115.059,975,0,10000,0,10000,1,0.813115,0,10000,0,0
17,-1,0,0,10000,1,24,0.038123605,0.000318325,0.017996098,5.72E-05,6708.475309,6175245.54,976,0,10000,0,10000,1,0.825423,0,10000,0,0
18,-1,0,0,10000,1,23,0.038567888,0.000272185,0.018731871,5.37E-05,6577.464543,6629359.375,977,0,10000,0,10000,1,0.80583,0,10000,0,0
19,-1,0,0,10000,1,22,0.036436404,0.000246057,0.017830186,5.36E-05,6339.971253,5217852.833,978,0,10000,0,10000,1,0.689731,0,10000,0,0
20,-1,0,0,10000,1,22,0.035905813,0.000226707,0.0175973,4.81E-05,6594.887064,5601487.402,978,0,10000,0,10000,1,0.720339,0,10000,0,0
421,-0.9,0,0,10000,1,22,0.040229275,0.000339031,0.02018905,7.20E-05,6236.716632,6042086.675,978,0,10000,0,10000,1,0.775057,0,10000,0,0
422,-0.9,0,0,10000,1,22,0.041599112,0.000406898,0.020059863,8.11E-05,6487.492813,6467935.412,978,0,10000,0,10000,1,0.832374,0,10000,0,0
423,-0.9,0,0,10000,1,20,0.036662443,0.000270309,0.018091105,5.97E-05,6324.747951,5654681.9,980,0,10000,0,10000,1,0.802666,0,10000,0,0
424,-0.9,0,0,10000,1,21,0.036914261,0.000245192,0.017810044,4.25E-05,6345.778462,5183600.293,979,0,10000,0,10000,1,0.695974,0,10000,0,0
425,-0.9,0,0,10000,1,21,0.03965675,0.000393255,0.019805113,9.12E-05,6225.564103,5888829.397,979,0,10000,0,10000,1,0.767748,0,10000,0,0
426,-0.9,0,0,10000,1,22,0.03707375,0.000323263,0.01782412,6.35E-05,6668.894251,6975597.908,978,0,10000,0,10000,1,0.803125,0,10000,0,0
427,-0.9,0,0,10000,1,23,0.039308882,0.000300704,0.019513487,7.52E-05,6506.483042,6520258.505,977,0,10000,0,10000,1,0.743515,0,10000,0,0
428,-0.9,0,0,10000,1,22,0.03904221,0.000449833,0.018894828,9.05E-05,6382.563655,4791173.217,978,0,10000,0,10000,1,0.798263,0,10000,0,0
429,-0.9,0,0,10000,1,23,0.037621907,0.000339181,0.018246824,7.00E-05,6394.789311,6558203.866,977,0,10000,0,10000,1,0.822467,0,10000,0,0
430,-0.9,0,0,10000,1,21,0.038962986,0.000282027,0.018719151,5.72E-05,6797.533333,6648150.583,979,0,10000,0,10000,1,0.664696,0,10000,0,0
431,-0.9,0,0,10000,1,22,0.040433648,0.000379625,0.020152119,0.000114225,6361.669405,6933377.989,978,0,10000,0,10000,1,0.794045,0,10000,0,0
432,-0.9,0,0,10000,1,21,0.040839297,0.000319929,0.019594228,6.38E-05,6313.573333,5527310.115,979,0,10000,0,10000,1,0.665933,0,10000,0,0
433,-0.9,0,0,10000,1,22,0.038815106,0.000296728,0.018900306,5.96E-05,6884.983573,12958491.62,978,0,10000,0,10000,1,0.764219,0,10000,0,0
434,-0.9,0,0,10000,1,24,0.038753305,0.000374234,0.018798625,8.84E-05,6680.911523,7061531.013,976,0,10000,0,10000,1,0.837014,0,10000,0,0
435,-0.9,0,0,10000,1,21,0.036844978,0.000190275,0.018315236,4.28E-05,6462.457436,6068193.227,979,0,10000,0,10000,1,0.821045,0,10000,0,0
436,-0.9,0,0,10000,1,22,0.038536673,0.000243377,0.018762629,5.73E-05,6367.477413,5195880.348,978,0,10000,0,10000,1,0.85249,0,10000,0,0
437,-0.9,0,0,10000,1,21,0.039684137,0.000347001,0.019461742,7.55E-05,6464.752821,6202807.023,979,0,10000,0,10000,1,0.770386,0,10000,0,0
438,-0.9,0,0,10000,1,22,0.03988618,0.000343497,0.018598032,5.45E-05,6566.673511,4981673.509,978,0,10000,0,10000,1,0.740166,0,10000,0,0
439,-0.9,0,0,10000,1,22,0.038527031,0.00028341,0.018868851,5.14E-05,6328.998973,5190078.999,978,0,10000,0,10000,1,0.749665,0,10000,0,0
440,-0.9,0,0,10000,1,21,0.038393128,0.000272496,0.018692197,5.97E-05,6635.886154,6412409.457,979,0,10000,0,10000,1,0.734551,0,10000,0,0
841,-0.8,0,0,10000,1,23,0.042317793,0.000372676,0.020944417,7.62E-05,6146.956835,5485816.935,977,0,10000,0,10000,1,0.71397,0,10000,0,0
842,-0.8,0,0,10000,1,22,0.038820448,0.000311947,0.019002604,6.71E-05,6542.508214,6958805.928,978,0,10000,0,10000,1,0.836445,0,10000,0,0
843,-0.8,0,0,10000,1,22,0.041994439,0.000321589,0.020310716,6.22E-05,6531.295688,6854046.832,978,0,10000,0,10000,1,0.874131,0,10000,0,0
844,-0.8,0,0,10000,1,22,0.040429608,0.000340275,0.019907879,6.67E-05,6082.202259,5239448.258,978,0,10000,0,10000,1,0.719549,0,10000,0,0
845,-0.8,0,0,10000,1,21,0.040601676,0.000362294,0.020030278,6.89E-05,6044.500513,4969611.553,979,0,10000,0,10000,1,0.725056,0,10000,0,0
846,-0.8,0,0,10000,1,23,0.04023304,0.000342376,0.020394034,8.25E-05,6000.395683,5673189.816,977,0,10000,0,10000,1,0.822348,0,10000,0,0
847,-0.8,0,0,10000,1,21,0.04239236,0.000388559,0.020966554,8.91E-05,6189.775385,5427862.115,979,0,10000,0,10000,1,0.692476,0,10000,0,0
848,-0.8,0,0,10000,1,23,0.039781267,0.000349614,0.019684726,7.95E-05,6912.451182,21906410.49,977,0,10000,0,10000,1,0.627276,0,10000,0,0
849,-0.8,0,0,10000,1,22,0.041963459,0.000371204,0.02067414,7.43E-05,6598.37577,8150641.922,978,0,10000,0,10000,1,0.778924,0,10000,0,0
850,-0.8,0,0,10000,1,21,0.03923063,0.00027133,0.019415247,6.28E-05,6234.126154,5160790.523,979,0,10000,0,10000,1,0.437154,0,10000,0,0
851,-0.8,0,0,10000,1,22,0.043390768,0.000541068,0.022502589,0.000207346,5977.886037,8560536.329,978,0,10000,0,10000,1,0.58826,0,10000,0,0
852,-0.8,0,0,10000,1,23,0.041693283,0.000345297,0.020474437,7.05E-05,6292.654676,5089031.885,977,0,10000,0,10000,1,0.831778,0,10000,0,0
853,-0.8,0,0,10000,1,23,0.042437041,0.000400061,0.020313372,7.93E-05,6362.624872,6258489.256,977,0,10000,0,10000,1,0.808183,0,10000,0,0
854,-0.8,0,0,10000,1,20,0.041195113,0.000424493,0.019780438,6.98E-05,6340.574795,6469509.593,980,0,10000,0,10000,1,0.618855,0,10000,0,0
855,-0.8,0,0,10000,1,22,0.039461431,0.000318042,0.020462138,9.18E-05,5784.955852,5090230.034,978,0,10000,0,10000,1,0.805429,0,10000,0,0
856,-0.8,0,0,10000,1,23,0.041777982,0.000389931,0.020543338,8.02E-05,6655.837616,8723743.032,977,0,10000,0,10000,1,0.695341,0,10000,0,0
857,-0.8,0,0,10000,1,22,0.040989014,0.000320045,0.020365568,6.85E-05,6406.671458,6296470.381,978,0,10000,0,10000,1,0.736977,0,10000,0,0
858,-0.8,0,0,10000,1,21,0.041677233,0.000314058,0.020577318,6.70E-05,6342.069744,6793399.712,979,0,10000,0,10000,1,0.740125,0,10000,0,0
859,-0.8,0,0,10000,1,22,0.03959045,0.000282891,0.019261828,6.14E-05,6519.455852,8087190.143,978,0,10000,0,10000,1,0.792538,0,10000,0,0
860,-0.8,0,0,10000,1,24,0.042243461,0.000343079,0.020813644,6.92E-05,6222.385802,5691892.2,976,0,10000,0,10000,1,0.770636,0,10000,0,0
1261,-0.7,0,0,10000,1,22,0.046398326,0.00046447,0.023179197,0.000104515,6018.933265,5666829.701,978,0,10000,0,10000,1,0.692381,0,10000,0,0
1262,-0.7,0,0,10000,1,21,0.044362997,0.000388729,0.022147638,0.000102349,5771.269744,4914583.756,979,0,10000,0,10000,1,0.73352,0,10000,0,0
1263,-0.7,0,0,10000,1,24,0.044082076,0.000420778,0.022623518,0.000119659,6137.273663,7266260.594,976,0,10000,0,10000,1,0.854638,0,10000,0,0
1264,-0.7,0,0,10000,1,22,0.044442885,0.00040034,0.022738211,9.98E-05,6025.459959,6946578.912,978,0,10000,0,10000,1,0.77222,0,10000,0,0
1265,-0.7,0,0,10000,1,20,0.044834137,0.00042347,0.0225997,9.99E-05,5986.359631,5673738.298,980,0,10000,0,10000,1,0.679164,0,10000,0,0
1266,-0.7,0,0,10000,1,22,0.042303447,0.00035636,0.021135254,9.28E-05,6445.63347,9760356.127,978,0,10000,0,10000,1,0.698127,0,10000,0,0
1267,-0.7,0,0,10000,1,21,0.043026099,0.000350356,0.021602194,7.84E-05,6183.82359,8055481.602,979,0,10000,0,10000,1,0.798493,0,10000,0,0
1268,-0.7,0,0,10000,1,24,0.043625827,0.000440695,0.022282304,0.000123752,5879.878601,5248521.932,976,0,10000,0,10000,1,0.613865,0,10000,0,0
1269,-0.7,0,0,10000,1,23,0.044264327,0.000628645,0.022377022,0.000168471,6214.601233,7887303.654,977,0,10000,0,10000,1,0.825377,0,10000,0,0
1270,-0.7,0,0,10000,1,25,0.043432957,0.000364915,0.021934015,8.24E-05,6203.61586,7493700.399,975,0,10000,0,10000,1,0.870968,0,10000,0,0
1271,-0.7,0,0,10000,1,26,0.043975811,0.000406793,0.021709716,8.52E-05,6194.450515,6397583.099,974,0,10000,0,10000,1,0.814239,0,10000,0,0
1272,-0.7,0,0,10000,1,23,0.046380171,0.000540623,0.023955814,0.000182274,6259.54779,9333433.413,977,0,10000,0,10000,1,0.795537,0,10000,0,0
1273,-0.7,0,0,10000,1,24,0.042046169,0.000345091,0.021087478,8.66E-05,6327.923868,8266590.085,976,0,10000,0,10000,1,0.78207,0,10000,0,0
1274,-0.7,0,0,10000,1,20,0.044613016,0.000397079,0.022068279,8.51E-05,6268.58709,6200134.035,980,0,10000,0,10000,1,0.820351,0,10000,0,0
1275,-0.7,0,0,10000,1,23,0.045620275,0.00047155,0.023016445,0.000107638,6327.669065,10082153.39,977,0,10000,0,10000,1,0.801678,0,10000,0,0
1276,-0.7,0,0,10000,1,25,0.048807855,0.00054595,0.025427663,0.000168359,6031.587024,9311355.272,975,0,10000,0,10000,1,0.794424,0,10000,0,0
1277,-0.7,0,0,10000,1,22,0.04282689,0.000351577,0.02092574,7.42E-05,6694.873717,8743814.17,978,0,10000,0,10000,1,0.673305,0,10000,0,0
1278,-0.7,0,0,10000,1,22,0.04478289,0.00048342,0.022529753,0.000117063,6422.091376,10452323.03,978,0,10000,0,10000,1,0.773671,0,10000,0,0
1279,-0.7,0,0,10000,1,21,0.044036595,0.000369924,0.021501915,7.35E-05,6513.24,8938871.854,979,0,10000,0,10000,1,0.663148,0,10000,0,0
1280,-0.7,0,0,10000,1,22,0.044357122,0.000366994,0.021772442,7.97E-05,6192.190965,5776305.692,978,0,10000,0,10000,1,0.649255,0,10000,0,0
1681,-0.6,0,0,10000,1,23,0.048818515,0.000821201,0.025962959,0.000338559,5897.394656,9005057.297,977,0,10000,0,10000,1,0.748068,0,10000,0,0
1682,-0.6,0,0,10000,1,23,0.04905473,0.000844347,0.026098932,0.000376873,5608.890031,7803123.931,977,0,10000,0,10000,1,0.620717,0,10000,0,0
