Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,20,0.04104009,0.00044128,0.01673308,6.76E-05,10652.8986,25288741,980,0,10000,0,10000,1,0.858788,0,10000,0,0
-1,0,0,10000,1,23,0.04022609,0.00037727,0.01640363,6.53E-05,10834.6084,25596618.9,977,0,10000,0,10000,1,0.656542,0,10000,0,0
-1,0,0,10000,1,22,0.04085915,0.00043564,0.01657829,7.54E-05,10898.1345,23524851.5,978,0,10000,0,10000,1,0.517765,0,10000,0,0
-1,0,0,10000,1,20,0.04007564,0.00046332,0.01641839,8.68E-05,10775.4857,24961247.4,980,0,10000,0,10000,1,0.430304,0,10000,0,0
-1,0,0,10000,1,22,0.03890493,0.00033936,0.01547969,4.79E-05,10634.3891,25557045.4,978,0,10000,0,10000,1,0.52988,0,10000,0,0
-1,0,0,10000,1,22,0.04017686,0.00042596,0.01635294,6.87E-05,10896.4199,22646963.3,978,0,10000,0,10000,1,0.789949,0,10000,0,0
-1,0,0,10000,1,20,0.04315302,0.00057487,0.01766547,9.91E-05,11718.1117,37956774.2,980,0,10000,0,10000,1,0.84721,0,10000,0,0
-1,0,0,10000,1,23,0.03852814,0.0004058,0.01591794,7.87E-05,10769.3679,24747108.3,977,0,10000,0,10000,1,0.706091,0,10000,0,0
-1,0,0,10000,1,21,0.04091206,0.00046862,0.01721579,0.00010254,10393.7313,21201989.4,979,0,10000,0,10000,1,0.7868,0,10000,0,0
-1,0,0,10000,1,21,0.0396016,0.00041327,0.01609748,7.11E-05,11274.4851,33679474.1,979,0,10000,0,10000,1,0.774702,0,10000,0,0
-1,0,0,10000,1,20,0.04028387,0.00037033,0.01606577,5.87E-05,11278.2254,29272194.4,980,0,10000,0,10000,1,0.755903,0,10000,0,0
-1,0,0,10000,1,21,0.03873716,0.00035614,0.01577251,6.82E-05,11105.76,25069093.7,979,0,10000,0,10000,1,0.517128,0,10000,0,0
-1,0,0,10000,1,20,0.04018952,0.00036209,0.01636499,6.82E-05,10594.5236,26484982.4,980,0,10000,0,10000,1,0.758449,0,10000,0,0
-1,0,0,10000,1,19,0.04022449,0.00033042,0.01588684,5.14E-05,11195.5241,22160804.2,981,0,10000,0,10000,1,0.809351,0,10000,0,0
-1,0,0,10000,1,23,0.04001361,0.00038487,0.01619644,6.86E-05,11350.9949,21805857.6,977,0,10000,0,10000,1,0.801057,0,10000,0,0
-1,0,0,10000,1,20,0.04124454,0.00062264,0.01683684,8.47E-05,10699.8149,24240170.8,528,1,548,0,10000,0,10000,0,10000,1,0
-1,0,0,10000,1,20,0.03956723,0.00039234,0.01604136,6.70E-05,11351.7469,33349432.5,980,0,10000,0,10000,1,0.817345,0,10000,0,0
-1,0,0,10000,1,22,0.04116326,0.0004311,0.01675158,9.15E-05,10952.6735,24634534.3,978,0,10000,0,10000,1,0.870697,0,10000,0,0
-1,0,0,10000,1,21,0.04118727,0.00042175,0.01676911,8.07E-05,10816.6144,24325524,979,0,10000,0,10000,1,0.770587,0,10000,0,0
-1,0,0,10000,1,20,0.04065843,0.00039523,0.01656927,6.12E-05,10540.9488,23998896,980,0,10000,0,10000,1,0.653874,0,10000,0,0
-1,0,0,10000,1,22,0.0394522,0.00040126,0.01596145,6.49E-05,11285.7095,29601852.6,978,0,10000,0,10000,1,0.796673,0,10000,0,0
-1,0,0,10000,1,20,0.04063343,0.00037032,0.01681543,6.27E-05,10601.0973,30659928.4,980,0,10000,0,10000,1,0.6462,0,10000,0,0
