Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,26,0.0473912,0.00061165,0.01648875,9.38E-05,9748.56186,21320621.6,974,0,10000,0,10000,1,0.862829,0,10000,0,0
-1,0,0,10000,1,22,0.04864786,0.00055028,0.01719677,8.44E-05,8844.5616,11512156.9,978,0,10000,0,10000,1,0.482958,0,10000,0,0
-1,0,0,10000,1,23,0.04835465,0.00054202,0.01701362,7.90E-05,9341.49949,17028259.3,977,0,10000,0,10000,1,0.466156,0,10000,0,0
-1,0,0,10000,1,24,0.0471827,0.00060696,0.01626236,8.87E-05,9290.97325,14861164,976,0,10000,0,10000,1,0.739333,0,10000,0,0
-1,0,0,10000,1,23,0.05096694,0.00076019,0.01763261,9.83E-05,9647.44913,18860868.1,977,0,10000,0,10000,1,0.82466,0,10000,0,0
-1,0,0,10000,1,22,0.04622757,0.00059619,0.01558641,7.64E-05,9136.72382,10196987.7,978,0,10000,0,10000,1,0.800276,0,10000,0,0
-1,0,0,10000,1,22,0.04319009,0.00051893,0.01437992,5.45E-05,9429.98973,13013395,978,0,10000,0,10000,1,0.880095,0,10000,0,0
-1,0,0,10000,1,25,0.04711792,0.00065433,0.01556636,7.35E-05,9555.10196,15761106.7,975,0,10000,0,10000,1,0.753382,0,10000,0,0
-1,0,0,10000,1,24,0.04872463,0.00081369,0.0170424,0.0001257,9042.40021,12736252.2,976,0,10000,0,10000,1,0.858153,0,10000,0,0
-1,0,0,10000,1,22,0.04728748,0.00151859,0.0161942,0.00028619,9354.10164,13221693.1,978,0,10000,0,10000,1,0.704607,0,10000,0,0
-1,0,0,10000,1,23,0.04853227,0.00072258,0.01684669,8.40E-05,9026.65365,15133922.4,977,0,10000,0,10000,1,0.749883,0,10000,0,0
-1,0,0,10000,1,24,0.04987069,0.00064718,0.01810854,0.0001305,9308.84054,15643939,976,0,10000,0,10000,1,0.790218,0,10000,0,0
-1,0,1,157,1,21,0.09189615,0.00574418,0.04628504,0.00231581,5383.51539,12004487.2,134,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,23,0.04739513,0.00053954,0.01588796,6.11E-05,9177.93011,14493043.5,977,0,10000,0,10000,1,0.596945,0,10000,0,0
-1,0,0,10000,1,23,0.04663661,0.00055821,0.01598714,7.44E-05,9347.38643,16840383.5,977,0,10000,0,10000,1,0.819157,0,10000,0,0
-1,0,0,10000,1,23,0.04427351,0.00058406,0.01522946,9.60E-05,9699.36074,16300617.2,977,0,10000,0,10000,1,0.855221,0,10000,0,0
-1,0,0,10000,1,22,0.04791241,0.0009352,0.0175976,0.00045326,8946.82444,12257156.1,978,0,10000,0,10000,1,0.846249,0,10000,0,0
-1,0,0,10000,1,24,0.04544001,0.00046689,0.01537321,7.68E-05,9005.12243,10693899,976,0,10000,0,10000,1,0.774194,0,10000,0,0
-1,0,0,10000,1,22,0.04711523,0.00073812,0.01675985,0.00015052,9153.74743,15097887.4,978,0,10000,0,10000,1,0.867732,0,10000,0,0
-1,0,1,848,1,23,0.04930087,0.00117277,0.01824379,0.00033792,8688.6198,13004679.7,822,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,24,0.04444514,0.00047629,0.0152691,6.73E-05,9363.88375,15321012.2,976,0,10000,0,10000,1,0.769397,0,10000,0,0
-1,0,0,10000,1,26,0.0489584,0.0007068,0.01722374,0.00012181,9423.66907,18949144.1,974,0,10000,0,10000,1,0.773646,0,10000,0,0
-1,0,0,10000,1,24,0.04729581,0.00103202,0.01701021,0.00043232,10002.642,25709231,976,0,10000,0,10000,1,0.833207,0,10000,0,0
-1,0,0,10000,1,22,0.04931115,0.00060941,0.01710298,9.12E-05,9244.3963,15531711.9,978,0,10000,0,10000,1,0.757488,0,10000,0,0
-1,0,0,10000,1,22,0.04704046,0.00063263,0.01660747,0.00011019,8874.51848,13968968.9,978,0,10000,0,10000,1,0.910081,0,10000,0,0
-1,0,0,10000,1,24,0.04633315,0.00085129,0.01641679,0.00024655,9467.63992,18089408.7,976,0,10000,0,10000,1,0.835916,0,10000,0,0
-1,0,0,10000,1,22,0.04987508,0.00063263,0.01709047,7.36E-05,9512.6499,18022541.9,978,0,10000,0,10000,1,0.812165,0,10000,0,0
-1,0,0,10000,1,22,0.04810502,0.00075959,0.01690795,0.00010652,9209.17249,16500457.3,978,0,10000,0,10000,1,0.840431,0,10000,0,0
-1,0,0,10000,1,23,0.04676521,0.0010073,0.01624379,0.00031028,9212.08325,16015348.9,977,0,10000,0,10000,1,0.771828,0,10000,0,0
-1,0,1,45,1,24,0.13074857,0.00288734,0.05067316,0.00052644,4849.73333,1993984.6,19,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,23,0.05115081,0.0013009,0.01764896,0.00022915,9976.30421,21704785.5,977,0,10000,0,10000,1,0.654008,0,10000,0,0
-1,0,0,10000,1,23,0.04399064,0.0005157,0.01508816,5.62E-05,8975.99589,11318580.6,977,0,10000,0,10000,1,0.719866,0,10000,0,0
-1,0,0,10000,1,26,0.0453654,0.00046901,0.01545128,6.33E-05,9260.43918,13845776.6,974,0,10000,0,10000,1,0.679048,0,10000,0,0
-1,0,0,10000,1,23,0.04844108,0.00047955,0.01646687,5.81E-05,9463.73587,15951533,977,0,10000,0,10000,1,0.840606,0,10000,0,0
-1,0,0,10000,1,27,0.04796803,0.00068111,0.01696027,0.00012932,9575.62745,20759395.6,973,0,10000,0,10000,1,0.855279,0,10000,0,0
-1,0,0,10000,1,23,0.04572404,0.00055429,0.016391,7.90E-05,8899.81706,14919286.2,977,0,10000,0,10000,1,0.46795,0,10000,0,0
-1,0,0,10000,1,22,0.04587736,0.00054233,0.01583024,9.13E-05,9141.2885,11842411.2,978,0,10000,0,10000,1,0.786847,0,10000,0,0
-1,0,0,10000,1,23,0.04972944,0.00066325,0.01739261,9.80E-05,8718.79548,11492751.6,977,0,10000,0,10000,1,0.82369,0,10000,0,0
-1,0,0,10000,1,21,0.04811361,0.00064259,0.01572039,5.26E-05,8970.21026,11279437.4,979,0,10000,0,10000,1,0.713356,0,10000,0,0
-1,0,1,33,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,27,0.04677721,0.00062824,0.01555846,0.00010078,9812.30547,15695897.7,973,0,10000,0,10000,1,0.706169,0,10000,0,0
-1,0,0,10000,1,23,0.04724529,0.00053823,0.01549449,6.42E-05,9851.61151,15096734.8,977,0,10000,0,10000,1,0.764355,0,10000,0,0
-1,0,0,10000,1,22,0.0470626,0.00057171,0.0152766,5.32E-05,9331.58932,12505068.6,978,0,10000,0,10000,1,0.750806,0,10000,0,0
-1,0,0,10000,1,27,0.0495059,0.00066201,0.01679378,8.56E-05,9115.50568,15659314.8,973,0,10000,0,10000,1,0.780621,0,10000,0,0
-1,0,0,10000,1,22,0.04696378,0.00046131,0.01572674,6.49E-05,9024.77823,13552015.5,978,0,10000,0,10000,1,0.609692,0,10000,0,0
-1,0,0,10000,1,24,0.04801349,0.00063906,0.01655878,8.60E-05,9823.74691,20945499.4,976,0,10000,0,10000,1,0.903279,0,10000,0,0
-1,0,0,10000,1,25,0.04628406,0.00059578,0.01549271,6.15E-05,9468.34604,12880306.4,975,0,10000,0,10000,1,0.772207,0,10000,0,0
-1,0,0,10000,1,27,0.04433089,0.00046306,0.01514313,6.60E-05,9208.97523,13093539.1,973,0,10000,0,10000,1,0.836973,0,10000,0,0
-1,0,0,10000,1,21,0.05008039,0.00073379,0.01678292,8.73E-05,9521.88718,16092430.9,979,0,10000,0,10000,1,0.764156,0,10000,0,0
-1,0,0,10000,1,24,0.04886229,0.00079289,0.0177624,0.00013,8796.47428,15945085.4,976,0,10000,0,10000,1,0.789164,0,10000,0,0
-1,0,0,10000,1,22,0.05025719,0.00107658,0.01853126,0.00034727,9348.51848,17355471,978,0,10000,0,10000,1,0.594713,0,10000,0,0
-1,0,0,10000,1,23,0.04852344,0.00098116,0.01806771,0.0002047,9432.56012,19507980.4,977,0,10000,0,10000,1,0.754064,0,10000,0,0
-1,0,0,10000,1,22,0.05346711,0.00091156,0.01970137,0.00017079,9408.47741,22471191.7,978,0,10000,0,10000,1,0.765583,0,10000,0,0
-1,0,1,374,1,25,0.04703003,0.00050587,0.01644979,9.31E-05,9023.62059,12516620,344,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,34,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,25,0.04878303,0.0006672,0.01646009,8.10E-05,9201.9001,13150869.3,975,0,10000,0,10000,1,0.889143,0,10000,0,0
-1,0,0,10000,1,23,0.04319724,0.00041514,0.01457226,5.04E-05,9854.19013,16864107.9,977,0,10000,0,10000,1,0.821756,0,10000,0,0
-1,0,0,10000,1,24,0.04890461,0.00069887,0.016682,7.98E-05,9468.5751,17695467.8,976,0,10000,0,10000,1,0.865391,0,10000,0,0
-1,0,0,10000,1,23,0.04764028,0.00058695,0.01634809,6.67E-05,9283.38541,14783036.1,977,0,10000,0,10000,1,0.797698,0,10000,0,0
-1,0,0,10000,1,24,0.04817978,0.00054797,0.01650083,6.92E-05,9600.90226,17885727.5,976,0,10000,0,10000,1,0.725426,0,10000,0,0
-1,0,1,838,1,22,0.04944895,0.00083138,0.01729969,0.00012366,9355.33457,20719173.3,814,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,22,0.05315624,0.00098255,0.01863977,0.00019076,9349.85216,20355380,978,0,10000,0,10000,1,0.760729,0,10000,0,0
-1,0,0,10000,1,23,0.04655455,0.00053395,0.01579516,6.27E-05,9586.74204,16171557.4,977,0,10000,0,10000,1,0.837218,0,10000,0,0
-1,0,0,10000,1,23,0.04642954,0.00048403,0.01597659,5.55E-05,9252.89928,13014704.8,977,0,10000,0,10000,1,0.776928,0,10000,0,0
-1,0,0,10000,1,28,0.34814825,0.05664711,0.3893115,0.0015252,93.75,10273.6875,8,1,36,0,10000,0,10000,0,10000,1,0
-1,0,1,157,1,24,0.07459551,0.00978878,0.03449698,0.00392785,8156.37008,17993802.3,131,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,885,1,23,0.04510992,0.0004008,0.0146367,4.25E-05,9321.44626,11030049.8,860,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,24,0.05055428,0.00083261,0.01854725,0.00020653,9043.24589,15572240.8,976,0,10000,0,10000,1,0.777351,0,10000,0,0
-1,0,1,35,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,23,0.0469519,0.00053913,0.01616356,7.52E-05,9362.08325,14681686.7,977,0,10000,0,10000,1,0.761263,0,10000,0,0
-1,0,0,10000,1,23,0.04819618,0.00077298,0.01714624,0.00012239,9549.71223,19790801.5,977,0,10000,0,10000,1,0.747355,0,10000,0,0
-1,0,0,10000,1,25,0.04639792,0.00055369,0.01484102,5.20E-05,9804.21833,11535612.4,975,0,10000,0,10000,1,0.775741,0,10000,0,0
-1,0,0,10000,1,25,0.0465774,0.00064151,0.01679532,0.00012361,9279.84655,16217913.3,975,0,10000,0,10000,1,0.716092,0,10000,0,0
