Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,1,77,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,93,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,77,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,76,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,80,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,248,1,59,0.09188005,0.00931772,0.02875492,0.00050896,14073.2667,46863708.3,184,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,86,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,152,1,65,0.17131862,0.04505979,0.06263679,0.00387562,12863.9467,74076513.2,79,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,81,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,81,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,148,1,60,0.13525918,0.02781311,0.06160885,0.00561795,14151.3766,86035521.7,81,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,83,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,77,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,83,1,65,0.3693548,0.02171373,0.10559587,0.0018211,1675.2,562795.56,14,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,76,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,87,1,63,0.29977927,0.00615099,0.10894856,0.0004868,1731.45455,115463.884,15,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,278,1,62,0.11732701,0.0227953,0.03609958,0.00182656,12826.3171,49045301,209,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,78,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,89,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,1,87,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,1,125,1,61,0.13117974,0.00987033,0.04055296,0.00135591,11337.1296,43406986.4,58,0,10000,0,10000,0,10000,0,10000,0,0
