Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,22,0.03378785,0.00018165,0.01613022,2.95E-05,6696.37474,5646863.89,978,0,10000,0,10000,1,0.763753,0,10000,0,0
-1,0,0,10000,1,25,0.03621198,0.00026517,0.01770157,5.42E-05,6610.88157,6612719.81,975,0,10000,0,10000,1,0.814293,0,10000,0,0
-1,0,0,10000,1,24,0.03825198,0.00029519,0.01859687,5.83E-05,6428.11317,5379704.1,976,0,10000,0,10000,1,0.800917,0,10000,0,0
-1,0,0,10000,1,22,0.03464154,0.0002377,0.01663089,4.36E-05,6631.17967,4974867.79,978,0,10000,0,10000,1,0.749105,0,10000,0,0
-1,0,0,10000,1,21,0.0389118,0.00032446,0.01834143,5.61E-05,6758.58872,5683192.72,979,0,10000,0,10000,1,0.691663,0,10000,0,0
-1,0,0,10000,1,22,0.03691484,0.00024153,0.01764322,4.52E-05,6569.80288,5721136.58,978,0,10000,0,10000,1,0.74908,0,10000,0,0
-1,0,0,10000,1,21,0.0369162,0.00036448,0.01817139,8.44E-05,6314.48718,5311948.26,979,0,10000,0,10000,1,0.776051,0,10000,0,0
-1,0,0,10000,1,23,0.03692472,0.00024123,0.0175019,4.44E-05,6871.3186,6747423.11,977,0,10000,0,10000,1,0.789854,0,10000,0,0
-1,0,0,10000,1,21,0.03890646,0.0002879,0.01869482,5.88E-05,6574.59692,5549660.14,979,0,10000,0,10000,1,0.821913,0,10000,0,0
-1,0,0,10000,1,21,0.03780087,0.00037047,0.01799027,5.85E-05,6808.06256,7708024.88,979,0,10000,0,10000,1,0.732204,0,10000,0,0
