Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.95,0.8,0,10000,1,21,0.01727499,9.06E-05,0.00736317,9.64E-06,10707.1805,6709485.83,979,0,10000,0,10000,1,0.649767,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01624983,7.02E-05,0.00705604,8.59E-06,10908.558,9436180.34,979,0,10000,0,10000,1,0.621619,0,10000,0,0
0.95,0.8,0,10000,1,21,0.0170874,8.13E-05,0.00758681,1.09E-05,10527.519,7813638.72,979,0,10000,0,10000,1,0.58561,0,10000,0,0
0.95,0.8,0,10000,1,21,0.0158489,6.47E-05,0.00697086,8.23E-06,10788.5754,7561218.96,979,0,10000,0,10000,1,0.573826,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01681601,7.97E-05,0.00719767,1.01E-05,10955.9651,8913737.52,979,0,10000,0,10000,1,0.61253,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01637723,7.14E-05,0.00703802,8.25E-06,10952.3299,9005557.26,977,0,10000,0,10000,1,0.611945,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01660302,8.03E-05,0.007192,1.11E-05,11017.6889,7432158.57,978,0,10000,0,10000,1,0.616919,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01662577,6.69E-05,0.00715826,9.24E-06,11099.9559,10604131.5,979,0,10000,0,10000,1,0.612526,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01665165,6.86E-05,0.00721273,9.78E-06,11024.4764,9919500.96,978,0,10000,0,10000,1,0.731537,0,10000,0,0
0.95,0.8,0,10000,1,20,0.01631607,7.99E-05,0.00707762,9.27E-06,10670.3678,7093791.44,980,0,10000,0,10000,1,0.586078,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01752895,7.73E-05,0.00754139,8.83E-06,10764.6092,7509182.68,979,0,10000,0,10000,1,0.667328,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01590881,7.05E-05,0.00697253,9.84E-06,10806.5062,7451384.32,978,0,10000,0,10000,1,0.732477,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01690023,7.00E-05,0.00740205,9.69E-06,10881.9374,8861297.48,979,0,10000,0,10000,1,0.576967,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01535184,5.38E-05,0.00671129,6.47E-06,10950.0216,7927489.13,978,0,10000,0,10000,1,0.69098,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01641593,7.73E-05,0.0071875,1.02E-05,10762.7454,8119903.64,978,0,10000,0,10000,1,0.700446,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01679671,8.34E-05,0.00732975,9.26E-06,10603.9229,6659005.45,977,0,10000,0,10000,1,0.678649,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01625891,6.04E-05,0.00703486,7.88E-06,10819.8728,6660689.68,979,0,10000,0,10000,1,0.660295,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01649485,8.10E-05,0.00707902,9.46E-06,10835.6287,6828026.54,979,0,10000,0,10000,1,0.714366,0,10000,0,0
0.95,0.8,0,10000,1,24,0.01769249,9.91E-05,0.00740259,1.02E-05,10829.4342,6591368.96,976,0,10000,0,10000,1,0.736133,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01744457,9.62E-05,0.00734024,9.76E-06,11036.4713,8120459.73,978,0,10000,0,10000,1,0.689714,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01720144,8.36E-05,0.00732725,1.02E-05,10937.3891,8900174.89,978,0,10000,0,10000,1,0.630225,0,10000,0,0
0.95,0.8,0,10000,1,20,0.01688888,6.64E-05,0.00751286,9.97E-06,10899.4303,7180813.27,980,0,10000,0,10000,1,0.715678,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01786696,9.92E-05,0.00743196,1.03E-05,10847.9322,7801969.99,978,0,10000,0,10000,1,0.690847,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01792794,9.39E-05,0.00752994,1.07E-05,10915.7887,8867909.02,979,0,10000,0,10000,1,0.629001,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01574776,7.21E-05,0.0069094,8.87E-06,10682.4944,7209076.34,979,0,10000,0,10000,1,0.636152,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01728126,8.94E-05,0.00735914,1.14E-05,10693.0708,6911454.59,979,0,10000,0,10000,1,0.632085,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01669602,6.36E-05,0.0070973,6.76E-06,10912.4523,7492341.92,979,0,10000,0,10000,1,0.736056,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01660717,7.76E-05,0.00728885,9.56E-06,10665.2133,8142580.93,979,0,10000,0,10000,1,0.74978,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01751983,6.81E-05,0.00755796,9.74E-06,10895.4615,8334778.15,979,0,10000,0,10000,1,0.648803,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01589187,7.00E-05,0.00703307,9.76E-06,10669.116,8503476.38,978,0,10000,0,10000,1,0.665862,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01660722,8.56E-05,0.00720546,1.16E-05,11162.9446,11520673.1,978,0,10000,0,10000,1,0.769557,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01681375,7.16E-05,0.00714489,8.48E-06,11105.1559,9338136.02,979,0,10000,0,10000,1,0.683357,0,10000,0,0
0.95,0.8,0,10000,1,20,0.01642168,6.81E-05,0.00711977,8.60E-06,10788.7736,6907591.78,980,0,10000,0,10000,1,0.682536,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01615131,6.57E-05,0.00696552,7.93E-06,10855.2841,7793283.79,979,0,10000,0,10000,1,0.663877,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01726372,8.50E-05,0.00749014,1.31E-05,10696.7977,6508061.91,978,0,10000,0,10000,1,0.742638,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01626656,7.98E-05,0.00701569,8.70E-06,10786.3262,7064275.67,979,0,10000,0,10000,1,0.674814,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01695808,8.62E-05,0.00715019,9.83E-06,11001.6503,7605277.71,979,0,10000,0,10000,1,0.624681,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01732276,0.00010113,0.00727008,1.10E-05,10948.7487,7364060.5,979,0,10000,0,10000,1,0.560892,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01724276,8.10E-05,0.00732676,9.49E-06,10946.4103,10213669.7,979,0,10000,0,10000,1,0.718061,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01653249,7.12E-05,0.00735282,9.69E-06,10650.9507,8109222.92,977,0,10000,0,10000,1,0.591486,0,10000,0,0
0.95,0.8,0,10000,1,19,0.01742665,7.64E-05,0.00743913,7.93E-06,10789.9191,5168743.98,981,0,10000,0,10000,1,0.611285,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01708556,9.05E-05,0.00726885,9.77E-06,10780.5164,6742556.95,978,0,10000,0,10000,1,0.702899,0,10000,0,0
