Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.95,0.8,0,10000,1,27,0.02967912,0.00030821,0.0123085,4.10E-05,7472.4902,7526430.21,973,0,10000,0,10000,1,0.820203,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02896203,0.00027761,0.0124853,5.91E-05,7469.73717,8890746.02,978,0,10000,0,10000,1,0.809589,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02784481,0.00025363,0.01187342,3.44E-05,7389.66051,8570976.83,979,0,10000,0,10000,1,0.853659,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02742506,0.00025524,0.01132326,2.85E-05,7737.41273,8385779.63,978,0,10000,0,10000,1,0.810926,0,10000,0,0
0.95,0.8,0,10000,1,25,0.02881166,0.00027495,0.01215962,3.63E-05,7178.48816,7205608.79,975,0,10000,0,10000,1,0.738867,0,10000,0,0
0.95,0.8,0,10000,1,26,0.027163,0.00027747,0.01183924,4.66E-05,7294.60619,7239077.83,974,0,10000,0,10000,1,0.814791,0,10000,0,0
0.95,0.8,0,10000,1,22,0.0278213,0.00026373,0.01198312,4.08E-05,7633.10986,15581993.7,978,0,10000,0,10000,1,0.682254,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02586121,0.00023849,0.01153505,3.86E-05,7140.39733,6221180.28,978,0,10000,0,10000,1,0.825013,0,10000,0,0
0.95,0.8,0,10000,1,20,0.02837201,0.00025615,0.01218979,3.93E-05,7314.68238,7669803.68,980,0,10000,0,10000,1,0.795496,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02813443,0.00022747,0.0121531,3.55E-05,7382.02567,8802093.78,978,0,10000,0,10000,1,0.793331,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02971644,0.00037843,0.0131269,9.46E-05,7815.77926,16585421.1,978,0,10000,0,10000,1,0.782476,0,10000,0,0
0.95,0.8,0,10000,1,21,0.03313372,0.00071337,0.01421208,0.00016179,7231.30872,10325978.8,979,0,10000,0,10000,1,0.800887,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02985242,0.00029229,0.0128238,5.03E-05,7409.21026,8047236.87,979,0,10000,0,10000,1,0.800698,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02976634,0.00032557,0.0128556,4.49E-05,7132.69744,7490765.65,979,0,10000,0,10000,1,0.669402,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02763062,0.00022411,0.01174111,2.62E-05,7167.23614,5429411.14,978,0,10000,0,10000,1,0.830664,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02974638,0.00031284,0.01274012,4.42E-05,7315.83265,9445235.08,978,0,10000,0,10000,1,0.622774,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02647534,0.00020989,0.01135311,2.66E-05,7396.71253,7148534,978,0,10000,0,10000,1,0.862396,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02852019,0.00026535,0.01222324,3.90E-05,7581.77184,8443415.23,977,0,10000,0,10000,1,0.848843,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02925788,0.00028194,0.01236172,3.66E-05,7630.00411,8495827.78,978,0,10000,0,10000,1,0.819073,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02856846,0.00025182,0.0123927,3.65E-05,7208.78439,6921398.75,978,0,10000,0,10000,1,0.810689,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02755859,0.00024647,0.01153399,3.82E-05,7593.5159,7853671.29,979,0,10000,0,10000,1,0.442038,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02787548,0.00026234,0.01182858,3.60E-05,7412.85436,7448950.98,979,0,10000,0,10000,1,0.806465,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02668512,0.00021696,0.01098245,2.47E-05,7690.71179,8021894.09,979,0,10000,0,10000,1,0.720282,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02810955,0.00025194,0.01266534,5.57E-05,7265.32444,11082757.4,978,0,10000,0,10000,1,0.801149,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02975592,0.00029244,0.01274686,5.46E-05,7478.80164,10776113.5,977,0,10000,0,10000,1,0.77038,0,10000,0,0
0.95,0.8,0,10000,1,23,0.03076898,0.00028216,0.01302251,4.18E-05,7486.21686,7885741.04,977,0,10000,0,10000,1,0.858984,0,10000,0,0
0.95,0.8,0,10000,1,31,0.03013511,0.00039547,0.01291431,9.35E-05,7387.78446,7764461.72,969,0,10000,0,10000,1,0.853431,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02994205,0.00034705,0.01277855,6.28E-05,7516.53231,9165540.81,979,0,10000,0,10000,1,0.865441,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02989671,0.00041758,0.01263967,5.71E-05,7175.09754,7940230.36,978,0,10000,0,10000,1,0.782961,0,10000,0,0
0.95,0.8,0,10000,1,21,0.03002446,0.00037609,0.01239988,5.97E-05,7505.8441,7746961.1,979,0,10000,0,10000,1,0.807106,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02880056,0.00032882,0.01237307,6.83E-05,7746.94347,10906083.1,977,0,10000,0,10000,1,0.79978,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02834884,0.00027027,0.01200549,3.20E-05,7318.1641,6208041,979,0,10000,0,10000,1,0.81154,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02939362,0.00029162,0.01229758,3.43E-05,7506.06263,9314476.93,978,0,10000,0,10000,1,0.841676,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02868564,0.00026086,0.01201605,4.10E-05,7715.10883,12747781.5,978,0,10000,0,10000,1,0.810266,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02998126,0.00028073,0.01285894,6.80E-05,7599.38849,9765235.9,977,0,10000,0,10000,1,0.713834,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02924321,0.0003532,0.01296474,8.49E-05,7504.58316,9922634.4,978,0,10000,0,10000,1,0.714041,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02940317,0.00042846,0.01317262,9.44E-05,7110.86242,9535479.59,978,0,10000,0,10000,1,0.814105,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02826119,0.0002198,0.01209337,3.60E-05,7191.88604,4696697.87,978,0,10000,0,10000,1,0.727507,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02916906,0.00030178,0.01241658,4.77E-05,7487.88615,11365442.2,979,0,10000,0,10000,1,0.836378,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02920476,0.00030399,0.01271021,5.64E-05,7479.67282,9719029.61,979,0,10000,0,10000,1,0.812738,0,10000,0,0
0.95,0.8,0,10000,1,20,0.02941127,0.00026562,0.01240484,3.36E-05,7554.66906,10138116.5,980,0,10000,0,10000,1,0.718244,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02696153,0.00021813,0.01210129,4.11E-05,7178.3306,7823429.44,978,0,10000,0,10000,1,0.628937,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02753882,0.00031722,0.01208396,5.34E-05,7201.3152,7705711.11,978,0,10000,0,10000,1,0.830245,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02405066,0.000154,0.01030067,2.17E-05,7409.45072,5552423.77,978,0,10000,0,10000,1,0.779758,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02907652,0.00027452,0.01242455,3.87E-05,7253.75795,7165710.44,979,0,10000,0,10000,1,0.840925,0,10000,0,0
0.95,0.8,0,10000,1,20,0.0270828,0.00023306,0.0115665,3.30E-05,7361.29303,8129016.97,980,0,10000,0,10000,1,0.822439,0,10000,0,0
0.95,0.8,0,10000,1,21,0.03173817,0.00064629,0.01383129,0.00012772,7810.0359,18280362.5,979,0,10000,0,10000,1,0.787188,0,10000,0,0
