Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,1,772,1,25,0.048931263,0.001461639,0.022032931,0.000481751,10608.35946,39783290.72,744,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,678,1,27,0.050880935,0.001583649,0.022652641,0.000488663,10731.67907,38578775.75,649,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.048548887,0.000676857,0.023007781,0.000249096,9667.266187,36208386.59,977,0,10000,0,10000,1,0.70462,0,10000,0,0
0.8,0.95,1,614,1,22,0.050693606,0.001131617,0.022914607,0.00025875,9082.423932,30706904.27,589,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,648,1,22,0.047703404,0.000750288,0.021489325,0.00022574,9433.45,28290675.07,624,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,22,0.049362638,0.00103267,0.022668154,0.000385738,9803.685832,29519910.98,978,0,10000,0,10000,1,0.691933,0,10000,0,0
0.8,0.95,0,10000,1,23,0.047920721,0.000722162,0.021705207,0.000210023,10528.84173,36290730.63,977,0,10000,0,10000,1,0.558046,0,10000,0,0
0.8,0.95,0,10000,1,23,0.052425906,0.001444003,0.023090079,0.000234138,10714.14251,57481851.49,418,1,441,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,32,0,10000,0,10000,0,10000,0,1
0.8,0.95,1,255,1,21,0.063778003,0.002964244,0.029039023,0.000885315,7871.45614,16433573.56,232,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,486,1,24,0.054258886,0.001725482,0.026751949,0.000664023,10091.32967,43902810.8,459,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,26,0.067983221,0.005549607,0.026524701,0.000370392,4961.958333,6433561.957,28,1,54,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,1,24,0.047164977,0.00068361,0.020619101,0.000138616,10634.2716,35510797.65,976,0,10000,0,10000,1,0.807743,0,10000,0,0
0.8,0.95,1,308,1,23,0.046955381,0.000668389,0.020702828,0.000147932,9404.146953,28086748.33,283,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,26,0.047512688,0.000705238,0.021403741,0.00019618,10052.92062,33878561.01,974,0,10000,0,10000,1,0.813464,0,10000,0,0
0.8,0.95,0,10000,1,26,0.048914831,0.001252618,0.02223641,0.000478525,10224.35876,30070485.2,974,0,10000,0,10000,1,0.756136,0,10000,0,0
0.8,0.95,1,804,1,22,0.045505726,0.000628938,0.020100015,0.000188218,9638.264516,27162908.74,779,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,24,0.047058287,0.000801644,0.020907524,0.000188691,10906.27263,40350835.34,976,0,10000,0,10000,1,0.685791,0,10000,0,0
0.8,0.95,0,10000,1,23,0.046738331,0.000848806,0.021127758,0.000249378,10803.01028,40431713.04,977,0,10000,0,10000,1,0.192699,0,10000,0,0
0.8,0.95,0,10000,1,21,0.0477536,0.00063354,0.020972829,0.000151253,10039.06154,38287843.43,979,0,10000,0,10000,1,0.694555,0,10000,0,0
0.8,0.95,0,10000,1,24,0.04725118,0.00075782,0.02186655,0.00024956,9821.02058,36202020.8,976,0,10000,0,10000,1,0.248314,0,10000,0,0
0.8,0.95,0,10000,1,26,0.04944741,0.00082479,0.02296735,0.00019831,9556.96849,31369314.1,607,1,633,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,1,23,0.05004266,0.00081593,0.02355042,0.00024053,9685.04522,38538327.4,977,0,10000,0,10000,1,0.834044,0,10000,0,0
0.8,0.95,1,799,1,23,0.05178691,0.00276052,0.0233592,0.00088502,10380.4753,37748870.1,774,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,22,0.05040507,0.00098039,0.0236914,0.00031709,9729.33368,37770229,978,0,10000,0,10000,1,0.523756,0,10000,0,0
0.8,0.95,0,10000,1,26,0.05127603,0.00129732,0.02455169,0.00047985,10380.6928,52475213.4,974,0,10000,0,10000,1,0.141559,0,10000,0,0
0.8,0.95,0,10000,1,25,0.04611366,0.00064753,0.02084851,0.0001783,9961.43563,29981306,975,0,10000,0,10000,1,0.740554,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04519818,0.00054014,0.02058106,0.00013993,10930.2847,43859197.4,977,0,10000,0,10000,1,0.793205,0,10000,0,0
0.8,0.95,0,10000,1,24,0.04921094,0.00070479,0.02220989,0.00021765,9345.72119,23932552.3,976,0,10000,0,10000,1,0.738703,0,10000,0,0
0.8,0.95,0,10000,1,27,0.04833819,0.0011145,0.02232781,0.00027369,10679.3509,64052874.2,973,0,10000,0,10000,1,0.54153,0,10000,0,0
0.8,0.95,0,10000,1,24,0.0534328,0.00122099,0.02566648,0.00037885,10036.8508,50951980.3,976,0,10000,0,10000,1,0.518954,0,10000,0,0
0.8,0.95,0,10000,1,27,0.053411,0.00189015,0.02461677,0.0004724,9984.14151,40355077,852,1,879,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,1,23,0.0455117,0.00081634,0.02029829,0.00025433,10443.445,44190062.8,977,0,10000,0,10000,1,0.421406,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04752822,0.00080242,0.02161508,0.00022251,10229.1295,37118820.8,977,0,10000,0,10000,1,0.744561,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04650843,0.00059837,0.02011526,0.00013864,9805.19013,25055096.4,977,0,10000,0,10000,1,0.780989,0,10000,0,0
0.8,0.95,1,871,1,25,0.04949847,0.00070306,0.02275915,0.00020643,9332.5888,32763555.5,843,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05274644,0.00185032,0.02489982,0.00081323,10148.4779,43201257.1,977,0,10000,0,10000,1,0.548351,0,10000,0,0
0.8,0.95,0,10000,1,25,0.04667223,0.00064075,0.02098662,0.0001492,9557.10196,29889683.3,975,0,10000,0,10000,1,0.620346,0,10000,0,0
0.8,0.95,1,298,1,22,0.05089359,0.00088086,0.02312309,0.00025572,9141.01859,22425420.5,273,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,27,0.04353845,0.00035658,0.01851475,7.97E-05,10269.3313,24054608.6,973,0,10000,0,10000,1,0.697054,0,10000,0,0
0.8,0.95,0,10000,1,26,0.04692837,0.00066384,0.02098603,0.00017217,9869.7567,30181398.9,974,0,10000,0,10000,1,0.705045,0,10000,0,0
0.8,0.95,0,10000,1,24,0.04860007,0.00077149,0.02193608,0.00020437,10117.8673,37637839.3,976,0,10000,0,10000,1,0.684928,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04759625,0.00098668,0.02180265,0.00025745,10654.0123,54529828.6,977,0,10000,0,10000,1,0.852879,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04487818,0.00064679,0.01983115,0.00015698,10219.9764,32906222.3,977,0,10000,0,10000,1,0.778566,0,10000,0,0
0.8,0.95,0,10000,1,28,0.04648969,0.00070148,0.02040981,0.00016326,10649.2634,47476829.4,972,0,10000,0,10000,1,0.777731,0,10000,0,0
0.8,0.95,1,184,1,22,0.0496692,0.00070931,0.0245935,0.00017497,12091.2244,95797629.5,160,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,28,0.04882444,0.00065292,0.02233653,0.00018141,9705.5062,33071787.6,972,0,10000,0,10000,1,0.602007,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04836893,0.00094204,0.02220068,0.00027851,10990.2251,55472720.5,977,0,10000,0,10000,1,0.619289,0,10000,0,0
0.8,0.95,0,10000,1,22,0.04740621,0.00071076,0.02175073,0.00020779,10357.7505,42389250.6,978,0,10000,0,10000,1,0.714873,0,10000,0,0
0.8,0.95,0,10000,1,25,0.05192411,0.00117169,0.02403331,0.00035005,10660.1977,57051318.4,975,0,10000,0,10000,1,0.892211,0,10000,0,0
0.8,0.95,0,10000,1,25,0.04903039,0.00071342,0.02237533,0.0001788,9296.56437,32717515.8,975,0,10000,0,10000,1,0.65843,0,10000,0,0
0.8,0.95,1,681,1,25,0.05114182,0.00151659,0.02495753,0.00062226,9072.53231,29670989.6,654,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,127,1,25,0.0467734,0.00099949,0.01833351,8.94E-05,11071.0729,23692776.8,100,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04425039,0.00048169,0.01946342,0.00012156,10613.6516,36409894,977,0,10000,0,10000,1,0.711209,0,10000,0,0
0.8,0.95,0,10000,1,22,0.04826291,0.00058974,0.02171767,0.0001392,10225.0062,33856876.3,978,0,10000,0,10000,1,0.607089,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04641928,0.00053633,0.02051057,0.00011463,10653.7194,39585171.2,977,0,10000,0,10000,1,0.864752,0,10000,0,0
0.8,0.95,0,10000,1,22,0.04550012,0.00085012,0.02007624,0.00022053,11079.4548,49426603.9,978,0,10000,0,10000,1,0.677514,0,10000,0,0
0.8,0.95,0,10000,1,22,0.04535302,0.00046158,0.01975089,9.53E-05,9657.57392,25501640.6,978,0,10000,0,10000,1,0.783696,0,10000,0,0
