Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,1,36,1,26,0.224454333,0.000976055,0.218324,0.00070354,299.3333333,1286.222222,7,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,37,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,110,1,26,0.103404171,0.003398816,0.051398405,0.001438155,6058.987013,18088740.66,81,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,29,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,37,1,23,0.2128745,0.005539219,0.125229663,0.003623648,1152,150359,12,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,184,1,22,0.076527038,0.003803731,0.038965922,0.001326537,6522.75974,41426920.92,158,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,173,1,22,0.073235824,0.001183844,0.031307587,0.000231947,5315.993007,7441688.371,147,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,307,1,25,0.078106295,0.002259822,0.038257407,0.000640796,6426.275362,23078698.19,280,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,28,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,313,1,22,0.08086591,0.003197927,0.041068013,0.001578183,5469.070671,13614834.83,288,0,10000,0,10000,0,10000,0,10000,0,0
