Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,1,154,1,24,0.07094568,0.00375948,0.03617697,0.00117419,4726.28689,6123971.37,126,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,496,1,26,0.06178382,0.00216716,0.03460947,0.00085281,4462.99136,12663381.7,467,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,28,0.07120274,0.00343017,0.04002919,0.00148898,4389.20455,9167630.46,972,0,10000,0,10000,1,0.741438,0,10000,0,0
0.8,0.95,1,475,1,32,0.05944071,0.00212291,0.0324318,0.0008356,4195.15367,6436426.08,440,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,92,1,25,0.12252635,0.01155229,0.0786441,0.00541823,2324.27869,4228988.96,65,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,588,1,25,0.0683147,0.0026705,0.0380897,0.00110095,4623.3777,16700992.8,560,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,798,1,26,0.05599841,0.00231153,0.03032212,0.00083268,4544.34076,9014206.04,768,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,284,1,28,0.07221203,0.00380903,0.04016432,0.0015646,4090.13765,8183616.35,251,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,43,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,538,1,24,0.05499294,0.00129974,0.02965985,0.00048672,4008.22288,4833711.3,511,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,300,1,26,0.06082701,0.00176592,0.0350029,0.00069226,4826.11611,17957792.5,271,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,48,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,431,1,24,0.06581071,0.00271642,0.03719293,0.00097974,3843.1975,6253507.27,405,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,189,1,29,0.05235687,0.0007864,0.02667238,0.00019492,4723.2013,10222328.6,158,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,83,1,24,0.07848704,0.00279292,0.04523189,0.00137371,3759.98113,13934152.5,57,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,526,1,36,0.05784128,0.00104444,0.03287029,0.00052334,4870.45756,16156880.2,488,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,83,1,27,0.10524692,0.01169359,0.05644864,0.0039024,2588.6383,3197417.93,51,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,52,1,23,0.1404667,0.00839216,0.08237517,0.00391516,1963.13044,2495927.51,27,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,244,1,33,0.07165637,0.00361454,0.04403038,0.00218719,3618.68781,7173774.47,209,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,126,1,25,0.05429524,0.00172197,0.02977481,0.00058551,3986.61053,7161224.79,99,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,29,0.05267156,0.00067655,0.02929942,0.00026267,5232.82213,9178925.28,971,0,10000,0,10000,1,0.859106,0,10000,0,0
0.8,0.95,0,10000,1,24,0.04854635,0.00057258,0.02686052,0.00020798,5270.08745,11249625.5,976,0,10000,0,10000,1,0.92485,0,10000,0,0
0.8,0.95,0,10000,1,24,0.05445875,0.00119987,0.03156686,0.00052991,5030.00823,15152059.7,976,0,10000,0,10000,1,0.505255,0,10000,0,0
0.8,0.95,0,10000,1,27,0.05625129,0.0018212,0.03329981,0.00105686,5322.14964,14608446.4,973,0,10000,0,10000,1,0.703254,0,10000,0,0
0.8,0.95,0,10000,1,24,0.0577025,0.0020066,0.03342158,0.00101709,4779.10597,8695811.02,976,0,10000,0,10000,1,0.365418,0,10000,0,0
0.8,0.95,0,10000,1,22,0.05331668,0.00101777,0.03022499,0.00043922,5309.36858,12279097,978,0,10000,0,10000,1,0.932043,0,10000,0,0
0.8,0.95,1,36,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,322,1,28,0.06182881,0.00208288,0.03628875,0.0009102,5666.48958,23919153,292,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,26,0.05455124,0.00130919,0.03056957,0.00051051,5786.75773,29340057.8,974,0,10000,0,10000,1,0.812045,0,10000,0,0
0.8,0.95,1,122,1,23,0.09619003,0.00846598,0.06105705,0.00517474,4100.51613,7678512.21,97,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,168,1,27,0.07286464,0.00344254,0.04484096,0.00186004,4555.96296,10651957.3,139,0,10000,0,10000,0,10000,0,10000,0,0
