Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,60,0.009891211,5.39E-06,0.00513111,1.62E-06,20704.88889,5412431.635,940,0,10000,0,10000,1,0.437336,0,10000,0,0
6,0.01,0,10000,1,60,0.010201011,4.66E-06,0.005327968,1.23E-06,20191.13141,3423026.21,940,0,10000,0,10000,1,0.423776,0,10000,0,0
6,0.01,0,10000,1,56,0.009800023,4.77E-06,0.005153879,1.37E-06,20330.15426,5640607.686,944,0,10000,0,10000,1,0.356443,0,10000,0,0
6,0.01,0,10000,1,50,0.009741976,3.86E-06,0.005138824,1.15E-06,20601.86892,4974349.015,950,0,10000,0,10000,1,0.352766,0,10000,0,0
6,0.01,0,10000,1,56,0.009908661,4.17E-06,0.005270397,1.46E-06,20140.38511,5572186.975,944,0,10000,0,10000,1,0.3804,0,10000,0,0
6,0.01,0,10000,1,46,0.01017878,6.03E-06,0.005371459,1.59E-06,20270.81158,5870180.067,954,0,10000,0,10000,1,0.454433,0,10000,0,0
6,0.01,0,10000,1,45,0.009764547,4.00E-06,0.005144831,1.12E-06,20431.17771,6213546.695,955,0,10000,0,10000,1,0.386492,0,10000,0,0
6,0.01,0,10000,1,60,0.010105551,3.73E-06,0.005356086,1.06E-06,20204.02671,3513243.094,940,0,10000,0,10000,1,0.414926,0,10000,0,0
6,0.01,0,10000,1,50,0.00995001,4.45E-06,0.005302362,1.35E-06,20393.06025,5507750.621,950,0,10000,0,10000,1,0.437561,0,10000,0,0
6,0.01,0,10000,1,57,0.010212186,4.53E-06,0.005363092,1.40E-06,20259.7114,5026171.089,943,0,10000,0,10000,1,0.434481,0,10000,0,0
6,0.01,0,10000,1,60,0.009818522,4.64E-06,0.005160906,1.35E-06,20460.19765,3925965.154,940,0,10000,0,10000,1,0.327701,0,10000,0,0
