Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,57,0.036265156,0.000263244,0.0223246,0.000105252,13235.0639,23754941.48,943,0,10000,0,10000,1,0.291606,0,10000,0,0
6,0.01,0,10000,1,67,0.035210609,0.000206692,0.021480827,9.49E-05,12773.78471,29360956.72,933,0,10000,0,10000,1,0.275184,0,10000,0,0
6,0.01,0,10000,1,61,0.033533097,9.36E-05,0.019534591,3.52E-05,12956.45668,12612125.45,939,0,10000,0,10000,1,0.497088,0,10000,0,0
6,0.01,0,10000,1,61,0.038610819,0.000207789,0.023505445,8.25E-05,12300.50802,17571298.61,939,0,10000,0,10000,1,0.398051,0,10000,0,0
6,0.01,0,10000,1,66,0.034402883,0.000118054,0.020765939,5.37E-05,12370.81935,18163711.3,934,0,10000,0,10000,1,0.442416,0,10000,0,0
6,0.01,0,10000,1,62,0.034677882,0.000216316,0.020407146,7.11E-05,12413.05889,11924096.53,938,0,10000,0,10000,1,0.399583,0,10000,0,0
6,0.01,0,10000,1,63,0.036078825,0.000157284,0.021099507,5.34E-05,11975.9314,10524934.34,937,0,10000,0,10000,1,0.344993,0,10000,0,0
6,0.01,0,10000,1,75,0.033059758,0.000132458,0.019641713,5.48E-05,13871.14875,19768196.63,925,0,10000,0,10000,1,0.454071,0,10000,0,0
6,0.01,0,10000,1,70,0.039883499,0.000245146,0.023925045,8.93E-05,11251.55616,9990674.011,930,0,10000,0,10000,1,0.177881,0,10000,0,0
6,0.01,0,10000,1,55,0.033001857,0.000101648,0.01925966,4.00E-05,13178.9458,14448818.61,945,0,10000,0,10000,1,0.353942,0,10000,0,0
6,0.01,0,10000,1,63,0.035283041,0.000179769,0.021545572,8.18E-05,12806.04609,18541163.67,937,0,10000,0,10000,1,0.347787,0,10000,0,0
6,0.01,0,10000,1,68,0.036464575,0.000228589,0.022182459,8.25E-05,13419.20259,27059422.28,932,0,10000,0,10000,1,0.333922,0,10000,0,0
6,0.01,0,10000,1,60,0.032482187,7.71E-05,0.019276821,2.90E-05,13016.18269,11504033.78,940,0,10000,0,10000,1,0.391937,0,10000,0,0
6,0.01,0,10000,1,65,0.035250734,0.000184328,0.021524487,9.10E-05,12299.69066,13908766.34,935,0,10000,0,10000,1,0.251008,0,10000,0,0
6,0.01,0,10000,1,69,0.0342635,0.000151667,0.020612776,6.50E-05,12516.89968,16821404.6,931,0,10000,0,10000,1,0.438379,0,10000,0,0
6,0.01,0,10000,1,60,0.031866663,0.000101454,0.018615762,3.91E-05,13769.17521,13001097.57,940,0,10000,0,10000,1,0.388938,0,10000,0,0
6,0.01,0,10000,1,67,0.035919761,0.000124527,0.021887718,4.98E-05,11707.46394,8379411.728,933,0,10000,0,10000,1,0.532772,0,10000,0,0
6,0.01,0,10000,1,66,0.033588608,0.000142154,0.020374947,5.76E-05,13258.47849,29096834.1,934,0,10000,0,10000,1,0.422093,0,10000,0,0
