Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,56,0.007933398,3.13E-06,0.004796183,9.84E-07,17852.56915,2881328.801,944,0,10000,0,10000,1,0.45278,0,10000,0,0
6,0.01,0,10000,1,45,0.007647397,2.71E-06,0.004625081,8.96E-07,17788.3428,3955945.012,955,0,10000,0,10000,1,0.531265,0,10000,0,0
6,0.01,0,10000,1,56,0.007599341,2.26E-06,0.004649591,7.70E-07,17616.8266,3051205.307,944,0,10000,0,10000,1,0.494538,0,10000,0,0
6,0.01,0,10000,1,62,0.007486734,2.77E-06,0.004563085,9.94E-07,17642.61456,1988455.282,938,0,10000,0,10000,1,0.433254,0,10000,0,0
6,0.01,0,10000,1,47,0.007853493,3.52E-06,0.004749825,1.06E-06,17834.35827,4680477.05,953,0,10000,0,10000,1,0.477159,0,10000,0,0
6,0.01,0,10000,1,61,0.007171828,2.09E-06,0.004332328,6.64E-07,17626.03209,2364294.275,939,0,10000,0,10000,1,0.564043,0,10000,0,0
6,0.01,0,10000,1,58,0.007565922,2.68E-06,0.004607762,1.00E-06,17527.77719,2413391.105,942,0,10000,0,10000,1,0.4938,0,10000,0,0
6,0.01,0,10000,1,52,0.007483933,2.55E-06,0.004518168,8.80E-07,17765.28496,3707122.852,948,0,10000,0,10000,1,0.476828,0,10000,0,0
6,0.01,0,10000,1,47,0.007569373,2.41E-06,0.004548576,7.92E-07,17893.66491,3690983.35,953,0,10000,0,10000,1,0.452344,0,10000,0,0
6,0.01,0,10000,1,56,0.007477529,2.42E-06,0.004524996,8.66E-07,17843.72553,2745570.089,944,0,10000,0,10000,1,0.503574,0,10000,0,0
6,0.01,0,10000,1,56,0.007578214,3.04E-06,0.004560854,1.04E-06,17814.83936,2330104.618,944,0,10000,0,10000,1,0.46243,0,10000,0,0
6,0.01,0,10000,1,52,0.007718257,2.83E-06,0.004676723,9.92E-07,17802.41419,3436336.406,948,0,10000,0,10000,1,0.482074,0,10000,0,0
6,0.01,0,10000,1,58,0.007452766,2.56E-06,0.004572414,8.98E-07,17809.66844,2221308.48,942,0,10000,0,10000,1,0.487474,0,10000,0,0
6,0.01,0,10000,1,51,0.007701829,2.83E-06,0.004690401,9.54E-07,17743.14815,3326129.436,949,0,10000,0,10000,1,0.508308,0,10000,0,0
6,0.01,0,10000,1,53,0.007290526,2.69E-06,0.00442546,8.97E-07,17748.90668,4125849.506,947,0,10000,0,10000,1,0.529263,0,10000,0,0
6,0.01,0,10000,1,44,0.007712894,2.91E-06,0.004643617,1.02E-06,17861.83403,5085351.569,956,0,10000,0,10000,1,0.520082,0,10000,0,0
6,0.01,0,10000,1,49,0.007490452,2.94E-06,0.004555736,1.03E-06,17869.566,3089010.89,951,0,10000,0,10000,1,0.441435,0,10000,0,0
6,0.01,0,10000,1,48,0.00778961,2.82E-06,0.004729814,9.39E-07,17517.89346,2747959.234,952,0,10000,0,10000,1,0.510135,0,10000,0,0
6,0.01,0,10000,1,49,0.007575876,2.56E-06,0.004626523,9.69E-07,17663.9641,3674893.042,951,0,10000,0,10000,1,0.488986,0,10000,0,0
6,0.01,0,10000,1,50,0.007509106,2.96E-06,0.004578055,9.82E-07,17911.50951,3572457.034,950,0,10000,0,10000,1,0.473826,0,10000,0,0
6,0.01,0,10000,1,51,0.007370735,2.08E-06,0.004493209,6.78E-07,17657.93968,3854531.424,949,0,10000,0,10000,1,0.518276,0,10000,0,0
6,0.01,0,10000,1,47,0.007867039,3.00E-06,0.004769556,1.01E-06,17686.9294,4378156.306,953,0,10000,0,10000,1,0.459569,0,10000,0,0
6,0.01,0,10000,1,60,0.007756478,3.38E-06,0.004681328,1.14E-06,17541.18803,2435533.943,940,0,10000,0,10000,1,0.425726,0,10000,0,0
6,0.01,0,10000,1,58,0.007768203,2.67E-06,0.004730935,9.16E-07,17502.50426,2940111.261,942,0,10000,0,10000,1,0.477426,0,10000,0,0
6,0.01,0,10000,1,51,0.007686416,2.91E-06,0.004668379,9.60E-07,17680.90159,3439349.107,949,0,10000,0,10000,1,0.495048,0,10000,0,0
6,0.01,0,10000,1,44,0.007834717,2.95E-06,0.004749114,1.03E-06,17725.21218,3530597.566,956,0,10000,0,10000,1,0.539464,0,10000,0,0
6,0.01,0,10000,1,49,0.007612114,2.89E-06,0.004611481,8.71E-07,17668.7603,3860058.377,951,0,10000,0,10000,1,0.491031,0,10000,0,0
6,0.01,0,10000,1,60,0.007417474,2.74E-06,0.004556066,9.59E-07,17619.41774,2519815.803,940,0,10000,0,10000,1,0.50935,0,10000,0,0
6,0.01,0,10000,1,54,0.007697244,2.80E-06,0.004682589,1.07E-06,17669.1104,3298242.933,946,0,10000,0,10000,1,0.431565,0,10000,0,0
6,0.01,0,10000,1,55,0.007588142,2.66E-06,0.004546546,8.86E-07,17942.20829,2631691.077,945,0,10000,0,10000,1,0.490556,0,10000,0,0
6,0.01,0,10000,1,47,0.007722697,2.66E-06,0.004690572,8.32E-07,17943.91992,4263978.955,953,0,10000,0,10000,1,0.464505,0,10000,0,0
6,0.01,0,10000,1,48,0.007496664,2.84E-06,0.004503623,9.54E-07,17795.66772,3257047.737,952,0,10000,0,10000,1,0.503852,0,10000,0,0
6,0.01,0,10000,1,52,0.007785365,2.97E-06,0.004707487,1.00E-06,17705.0053,3120618.317,948,0,10000,0,10000,1,0.485979,0,10000,0,0
6,0.01,0,10000,1,57,0.007666033,2.70E-06,0.004647448,9.44E-07,17585.17785,3283160.24,943,0,10000,0,10000,1,0.4747,0,10000,0,0
6,0.01,0,10000,1,65,0.007623756,2.30E-06,0.004676999,9.29E-07,17601.83029,2742124.878,935,0,10000,0,10000,1,0.492664,0,10000,0,0
6,0.01,0,10000,1,44,0.007415123,2.45E-06,0.004501098,7.49E-07,17825.86134,3931322.998,956,0,10000,0,10000,1,0.521769,0,10000,0,0
6,0.01,0,10000,1,54,0.007487428,2.64E-06,0.004543955,8.65E-07,17494.91295,2881219.604,946,0,10000,0,10000,1,0.497943,0,10000,0,0
