"","Low-Density Growth Rate","Migration Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"1",2,0.01,0,10000,1,74,0.033915624,0.000650288,0.030952716,0.000532468,18915.02294,95193639.33,222,1,296,0,10000,0,10000,0,10000,1,0
"2",2,0.01,0,10000,1,75,0.484378875,0.015805651,0.455612875,0.006704229,265.75,2781.1875,12,1,87,0,10000,0,10000,0,10000,1,0
"3",2,0.01,0,10000,1,72,0.033922496,0.000830139,0.030437185,0.0006519,19691.97902,139717863.5,147,1,219,0,10000,0,10000,0,10000,1,0
"4",2,0.01,0,10000,1,82,0.240035,0.00087228,0.218605429,0.000287937,524.5714286,2912.244898,11,1,93,0,10000,0,10000,0,10000,1,0
"5",2,0.01,0,10000,1,76,0.058897618,0.000347172,0.056612386,0.000294657,8665.090909,5941975.992,26,1,102,0,10000,0,10000,0,10000,1,0
"6",2,0.01,0,10000,1,74,0.027373764,0.000307253,0.025515909,0.000279765,17767.43165,32475414.07,143,1,217,0,10000,0,10000,0,10000,1,0
"7",2,0.01,0,10000,1,66,0.046141614,0.000126191,0.0434618,8.54e-05,8874.333333,6962146.317,25,1,91,0,10000,0,10000,0,10000,1,0
"8",2,0.01,0,10000,1,70,0.026747704,0.000346813,0.024640623,0.000292872,18139.05674,40740413.26,145,1,215,0,10000,0,10000,0,10000,1,0
"9",2,0.01,0,10000,1,74,0.048053393,0.000156539,0.04527824,0.000104169,8552.6,3581353.973,19,1,93,0,10000,0,10000,0,10000,1,0
"10",2,0.01,0,10000,1,68,0.054327424,0.000566272,0.050865876,0.000423616,9682.588235,23025034.36,38,1,106,0,10000,0,10000,0,10000,1,0
"11",2,0.01,0,10000,1,69,0.045662586,0.000686097,0.041294985,0.000557106,12649.39552,51492046.45,138,1,207,0,10000,0,10000,0,10000,1,0
"12",2,0.01,0,10000,1,68,0.03180872,0.000220482,0.028674005,0.000175271,15935.50442,37110486.64,117,1,185,0,10000,0,10000,0,10000,1,0
"13",2,0.01,0,10000,1,77,0.1906497,0.002143079,0.1838325,0.001520704,748.1,12658.49,14,1,91,0,10000,0,10000,0,10000,1,0
"14",2,0.01,0,10000,1,71,0.061111936,0.000154362,0.056305429,7.26e-05,7261.5,1901993.821,18,1,89,0,10000,0,10000,0,10000,1,0
"15",2,0.01,0,10000,1,68,0.023100582,1.38e-05,0.021802218,8.48e-06,17048.52941,4288264.484,21,1,89,0,10000,0,10000,0,10000,1,0
"16",2,0.01,0,10000,1,79,0.100273394,0.000670682,0.088852198,0.000388599,4452.494253,4514806.641,91,1,170,0,10000,0,10000,0,10000,1,0
"17",2,0.01,0,10000,1,71,0.0529866,0.000106685,0.050218469,6.59e-05,8622.153846,2090585.053,17,1,88,0,10000,0,10000,0,10000,1,0
"18",2,0.01,0,10000,1,77,0.061744226,0.000872518,0.059449965,0.00072439,9033.852941,14062179.07,38,1,115,0,10000,0,10000,0,10000,1,0
"19",2,0.01,0,10000,1,69,0.03815968,7.42e-05,0.035687607,4.42e-05,10954.53333,3781716.516,19,1,88,0,10000,0,10000,0,10000,1,0
"20",2,0.01,0,10000,1,76,0.057951382,0.000490074,0.055513359,0.000396049,9370.705882,11392095.62,38,1,114,0,10000,0,10000,0,10000,1,0
"21",2,0.0125,0,10000,1,57,0.297350294,0.010000598,0.273586471,0.010038899,417.4705882,26729.42561,21,1,78,0,10000,0,10000,0,10000,1,0
"22",2,0.0125,0,10000,1,55,0.078067032,0.007501091,0.066438578,0.007155548,9130.158192,30532017.16,181,1,236,0,10000,0,10000,0,10000,1,0
"23",2,0.0125,0,10000,1,58,0.191189316,0.001983806,0.177923053,0.0016307,2006,1357413.789,23,1,81,0,10000,0,10000,0,10000,1,0
"24",2,0.0125,0,10000,1,57,0.050892838,0.000195228,0.044126553,0.000157,10585.36709,5529132.106,83,1,140,0,10000,0,10000,0,10000,1,0
"25",2,0.0125,0,10000,1,56,0.039823633,0.001284305,0.035003235,0.000916679,17075.75092,73614522.74,277,1,333,0,10000,0,10000,0,10000,1,0
"26",2,0.0125,1,72,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"27",2,0.0125,1,93,1,57,0.585546067,0.095869696,0.540272467,0.085037795,326.3,62871.01,34,0,10000,0,10000,0,10000,0,10000,0,0
"28",2,0.0125,0,10000,1,58,0.0869267,9.83e-05,0.081714786,3.28e-05,5962.142857,507452.1224,11,1,69,0,10000,0,10000,0,10000,1,0
