"","Fitness","Drive Efficiency","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"1",0.8,0.8,0,10000,1,21,0.000829643,4.93e-08,0.000328544,8.34e-09,20702.83385,677774.2719,979,0,10000,0,10000,1,0.612991,0,10000,0,0
"2",0.8,0.8,0,10000,1,22,0.000849667,5.56e-08,0.000335821,9.25e-09,20483.78953,701569.6467,978,0,10000,0,10000,1,0.618023,0,10000,0,0
"3",0.8,0.8,0,10000,1,21,0.00081356,5.67e-08,0.000317607,8.94e-09,20782.55487,633575.4101,979,0,10000,0,10000,1,0.604026,0,10000,0,0
"4",0.8,0.8,0,10000,1,33,0.000828328,5.32e-08,0.000328785,9.27e-09,20522.47144,610734.137,967,0,10000,0,10000,1,0.613289,0,10000,0,0
"5",0.8,0.8,0,10000,1,21,0.000835658,5.5e-08,0.000329449,8.72e-09,20636.96,666707.3553,979,0,10000,0,10000,1,0.631345,0,10000,0,0
"6",0.8,0.8,0,10000,1,21,0.000860687,5.94e-08,0.000340111,9.75e-09,20595.61846,733484.5231,979,0,10000,0,10000,1,0.613923,0,10000,0,0
"7",0.8,0.8,0,10000,1,32,0.000858591,5.93e-08,0.000334372,9.14e-09,20538.97407,498393.5107,968,0,10000,0,10000,1,0.606421,0,10000,0,0
"8",0.8,0.8,0,10000,1,21,0.000826061,5.04e-08,0.00032649,8.3e-09,20674.52513,664213.9683,979,0,10000,0,10000,1,0.605816,0,10000,0,0
"9",0.8,0.8,0,10000,1,31,0.000835662,4.54e-08,0.000332724,8.64e-09,20553.33264,549884.6427,969,0,10000,0,10000,1,0.606405,0,10000,0,0
"10",0.8,0.8,0,10000,1,22,0.000833096,4.85e-08,0.000329456,8.51e-09,20579.33881,637756.5382,978,0,10000,0,10000,1,0.604461,0,10000,0,0
"11",0.8,0.8,0,10000,1,28,0.000811842,4.31e-08,0.000320044,7.78e-09,20773.53512,571610.4037,972,0,10000,0,10000,1,0.615069,0,10000,0,0
"12",0.8,0.8,0,10000,1,21,0.000838158,5.94e-08,0.000330767,9.35e-09,20525.55077,636379.7387,979,0,10000,0,10000,1,0.623918,0,10000,0,0
"13",0.8,0.8,0,10000,1,24,0.000850219,5.08e-08,0.000334633,8.5e-09,20575.01132,556373.9597,976,0,10000,0,10000,1,0.631757,0,10000,0,0
"14",0.8,0.8,0,10000,1,22,0.000855084,6.45e-08,0.000337916,1e-08,20608.67248,688682.6186,978,0,10000,0,10000,1,0.600887,0,10000,0,0
"15",0.8,0.8,0,10000,1,22,0.000824395,5.18e-08,0.000327059,8.77e-09,20674.68378,577997.3538,978,0,10000,0,10000,1,0.609399,0,10000,0,0
"16",0.8,0.8,0,10000,1,22,0.00083094,5.64e-08,0.000326126,9.06e-09,20657.7269,589802.3854,978,0,10000,0,10000,1,0.611459,0,10000,0,0
"17",0.8,0.8,0,10000,1,33,0.000870009,5.72e-08,0.000346273,1e-08,20608.18692,538104.098,967,0,10000,0,10000,1,0.604793,0,10000,0,0
"18",0.8,0.8,0,10000,1,22,0.000828078,6.1e-08,0.000326553,1.02e-08,20622.4846,722805.451,978,0,10000,0,10000,1,0.606059,0,10000,0,0
"19",0.8,0.8,0,10000,1,33,0.000827051,5.31e-08,0.000327843,8.97e-09,20538.99896,577476.5888,967,0,10000,0,10000,1,0.611269,0,10000,0,0
"20",0.8,0.8,0,10000,1,30,0.000854075,5.48e-08,0.000337808,8.71e-09,20579.13043,570718.3867,970,0,10000,0,10000,1,0.62117,0,10000,0,0
