Generation 0,,,"for each generation,  position is the first column and number of individuals is in the second column, first for ""others"" (mostly wild-type), then drive homozygotes, then drive heterozygotes, and then reistance allele homozygotes"
0,327,,
0.01,709,,
0.02,815,,
0.03,860,,
0.04,871,,
0.05,844,,
0.06,811,,
0.07,791,,
0.08,826,,
0.09,828,,
0.1,786,,
0.11,783,,
0.12,781,,
0.13,810,,
0.14,811,,
0.15,784,,
0.16,804,,
0.17,813,,
0.18,805,,
0.19,785,,
0.2,782,,
0.21,816,,
0.22,801,,
0.23,744,,
0.24,737,,
0.25,772,,
0.26,796,,
0.27,776,,
0.28,732,,
0.29,789,,
0.3,839,,
0.31,798,,
0.32,757,,
0.33,696,,
0.34,744,,
0.35,814,,
0.36,788,,
0.37,792,,
0.38,768,,
0.39,771,,
0.4,817,,
0.41,822,,
0.42,849,,
0.43,841,,
0.44,819,,
0.45,832,,
0.46,793,,
0.47,791,,
0.48,815,,
0.49,796,,
0.5,774,,
0.51,794,,
0.52,803,,
0.53,739,,
0.54,752,,
0.55,812,,
0.56,815,,
0.57,802,,
0.58,806,,
0.59,778,,
0.6,821,,
0.61,832,,
0.62,827,,
0.63,833,,
0.64,792,,
0.65,795,,
0.66,818,,
0.67,775,,
0.68,761,,
0.69,796,,
0.7,777,,
0.71,776,,
0.72,791,,
0.73,778,,
0.74,774,,
0.75,769,,
0.76,783,,
0.77,778,,
0.78,778,,
0.79,768,,
0.8,781,,
0.81,773,,
0.82,734,,
0.83,760,,
0.84,800,,
0.85,797,,
0.86,801,,
0.87,808,,
0.88,804,,
0.89,816,,
0.9,838,,
0.91,843,,
0.92,841,,
0.93,840,,
0.94,868,,
0.95,868,,
0.96,832,,
0.97,836,,
0.98,764,,
0.99,706,,
1,362,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
Generation 1,,,
0,325,,
0.01,685,,
0.02,779,,
0.03,840,,
0.04,870,,
0.05,879,,
0.06,861,,
0.07,843,,
0.08,770,,
0.09,767,,
0.1,797,,
0.11,765,,
0.12,740,,
0.13,763,,
0.14,787,,
0.15,767,,
0.16,780,,
0.17,806,,
0.18,809,,
0.19,783,,
0.2,787,,
0.21,797,,
0.22,818,,
0.23,824,,
0.24,789,,
0.25,807,,
0.26,835,,
0.27,802,,
0.28,799,,
0.29,809,,
0.3,792,,
0.31,773,,
0.32,795,,
0.33,816,,
0.34,790,,
0.35,792,,
0.36,787,,
0.37,780,,
0.38,798,,
0.39,819,,
0.4,842,,
0.41,843,,
0.42,848,,
0.43,849,,
0.44,810,,
0.45,843,,
0.46,852,,
0.47,817,,
0.48,826,,
0.49,817,,
0.5,840,,
0.51,822,,
0.52,812,,
0.53,808,,
0.54,810,,
0.55,832,,
0.56,830,,
0.57,791,,
0.58,751,,
0.59,789,,
0.6,836,,
0.61,816,,
0.62,803,,
0.63,794,,
0.64,787,,
0.65,749,,
0.66,767,,
0.67,792,,
0.68,797,,
0.69,802,,
0.7,782,,
0.71,806,,
0.72,814,,
0.73,823,,
0.74,828,,
0.75,802,,
0.76,834,,
0.77,801,,
0.78,731,,
0.79,750,,
0.8,789,,
0.81,818,,
0.82,863,,
0.83,826,,
0.84,785,,
0.85,814,,
0.86,799,,
0.87,787,,
0.88,811,,
0.89,843,,
0.9,830,,
0.91,819,,
0.92,865,,
0.93,826,,
0.94,822,,
0.95,872,,
0.96,896,,
0.97,887,,
0.98,793,,
0.99,702,,
1,345,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
