Generation 0,,,"for each generation,  position is the first column and number of individuals is in the second column, first for ""others"" (mostly wild-type), then drive homozygotes, then drive heterozygotes, and then reistance allele homozygotes"
0,336,,
0.01,740,,
0.02,852,,
0.03,888,,
0.04,892,,
0.05,883,,
0.06,838,,
0.07,794,,
0.08,822,,
0.09,820,,
0.1,797,,
0.11,817,,
0.12,788,,
0.13,787,,
0.14,838,,
0.15,832,,
0.16,770,,
0.17,766,,
0.18,815,,
0.19,787,,
0.2,775,,
0.21,816,,
0.22,781,,
0.23,779,,
0.24,772,,
0.25,722,,
0.26,789,,
0.27,786,,
0.28,793,,
0.29,822,,
0.3,799,,
0.31,797,,
0.32,779,,
0.33,797,,
0.34,812,,
0.35,810,,
0.36,805,,
0.37,781,,
0.38,796,,
0.39,827,,
0.4,807,,
0.41,776,,
0.42,794,,
0.43,808,,
0.44,828,,
0.45,797,,
0.46,807,,
0.47,830,,
0.48,782,,
0.49,766,,
0.5,791,,
0.51,792,,
0.52,787,,
0.53,778,,
0.54,798,,
0.55,789,,
0.56,780,,
0.57,825,,
0.58,814,,
0.59,796,,
0.6,796,,
0.61,824,,
0.62,798,,
0.63,777,,
0.64,788,,
0.65,813,,
0.66,851,,
0.67,824,,
0.68,830,,
0.69,846,,
0.7,856,,
0.71,786,,
0.72,766,,
0.73,802,,
0.74,755,,
0.75,730,,
0.76,783,,
0.77,785,,
0.78,784,,
0.79,795,,
0.8,784,,
0.81,778,,
0.82,798,,
0.83,810,,
0.84,831,,
0.85,797,,
0.86,750,,
0.87,767,,
0.88,768,,
0.89,816,,
0.9,846,,
0.91,803,,
0.92,794,,
0.93,820,,
0.94,847,,
0.95,866,,
0.96,888,,
0.97,900,,
0.98,863,,
0.99,755,,
1,339,,
0,40,,
0.01,39,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
Generation 1,,,
0,325,,
0.01,701,,
0.02,767,,
0.03,849,,
0.04,847,,
0.05,834,,
0.06,879,,
0.07,860,,
0.08,786,,
0.09,779,,
0.1,822,,
0.11,809,,
0.12,821,,
0.13,808,,
0.14,786,,
0.15,802,,
0.16,830,,
0.17,823,,
0.18,790,,
0.19,765,,
0.2,760,,
0.21,763,,
0.22,780,,
0.23,779,,
0.24,770,,
0.25,759,,
0.26,745,,
0.27,770,,
0.28,793,,
0.29,796,,
0.3,841,,
0.31,835,,
0.32,772,,
0.33,728,,
0.34,761,,
0.35,799,,
0.36,767,,
0.37,795,,
0.38,835,,
0.39,790,,
0.4,765,,
0.41,793,,
0.42,811,,
0.43,807,,
0.44,794,,
0.45,798,,
0.46,822,,
0.47,823,,
0.48,837,,
0.49,820,,
0.5,778,,
0.51,767,,
0.52,787,,
0.53,788,,
0.54,812,,
0.55,820,,
0.56,796,,
0.57,786,,
0.58,801,,
0.59,818,,
0.6,808,,
0.61,795,,
0.62,830,,
0.63,883,,
0.64,890,,
0.65,837,,
0.66,808,,
0.67,833,,
0.68,856,,
0.69,852,,
0.7,840,,
0.71,814,,
0.72,781,,
0.73,803,,
0.74,828,,
0.75,774,,
0.76,751,,
0.77,787,,
0.78,816,,
0.79,804,,
0.8,814,,
0.81,816,,
0.82,813,,
0.83,805,,
0.84,812,,
0.85,829,,
0.86,816,,
0.87,805,,
0.88,774,,
0.89,796,,
0.9,812,,
0.91,835,,
0.92,911,,
0.93,896,,
0.94,865,,
0.95,881,,
0.96,906,,
0.97,859,,
0.98,746,,
0.99,652,,
1,311,,
0,0,,
0.01,1,,
0.02,3,,
0.03,2,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
