Generation 0,,,"for each generation, position is the first column and number of individuals is in the second column, first for wild-type females, then wild-type males, and then drive carrier males"
0,156,,
0.01,347,,
0.02,384,,
0.03,425,,
0.04,427,,
0.05,414,,
0.06,431,,
0.07,413,,
0.08,430,,
0.09,445,,
0.1,424,,
0.11,401,,
0.12,380,,
0.13,359,,
0.14,397,,
0.15,436,,
0.16,411,,
0.17,399,,
0.18,398,,
0.19,401,,
0.2,391,,
0.21,385,,
0.22,431,,
0.23,443,,
0.24,424,,
0.25,407,,
0.26,405,,
0.27,383,,
0.28,397,,
0.29,435,,
0.3,418,,
0.31,419,,
0.32,426,,
0.33,426,,
0.34,416,,
0.35,400,,
0.36,383,,
0.37,390,,
0.38,404,,
0.39,405,,
0.4,405,,
0.41,405,,
0.42,389,,
0.43,376,,
0.44,394,,
0.45,412,,
0.46,412,,
0.47,389,,
0.48,389,,
0.49,400,,
0.5,392,,
0.51,388,,
0.52,410,,
0.53,408,,
0.54,398,,
0.55,425,,
0.56,427,,
0.57,403,,
0.58,403,,
0.59,384,,
0.6,383,,
0.61,390,,
0.62,411,,
0.63,390,,
0.64,364,,
0.65,421,,
0.66,417,,
0.67,375,,
0.68,408,,
0.69,431,,
0.7,406,,
0.71,380,,
0.72,391,,
0.73,415,,
0.74,406,,
0.75,387,,
0.76,357,,
0.77,372,,
0.78,394,,
0.79,384,,
0.8,385,,
0.81,406,,
0.82,417,,
0.83,379,,
0.84,384,,
0.85,387,,
0.86,403,,
0.87,411,,
0.88,388,,
0.89,393,,
0.9,419,,
0.91,426,,
0.92,454,,
0.93,490,,
0.94,469,,
0.95,453,,
0.96,430,,
0.97,393,,
0.98,364,,
0.99,332,,
1,159,,
0,161,,
0.01,371,,
0.02,394,,
0.03,398,,
0.04,441,,
0.05,443,,
0.06,428,,
0.07,439,,
0.08,445,,
0.09,417,,
0.1,413,,
0.11,419,,
0.12,446,,
0.13,435,,
0.14,421,,
0.15,436,,
0.16,410,,
0.17,403,,
0.18,442,,
0.19,443,,
0.2,405,,
0.21,403,,
0.22,408,,
0.23,422,,
0.24,431,,
0.25,407,,
0.26,408,,
0.27,442,,
0.28,437,,
0.29,409,,
0.3,402,,
0.31,383,,
0.32,406,,
0.33,418,,
0.34,395,,
0.35,384,,
0.36,402,,
0.37,412,,
0.38,402,,
0.39,409,,
0.4,407,,
0.41,412,,
0.42,418,,
0.43,423,,
0.44,409,,
0.45,400,,
0.46,414,,
0.47,394,,
0.48,371,,
0.49,394,,
0.5,406,,
0.51,381,,
0.52,391,,
0.53,414,,
0.54,387,,
0.55,396,,
0.56,403,,
0.57,388,,
0.58,409,,
0.59,402,,
0.6,384,,
0.61,381,,
0.62,414,,
0.63,422,,
0.64,398,,
0.65,416,,
0.66,409,,
0.67,394,,
0.68,424,,
0.69,436,,
0.7,426,,
0.71,416,,
0.72,386,,
0.73,391,,
0.74,414,,
0.75,415,,
0.76,416,,
0.77,406,,
0.78,408,,
0.79,392,,
0.8,363,,
0.81,337,,
0.82,355,,
0.83,402,,
0.84,437,,
0.85,399,,
0.86,367,,
0.87,368,,
0.88,386,,
0.89,422,,
0.9,432,,
0.91,432,,
0.92,404,,
0.93,423,,
0.94,427,,
0.95,387,,
0.96,411,,
0.97,434,,
0.98,404,,
0.99,354,,
1,165,,
0,40,,
0.01,40,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
