Generation 0,,,"for each generation,  position is the first column and number of individuals is in the second column, first for ""others"" (mostly wild-type), then drive homozygotes, then drive heterozygotes, and then reistance allele homozygotes"
0,332,,
0.01,716,,
0.02,803,,
0.03,886,,
0.04,922,,
0.05,898,,
0.06,922,,
0.07,922,,
0.08,860,,
0.09,825,,
0.1,788,,
0.11,788,,
0.12,831,,
0.13,819,,
0.14,785,,
0.15,789,,
0.16,797,,
0.17,803,,
0.18,766,,
0.19,736,,
0.2,793,,
0.21,781,,
0.22,811,,
0.23,821,,
0.24,794,,
0.25,831,,
0.26,827,,
0.27,812,,
0.28,802,,
0.29,813,,
0.3,813,,
0.31,750,,
0.32,771,,
0.33,785,,
0.34,773,,
0.35,823,,
0.36,837,,
0.37,798,,
0.38,789,,
0.39,743,,
0.4,746,,
0.41,773,,
0.42,768,,
0.43,795,,
0.44,775,,
0.45,781,,
0.46,784,,
0.47,749,,
0.48,772,,
0.49,834,,
0.5,813,,
0.51,835,,
0.52,819,,
0.53,786,,
0.54,786,,
0.55,746,,
0.56,807,,
0.57,838,,
0.58,802,,
0.59,783,,
0.6,796,,
0.61,809,,
0.62,830,,
0.63,806,,
0.64,825,,
0.65,821,,
0.66,815,,
0.67,862,,
0.68,820,,
0.69,818,,
0.7,833,,
0.71,804,,
0.72,785,,
0.73,788,,
0.74,796,,
0.75,826,,
0.76,836,,
0.77,818,,
0.78,796,,
0.79,764,,
0.8,759,,
0.81,780,,
0.82,803,,
0.83,798,,
0.84,797,,
0.85,769,,
0.86,792,,
0.87,820,,
0.88,831,,
0.89,836,,
0.9,803,,
0.91,802,,
0.92,847,,
0.93,876,,
0.94,882,,
0.95,846,,
0.96,855,,
0.97,855,,
0.98,866,,
0.99,776,,
1,325,,
0,40,,
0.01,40,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
0,0,,
0.01,0,,
0.02,0,,
0.03,0,,
0.04,0,,
0.05,0,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.57,0,,
0.58,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.66,0,,
0.67,0,,
0.68,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
0.81,0,,
0.82,0,,
0.83,0,,
0.84,0,,
0.85,0,,
0.86,0,,
0.87,0,,
0.88,0,,
0.89,0,,
0.9,0,,
0.91,0,,
0.92,0,,
0.93,0,,
0.94,0,,
0.95,0,,
0.96,0,,
0.97,0,,
0.98,0,,
0.99,0,,
1,0,,
Generation 1,,,
0,306,,
0.01,663,,
0.02,743,,
0.03,775,,
0.04,829,,
0.05,831,,
0.06,818,,
0.07,821,,
0.08,796,,
0.09,819,,
0.1,827,,
0.11,813,,
0.12,807,,
0.13,767,,
0.14,756,,
0.15,779,,
0.16,769,,
0.17,745,,
0.18,727,,
0.19,765,,
0.2,759,,
0.21,774,,
0.22,821,,
0.23,739,,
0.24,745,,
0.25,793,,
0.26,801,,
0.27,808,,
0.28,808,,
0.29,802,,
0.3,772,,
0.31,762,,
0.32,785,,
0.33,783,,
0.34,781,,
0.35,817,,
0.36,795,,
0.37,782,,
0.38,814,,
0.39,785,,
0.4,735,,
0.41,763,,
0.42,793,,
0.43,784,,
0.44,787,,
0.45,785,,
0.46,837,,
0.47,858,,
0.48,816,,
0.49,810,,
0.5,840,,
0.51,811,,
0.52,777,,
0.53,792,,
0.54,789,,
0.55,789,,
0.56,827,,
0.57,796,,
0.58,785,,
0.59,797,,
0.6,786,,
0.61,798,,
0.62,840,,
0.63,831,,
0.64,810,,
0.65,806,,
0.66,806,,
0.67,784,,
0.68,799,,
0.69,808,,
0.7,826,,
0.71,845,,
0.72,781,,
0.73,791,,
0.74,795,,
0.75,768,,
0.76,789,,
0.77,834,,
0.78,829,,
0.79,805,,
0.8,799,,
0.81,759,,
0.82,787,,
0.83,811,,
0.84,823,,
0.85,839,,
0.86,798,,
0.87,793,,
0.88,813,,
0.89,809,,
0.9,782,,
0.91,783,,
0.92,822,,
0.93,865,,
0.94,888,,
0.95,861,,
0.96,874,,
0.97,862,,
0.98,787,,
0.99,701,,
1,330,,
0,1,,
0.01,2,,
0.02,1,,
0.03,0,,
0.04,1,,
0.05,1,,
0.06,0,,
0.07,0,,
0.08,0,,
0.09,0,,
0.1,0,,
0.11,0,,
0.12,0,,
0.13,0,,
0.14,0,,
0.15,0,,
0.16,0,,
0.17,0,,
0.18,0,,
0.19,0,,
0.2,0,,
0.21,0,,
0.22,0,,
0.23,0,,
0.24,0,,
0.25,0,,
0.26,0,,
0.27,0,,
0.28,0,,
0.29,0,,
0.3,0,,
0.31,0,,
0.32,0,,
0.33,0,,
0.34,0,,
0.35,0,,
0.36,0,,
0.37,0,,
0.38,0,,
0.39,0,,
0.4,0,,
0.41,0,,
0.42,0,,
0.43,0,,
0.44,0,,
0.45,0,,
0.46,0,,
0.47,0,,
0.48,0,,
0.49,0,,
0.5,0,,
0.51,0,,
