Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
0,,0.500807,0,0.499193,0,0.00502918,50207,,0.499277,0,0.500723,0,0.00500426,50457,,0.499052,0,0.500948,0,0.00498677,50634,,0.498844,0,0.501156,0,0.00498943,50607,,0.498519,0,0.501481,0,0.00491973,51324,,0.500702,0,0.499298,0,0.00499239,50577,,0.495891,0,0.504109,0,0.00495205,50989,,0.49996,0,0.50004,0,0.00505951,49906,,0.498391,0,0.501609,0,0.00504586,50041,,0.494568,0,0.505432,0,0.00503319,50167,,0.497529,0,0.502471,0,0.00497096,50795,,0.499644,0,0.500356,0,0.00498953,50606,,0.5,0,0.5,0,0.00497478,50756,,0.500802,0,0.499198,0,0.00500208,50479,,0.502129,0,0.497871,0,0.00502328,50266,,0.498984,0,0.501016,0,0.00497979,50705,,0.503359,0,0.496641,0,0.00501789,50320,,0.498442,0,0.501558,0,0.00501261,50373,,0.499595,0,0.500405,0,0.00499278,50573,,0.504071,0,0.495929,0,0.00503912,50108
1,,0.502841,0.000200767,0.496597,0.00036138,0.00955651,49809,,0.496959,0.000260125,0.502601,0.000180086,0.00968465,49976,,0.506078,0.000258213,0.493286,0.000377388,0.00941485,50346,,0.501039,0.000319616,0.498322,0.000319616,0.00901918,50060,,0.497626,0.0002583,0.501758,0.000357647,0.00987502,50329,,0.50303,0.00013952,0.496552,0.00027904,0.00915849,50172,,0.50159,0.00029436,0.49792,0.00019624,0.00984144,50958,,0.50026,0.000320218,0.499179,0.000240163,0.00971661,49966,,0.499732,0.000238157,0.499692,0.000337389,0.01034,50387,,0.498479,0.000237032,0.501027,0.000256785,0.00941216,50626,,0.49892,0.000118937,0.500644,0.000317165,0.00975281,50447,,0.497588,0.000317643,0.501717,0.000377201,0.00957892,50371,,0.497898,0.00031877,0.501504,0.000278923,0.00928416,50193,,0.495581,0.000280555,0.503898,0.000240476,0.00912807,49901,,0.497454,0.000301853,0.501962,0.00028173,0.00998129,49693,,0.502409,0.000297448,0.496976,0.000317278,0.0088342,50429,,0.503964,0.00026158,0.495473,0.000301823,0.0103727,49698,,0.499223,0.000278896,0.500139,0.00035858,0.00923344,50198,,0.496342,0.000299856,0.503059,0.000299856,0.0100152,50024,,0.500172,0.000303441,0.499302,0.000222523,0.00946736,49433
2,,0.503812,0.000707886,0.494731,0.000748336,0.0177679,49443,,0.497359,0.000478402,0.501445,0.000717603,0.0180896,50167,,0.498905,0.000446302,0.499919,0.000730312,0.0167972,49294,,0.501401,0.000520437,0.497598,0.000480404,0.015473,49958,,0.498029,0.000776274,0.500617,0.000577229,0.0177846,50240,,0.503599,0.000564528,0.495232,0.000604851,0.017329,49599,,0.498621,0.000724565,0.49997,0.000684311,0.0189997,49685,,0.499241,0.000759271,0.49948,0.000519501,0.0184123,50048,,0.501338,0.000838893,0.497004,0.000818919,0.0185755,50066,,0.501129,0.000396055,0.497921,0.000554477,0.0178027,50498,,0.501616,0.000678372,0.497067,0.000638468,0.018346,50120,,0.495565,0.000499421,0.503496,0.00043949,0.0165508,50058,,0.496467,0.000578842,0.502355,0.000598802,0.0162874,50100,,0.498244,0.000793761,0.50005,0.000912825,0.0167087,50393,,0.498512,0.000703716,0.500382,0.000402123,0.0184373,49736,,0.497496,0.000545124,0.501333,0.000625883,0.0155764,49530,,0.4985,0.00081103,0.500081,0.000608273,0.01912,49320,,0.495634,0.000518383,0.50333,0.000518383,0.0168474,50156,,0.495284,0.000498495,0.50338,0.000837471,0.0184842,50151,,0.501146,0.000603185,0.497607,0.000643397,0.0171003,49736
3,,0.50052,0.00120352,0.49695,0.00132591,0.0325255,49023,,0.502505,0.00128231,0.495111,0.00110198,0.0334803,49910,,0.501019,0.00119856,0.496784,0.000998801,0.0284159,50060,,0.5,0.00112427,0.497912,0.000963662,0.0287292,49810,,0.500421,0.00092325,0.497451,0.00120424,0.0316012,49824,,0.498565,0.00151595,0.498464,0.00145531,0.0304807,49474,,0.499212,0.00143545,0.497897,0.00145566,0.034198,49462,,0.498789,0.00164128,0.497788,0.00178139,0.0340165,49961,,0.497836,0.00150289,0.499259,0.00140269,0.032833,49904,,0.498324,0.00121168,0.499616,0.000848176,0.0331092,49518,,0.497972,0.00146551,0.499338,0.0012246,0.034319,49812,,0.499692,0.00174759,0.49725,0.00131069,0.0308311,50355,,0.502337,0.00108937,0.495563,0.00101014,0.0290564,50488,,0.497674,0.00117819,0.50001,0.00113825,0.029235,50077,,0.498612,0.00122746,0.498692,0.00146893,0.0328195,49696,,0.496602,0.00129541,0.500807,0.00129541,0.0284991,50177,,0.499339,0.00172289,0.497215,0.00172289,0.0342075,49916,,0.497031,0.00149456,0.500399,0.00107608,0.0303495,50182,,0.4988,0.00156687,0.498146,0.00148753,0.0334199,50419,,0.503815,0.00150981,0.493447,0.00122798,0.0307499,49675
4,,0.497905,0.00286082,0.496189,0.00304473,0.0609764,48937,,0.496184,0.00369488,0.496366,0.00375545,0.0624596,49528,,0.498284,0.00255853,0.496518,0.00263975,0.0519321,49247,,0.495529,0.00279915,0.499114,0.00255749,0.0542309,49658,,0.50028,0.00320449,0.493791,0.00272381,0.057871,49930,,0.494337,0.00273047,0.500485,0.00244731,0.0530521,49442,,0.497481,0.00335134,0.49545,0.00371694,0.0592985,49234,,0.491637,0.00390586,0.501632,0.00282424,0.0590486,49925,,0.497961,0.00297254,0.495973,0.00309305,0.0585772,49789,,0.500991,0.00285033,0.492884,0.00327484,0.0589169,49468,,0.495857,0.00331832,0.497828,0.00299654,0.0618112,49724,,0.500203,0.00290084,0.494158,0.00273856,0.0538685,49296,,0.493861,0.00298869,0.500666,0.00248384,0.0541801,49520,,0.497061,0.00307996,0.49698,0.00287865,0.0534161,49676,,0.49253,0.00314935,0.50107,0.00325029,0.0572031,49534,,0.493948,0.00254086,0.50029,0.0032211,0.0509873,49983,,0.491085,0.00337695,0.50204,0.00349756,0.0604535,49749,,0.49972,0.00335758,0.493884,0.00303781,0.0539312,50036,,0.500836,0.00322275,0.493101,0.00284005,0.0595202,49647,,0.496698,0.00323009,0.496985,0.00308699,0.0557804,48915
5,,0.490479,0.00817533,0.492885,0.00846075,0.11107,49050,,0.489128,0.00903946,0.493933,0.00789934,0.109308,49118,,0.490031,0.00665292,0.496562,0.00675402,0.0919073,49452,,0.497465,0.00752261,0.486922,0.00809035,0.0965875,49318,,0.493378,0.00854475,0.490306,0.00777165,0.102649,49153,,0.49405,0.00682289,0.49271,0.00641676,0.0936624,49246,,0.491558,0.00794057,0.492643,0.00785871,0.101365,48863,,0.49241,0.00746841,0.492148,0.00797303,0.102741,49542,,0.493676,0.00730374,0.491085,0.00793618,0.10569,49016,,0.491888,0.00867759,0.490757,0.00867759,0.103237,48631,,0.491745,0.00891999,0.490333,0.00900182,0.10885,48879,,0.498593,0.00636241,0.48805,0.00699458,0.0936621,49038,,0.493291,0.00689072,0.492988,0.00683027,0.0947272,49632,,0.491588,0.00739398,0.494399,0.00661995,0.0944107,49094,,0.490769,0.00664681,0.495917,0.00666707,0.0985774,49347,,0.495112,0.00681659,0.492014,0.00605697,0.0904648,50025,,0.494998,0.00807553,0.48869,0.00823624,0.104429,49780,,0.494065,0.00638065,0.493032,0.00652244,0.0928739,49368,,0.493831,0.00908904,0.48904,0.0080403,0.10694,48630,,0.493693,0.00654154,0.492939,0.00682684,0.0972265,49071
6,,0.481323,0.0233494,0.47334,0.021988,0.189476,48481,,0.480372,0.0212598,0.476091,0.0222781,0.185415,48119,,0.48198,0.016425,0.48604,0.0155551,0.156856,48280,,0.487291,0.0168541,0.479549,0.0163056,0.161316,47407,,0.48197,0.0202334,0.478108,0.0196877,0.175405,47644,,0.485908,0.0151684,0.482307,0.016617,0.157913,48324,,0.479933,0.0186976,0.482444,0.0189259,0.172605,48188,,0.476745,0.0203739,0.483688,0.0191925,0.175158,48248,,0.477212,0.0225793,0.477629,0.0225793,0.183598,47920,,0.479668,0.0188384,0.482112,0.0193814,0.171905,47881,,0.478081,0.0211887,0.478311,0.0224192,0.185652,47950,,0.483829,0.0156931,0.48385,0.0166272,0.157689,48174,,0.480852,0.0159194,0.486775,0.0164541,0.162207,48620,,0.481262,0.0181923,0.483301,0.0172446,0.160465,48537,,0.481299,0.0188348,0.480597,0.0192685,0.171279,48421,,0.484769,0.0158047,0.483955,0.0154707,0.15169,47897,,0.47561,0.0202953,0.482983,0.0211122,0.179202,47745,,0.483989,0.0154649,0.484607,0.0159391,0.158515,48497,,0.479227,0.0205618,0.479902,0.0203087,0.178856,47418,,0.484638,0.0179617,0.480199,0.0172013,0.165941,48659
7,,0.445045,0.0521511,0.450047,0.0527567,0.298988,44582,,0.450493,0.04954,0.451525,0.048442,0.290279,45539,,0.460949,0.0389655,0.459703,0.0403832,0.256487,46554,,0.461647,0.0411155,0.45621,0.0410274,0.265061,45433,,0.450145,0.0455885,0.45936,0.0449068,0.280733,45472,,0.458647,0.0411168,0.459485,0.0407514,0.258565,46526,,0.455317,0.0446286,0.456778,0.0432763,0.275908,45845,,0.453864,0.0450696,0.455491,0.0455755,0.279403,45463,,0.452831,0.0481366,0.452876,0.0461563,0.288381,44436,,0.453825,0.043778,0.45829,0.0441064,0.275364,45685,,0.451076,0.05246,0.444558,0.0519057,0.294129,45101,,0.458564,0.0407017,0.460443,0.0402912,0.257648,46288,,0.455054,0.0404134,0.465734,0.0387986,0.264119,46445,,0.462918,0.0367026,0.461876,0.0385041,0.253717,46073,,0.458294,0.0433269,0.454181,0.0441973,0.27453,45953,,0.466674,0.0352496,0.46099,0.0370867,0.247633,46270,,0.449803,0.0471372,0.456753,0.0463068,0.284747,45760,,0.456018,0.0393583,0.464528,0.0400964,0.25851,46064,,0.455347,0.0479746,0.451148,0.0455303,0.288236,45003,,0.459576,0.0411289,0.457754,0.041541,0.269431,46099
8,,0.400197,0.101128,0.395705,0.10297,0.431315,39623,,0.39832,0.0986121,0.399276,0.103792,0.426531,39772,,0.41982,0.0816537,0.417759,0.0807669,0.383128,41725,,0.414805,0.0892318,0.411065,0.0848977,0.395624,40378,,0.403754,0.0969739,0.402077,0.0971958,0.417109,40547,,0.419149,0.081128,0.414301,0.085422,0.385244,41453,,0.409537,0.0924745,0.405882,0.0921066,0.404938,40768,,0.409397,0.0963778,0.398806,0.0954195,0.415012,40694,,0.398203,0.101546,0.400211,0.10004,0.427969,39844,,0.408177,0.0938931,0.40754,0.0903902,0.409365,40823,,0.398122,0.104394,0.39678,0.100704,0.425265,38757,,0.41662,0.0830288,0.417685,0.0826658,0.383552,41323,,0.411811,0.0873488,0.414211,0.0866289,0.394126,41672,,0.422182,0.0789769,0.417689,0.0811521,0.379539,41835,,0.411881,0.0908357,0.406105,0.0911783,0.408002,40854,,0.421172,0.0798655,0.422412,0.0765507,0.376565,41933,,0.400287,0.0972054,0.402659,0.0998493,0.423056,40471,,0.415305,0.0860404,0.414536,0.0841182,0.389753,41620,,0.402445,0.0984422,0.40247,0.0966419,0.420536,39993,,0.406077,0.0917307,0.410898,0.0912946,0.40415,41273
9,,0.323313,0.179003,0.321713,0.175971,0.574904,30005,,0.327158,0.165563,0.335618,0.171662,0.560172,30496,,0.349524,0.152732,0.348108,0.149636,0.525819,33909,,0.337673,0.158029,0.340725,0.163573,0.543338,32108,,0.328603,0.16928,0.335941,0.166176,0.56072,30937,,0.349755,0.150772,0.344278,0.155196,0.528484,33229,,0.334478,0.166514,0.339488,0.15952,0.549245,31739,,0.333203,0.164263,0.336354,0.16618,0.555875,30792,,0.32563,0.172006,0.3254,0.176963,0.572266,30464,,0.335027,0.163962,0.336164,0.164846,0.555433,31678,,0.337177,0.165672,0.33064,0.16651,0.559873,29830,,0.347833,0.150229,0.353188,0.14875,0.524249,33795,,0.347675,0.153783,0.344819,0.153722,0.534534,32910,,0.348248,0.150868,0.355921,0.144964,0.523451,33367,,0.332686,0.167079,0.335318,0.164917,0.555072,31913,,0.348508,0.15001,0.354466,0.147017,0.525506,34071,,0.332914,0.170106,0.327392,0.169589,0.563757,30969,,0.345695,0.153354,0.349528,0.151423,0.533194,33139,,0.327054,0.172441,0.328847,0.171659,0.565362,30683,,0.342377,0.159648,0.337039,0.160936,0.544041,31845
