Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
0,,0.501787,NA,0.498213,0,0.0050139,50360,,0.502586,NA,0.497414,0,0.00496627,50843,,0.501359,NA,0.498641,0,0.00493733,51141,,0.495738,NA,0.504262,0,0.00498224,50680,,0.498689,NA,0.501311,0,0.00501729,50326,,0.496521,NA,0.503479,0,0.00503379,50161,,0.498289,NA,0.501711,0,0.00502448,50254,,0.503081,NA,0.496919,0,0.00497037,50801,,0.498766,NA,0.501234,0,0.00502628,50236,,0.496137,NA,0.503863,0,0.00496334,50873,,0.497742,NA,0.502258,0,0.00502278,50271,,0.500932,NA,0.499068,0,0.00500754,50424,,0.498534,NA,0.501466,0,0.00496881,50817,,0.501433,NA,0.498567,0,0.00498923,50609,,0.501331,NA,0.498669,0,0.00505273,49973,,0.500255,NA,0.499745,0,0.00495681,50940,,0.496643,NA,0.503357,0,0.00497096,50795,,0.498173,NA,0.501827,0,0.00498706,50631,,0.503615,NA,0.496385,0,0.00496071,50900,,0.498136,NA,0.501864,0,0.00500734,50426
1,,0.501158,NA,0.49862,0.000221573,0.00927586,49645,,0.501987,NA,0.497752,0.00026095,0.00932394,49818,,0.49985,NA,0.50001,0.000139975,0.00903837,50009,,0.49843,NA,0.501077,0.000493866,0.00926493,50621,,0.500189,NA,0.499513,0.000297909,0.00943377,50351,,0.499851,NA,0.49997,0.000178214,0.0104057,50501,,0.498858,NA,0.500963,0.000178767,0.00984209,50345,,0.503277,NA,0.496383,0.000340702,0.0087881,49897,,0.505955,NA,0.493886,0.000159318,0.00927032,50214,,0.498075,NA,0.50165,0.000274941,0.00919089,50920,,0.503977,NA,0.495623,0.000399728,0.00989327,50034,,0.502051,NA,0.497529,0.00042016,0.00944359,49981,,0.497555,NA,0.502105,0.000339274,0.0101583,50107,,0.499612,NA,0.50009,0.000298644,0.00954666,50227,,0.500962,NA,0.498737,0.000300758,0.00992501,49874,,0.496828,NA,0.502852,0.000320186,0.00941546,49971,,0.498901,NA,0.500802,0.000296989,0.00938484,50507,,0.504717,NA,0.494986,0.000297265,0.00994847,50460,,0.498647,NA,0.500952,0.00040081,0.00921862,49899,,0.4973,NA,0.502462,0.000238237,0.00906293,50370
2,,0.500212,NA,0.499184,0.000604461,0.0175394,49631,,0.498731,NA,0.500645,0.000624496,0.0175262,49640,,0.503027,NA,0.496376,0.000597348,0.0171837,50222,,0.504379,NA,0.495185,0.000435903,0.0170596,50470,,0.49795,NA,0.501493,0.000557414,0.0179467,50232,,0.497881,NA,0.501319,0.000799616,0.0189109,50024,,0.499731,NA,0.499531,0.000738449,0.0183614,50105,,0.500182,NA,0.499253,0.000565223,0.0162905,49538,,0.499431,NA,0.5,0.000568759,0.0177229,49230,,0.501033,NA,0.498529,0.000437202,0.0171006,50320,,0.49889,NA,0.500727,0.000383575,0.0180583,49534,,0.500736,NA,0.498517,0.000746314,0.018204,49577,,0.504605,NA,0.494737,0.000657921,0.0189601,50158,,0.5002,NA,0.499178,0.000621541,0.0175235,49876,,0.500312,NA,0.498944,0.000744512,0.0192969,49697,,0.50002,NA,0.499337,0.000642699,0.0177947,49790,,0.497005,NA,0.502459,0.000535481,0.017889,50422,,0.5,NA,0.49935,0.000649562,0.0182283,49264,,0.499032,NA,0.500329,0.000638684,0.0178832,50103,,0.500398,NA,0.499125,0.000477498,0.0163643,50262
3,,0.496595,NA,0.50232,0.00108479,0.0315294,49779,,0.497282,NA,0.501399,0.00131905,0.033296,50036,,0.500281,NA,0.498175,0.00154426,0.0306747,49862,,0.494495,NA,0.504388,0.00111696,0.030497,50136,,0.496295,NA,0.502067,0.00163774,0.0327548,50069,,0.497491,NA,0.501055,0.0014536,0.034309,50220,,0.500534,NA,0.498095,0.00137061,0.0349505,49613,,0.500719,NA,0.498043,0.00123792,0.0297999,50084,,0.499799,NA,0.498932,0.00126898,0.0334569,49646,,0.499289,NA,0.499549,0.00116216,0.032771,49907,,0.504717,NA,0.493958,0.00132508,0.0336906,50563,,0.501559,NA,0.497205,0.00123537,0.0341448,49378,,0.497762,NA,0.500921,0.0013164,0.0335581,49377,,0.500342,NA,0.498128,0.00152991,0.0325207,49676,,0.500061,NA,0.498504,0.00143527,0.0349418,49468,,0.495923,NA,0.502812,0.00126542,0.0324489,49786,,0.502053,NA,0.496811,0.001136,0.0320771,50176,,0.501147,NA,0.497284,0.00156935,0.0335399,49702,,0.499477,NA,0.499034,0.00148917,0.0327216,49692,,0.498585,NA,0.500279,0.00113582,0.0298302,50184
4,,0.50082,NA,0.496041,0.00313925,0.0572563,50012,,0.499049,NA,0.497868,0.0030824,0.061528,49961,,0.50189,NA,0.495685,0.00242547,0.0563618,49475,,0.500992,NA,0.495911,0.00309659,0.0562746,50378,,0.497776,NA,0.499651,0.00257254,0.0593678,50145,,0.496862,NA,0.49936,0.00377788,0.0620852,50028,,0.499216,NA,0.49769,0.00309398,0.0634166,49774,,0.498387,NA,0.498648,0.00296516,0.0549456,49913,,0.502286,NA,0.494586,0.00312801,0.0612668,49872,,0.498483,NA,0.497844,0.00367383,0.0602188,50084,,0.499837,NA,0.496622,0.0035409,0.0614672,49140,,0.500293,NA,0.49619,0.00351664,0.0610461,49479,,0.500169,NA,0.496373,0.0034578,0.0602134,50321,,0.500252,NA,0.496822,0.00292557,0.0594092,49563,,0.497589,NA,0.498217,0.00419385,0.0643158,49358,,0.498492,NA,0.498154,0.00335424,0.0585603,50384,,0.500302,NA,0.496454,0.00324414,0.0605102,49628,,0.501056,NA,0.495646,0.00329787,0.0600354,49729,,0.497254,NA,0.49997,0.00277649,0.0590005,49703,,0.49773,NA,0.49925,0.0030203,0.0543654,49995
5,,0.499126,NA,0.493555,0.00731886,0.101234,49188,,0.505244,NA,0.485898,0.00885793,0.10857,49673,,0.501008,NA,0.49143,0.00756201,0.103126,49590,,0.500536,NA,0.491319,0.00814553,0.100748,49475,,0.499565,NA,0.491844,0.00859054,0.10534,49473,,0.49909,NA,0.492048,0.00886266,0.111814,49985,,0.49924,NA,0.491456,0.00930412,0.115906,49333,,0.497555,NA,0.49505,0.00739543,0.0983633,49490,,0.499643,NA,0.490849,0.00950846,0.110061,49009,,0.498789,NA,0.492632,0.00857962,0.107286,49536,,0.49855,NA,0.492688,0.00876214,0.110237,49303,,0.496071,NA,0.49471,0.00921958,0.109366,49243,,0.501583,NA,0.490983,0.00743449,0.105962,48961,,0.499488,NA,0.492543,0.00796935,0.104984,48812,,0.500291,NA,0.490664,0.00904468,0.111471,49753,,0.498092,NA,0.493715,0.00819277,0.102088,49800,,0.498755,NA,0.493412,0.00783322,0.107226,49405,,0.50257,NA,0.48906,0.00836973,0.105343,49225,,0.503512,NA,0.488495,0.0079929,0.106168,49544,,0.500872,NA,0.492292,0.00683598,0.0967991,49298
6,,0.501676,NA,0.478786,0.0195381,0.17478,48930,,0.500501,NA,0.477117,0.0223821,0.185524,47940,,0.49518,NA,0.484511,0.020309,0.177899,48550,,0.498717,NA,0.483173,0.0181107,0.171306,48314,,0.502058,NA,0.477261,0.0206812,0.179017,48353,,0.502587,NA,0.474689,0.0227245,0.191064,48714,,0.496681,NA,0.479747,0.0235717,0.196173,48363,,0.506829,NA,0.474733,0.0184372,0.169781,48760,,0.499653,NA,0.477204,0.023143,0.190583,47617,,0.499598,NA,0.479052,0.0213503,0.18614,48477,,0.502827,NA,0.474188,0.0229852,0.190402,48466,,0.501173,NA,0.475928,0.0228984,0.1863,48999,,0.500981,NA,0.477409,0.0216093,0.1812,48405,,0.496278,NA,0.482255,0.0214665,0.179699,48634,,0.499896,NA,0.477147,0.0229578,0.189026,47914,,0.494558,NA,0.485864,0.0195775,0.175939,48423,,0.497833,NA,0.480412,0.0217557,0.185375,48677,,0.50278,NA,0.476632,0.0205877,0.178988,47844,,0.498887,NA,0.480085,0.0210279,0.184311,48079,,0.498541,NA,0.483761,0.0176986,0.167567,48309
7,,0.498909,NA,0.452156,0.0489349,0.282947,45816,,0.5,NA,0.450064,0.0499358,0.295276,45178,,0.504297,NA,0.447285,0.0484171,0.293083,46306,,0.497813,NA,0.455748,0.0464388,0.282514,46642,,0.499537,NA,0.452052,0.0484106,0.284754,45362,,0.502238,NA,0.443219,0.0545438,0.305319,45138,,0.500077,NA,0.443003,0.05692,0.311548,45643,,0.498016,NA,0.457518,0.0444658,0.274369,45878,,0.500531,NA,0.447185,0.0522847,0.303158,45214,,0.501071,NA,0.449784,0.0491456,0.296327,45762,,0.4973,NA,0.451085,0.0516142,0.302786,45007,,0.498806,NA,0.451638,0.0495564,0.294863,45645,,0.499156,NA,0.452363,0.0484815,0.287984,45605,,0.499978,NA,0.44859,0.051432,0.290491,46158,,0.497279,NA,0.45119,0.0515319,0.299085,45564,,0.494742,NA,0.457666,0.0475924,0.282264,46499,,0.498814,NA,0.449072,0.0521139,0.297365,45957,,0.505584,NA,0.446253,0.0481624,0.288634,45575,,0.50068,NA,0.44859,0.0507304,0.293427,45594,,0.498755,NA,0.457904,0.0433411,0.271016,46584
8,,0.501747,NA,0.400743,0.0975094,0.419497,40632,,0.499268,NA,0.393101,0.107631,0.437399,40295,,0.497664,NA,0.397624,0.104712,0.436049,40234,,0.500747,NA,0.400207,0.0990459,0.423023,41506,,0.502955,NA,0.400257,0.0967878,0.419335,40439,,0.501084,NA,0.390952,0.107964,0.443989,39189,,0.498794,NA,0.391255,0.109951,0.44709,38972,,0.502108,NA,0.403552,0.0943401,0.411775,41043,,0.503065,NA,0.389814,0.107121,0.448034,40132,,0.500262,NA,0.394008,0.10573,0.437564,40121,,0.497959,NA,0.390277,0.111764,0.449569,40174,,0.501427,NA,0.390949,0.107624,0.441462,40307,,0.497634,NA,0.401665,0.100701,0.42837,40367,,0.498211,NA,0.404061,0.0977277,0.423392,40531,,0.496895,NA,0.391062,0.112043,0.445141,40413,,0.497342,NA,0.406716,0.0959414,0.413231,40827,,0.499492,NA,0.394154,0.106354,0.439683,40337,,0.497627,NA,0.401743,0.10063,0.427572,39819,,0.497601,NA,0.396926,0.105474,0.433867,40010,,0.498336,NA,0.40988,0.0917841,0.404188,41456
9,,0.504633,NA,0.328422,0.166945,0.561499,31082,,0.497206,NA,0.319485,0.183309,0.58725,30424,,0.49827,NA,0.320766,0.180964,0.585602,30636,,0.501164,NA,0.32396,0.174876,0.571816,31365,,0.50546,NA,0.324497,0.170044,0.567222,31686,,0.50121,NA,0.311831,0.186959,0.591076,30167,,0.499628,NA,0.307216,0.193156,0.5993,29572,,0.498551,NA,0.340023,0.161426,0.554645,32089,,0.49578,NA,0.313784,0.190436,0.595386,29737,,0.497604,NA,0.31826,0.184136,0.587308,30673,,0.500423,NA,0.309412,0.190165,0.599412,29569,,0.50272,NA,0.31518,0.1821,0.587713,29967,,0.501515,NA,0.32363,0.174855,0.574903,31020,,0.496917,NA,0.323289,0.179794,0.578825,31792,,0.498752,NA,0.324307,0.176941,0.576802,29654,,0.494604,NA,0.334888,0.170508,0.561584,32151,,0.497104,NA,0.319751,0.183145,0.584039,29867,,0.503079,NA,0.322013,0.174909,0.576454,31182,,0.499529,NA,0.319278,0.181193,0.577775,30807,,0.503539,NA,0.337289,0.159171,0.546482,32776
