Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
0,,0.50715,0,0.49285,NA,0.00504294,50070,,0.505938,0,0.494062,NA,0.00498963,50605,,0.506516,0,0.493484,NA,0.00505455,49955,,0.508107,0,0.491893,NA,0.00495623,50946,,0.504325,0,0.495675,NA,0.00499812,50519,,0.507015,0,0.492985,NA,0.00501042,50395,,0.503073,0,0.496927,NA,0.00497419,50762,,0.50473,0,0.49527,NA,0.00498706,50631,,0.506396,0,0.493604,NA,0.00502298,50269,,0.506794,0,0.493206,NA,0.00496529,50853,,0.506759,0,0.493241,NA,0.0049611,50896,,0.502664,0,0.497336,NA,0.00494652,51046,,0.506451,0,0.493549,NA,0.00493608,51154,,0.501444,0,0.498556,NA,0.00499585,50542,,0.508093,0,0.491907,NA,0.00495993,50908,,0.506387,0,0.493613,NA,0.00498529,50649,,0.506917,0,0.493083,NA,0.00496168,50890,,0.506878,0,0.493122,NA,0.00504879,50012,,0.506748,0,0.493252,NA,0.00501171,50382,,0.506873,0,0.493127,NA,0.00498657,50636
1,,0.500784,0,0.499216,NA,0.00912754,49137,,0.501385,0,0.498615,NA,0.00932319,49822,,0.495551,0,0.504449,NA,0.0101067,49670,,0.503725,0,0.496275,NA,0.00969714,49396,,0.501182,0,0.498818,NA,0.00905594,49912,,0.498958,0,0.501042,NA,0.00975184,49888,,0.500161,0,0.499839,NA,0.00886468,49748,,0.499231,0,0.500769,NA,0.0101239,49388,,0.499552,0,0.500448,NA,0.00943223,49140,,0.497684,0,0.502316,NA,0.00938568,49437,,0.50004,0,0.49996,NA,0.00931922,49414,,0.495362,0,0.504638,NA,0.00966294,50347,,0.501048,0,0.498952,NA,0.00941153,49620,,0.502291,0,0.497709,NA,0.00927638,49750,,0.502818,0,0.497182,NA,0.00864921,48964,,0.498099,0,0.501901,NA,0.00976906,48930,,0.502857,0,0.497143,NA,0.00950025,49525,,0.496551,0,0.503449,NA,0.00953778,49435,,0.495891,0,0.504109,NA,0.0093572,49160,,0.499303,0,0.500697,NA,0.00897169,49489
2,,0.493378,0.00440104,0.502221,NA,0.0133036,49761,,0.492931,0.00465867,0.50241,NA,0.0134315,49585,,0.49664,0.00421015,0.49915,NA,0.017058,50592,,0.49557,0.00413617,0.500294,NA,0.013767,49321,,0.495351,0.00411671,0.500532,NA,0.0129225,49797,,0.498632,0.00399417,0.497374,NA,0.0141194,50073,,0.492698,0.0044968,0.502806,NA,0.0141371,50258,,0.49416,0.00450784,0.501332,NA,0.0142949,49913,,0.496381,0.00395401,0.499665,NA,0.0137681,49317,,0.493729,0.00455344,0.501718,NA,0.0139699,50072,,0.496297,0.00419254,0.499511,NA,0.0138454,50089,,0.496226,0.00419746,0.499576,NA,0.0152232,50745,,0.496327,0.00429564,0.499378,NA,0.0135393,49818,,0.496624,0.00418006,0.499196,NA,0.0132637,49760,,0.496917,0.00413709,0.498945,NA,0.0135165,49310,,0.493285,0.00501639,0.501699,NA,0.0139799,50036,,0.495527,0.00514604,0.499327,NA,0.0135687,49747,,0.495872,0.00467466,0.499453,NA,0.0134073,50271,,0.495993,0.00396699,0.50004,NA,0.0142613,50416,,0.49678,0.00372859,0.499492,NA,0.0137679,50153
3,,0.494017,0.00574205,0.500241,NA,0.019796,49808,,0.495616,0.00622273,0.498161,NA,0.0188096,49496,,0.494388,0.00783693,0.497775,NA,0.0238716,49892,,0.49329,0.00630063,0.500409,NA,0.0199554,48884,,0.490721,0.00533414,0.503945,NA,0.0183551,49305,,0.496162,0.00653966,0.497299,NA,0.0198932,49238,,0.492185,0.00546961,0.502346,NA,0.0204711,50095,,0.494917,0.00634895,0.498734,NA,0.0202825,49772,,0.492944,0.00628982,0.500766,NA,0.0200085,49604,,0.49267,0.00624598,0.501085,NA,0.0200735,49792,,0.497752,0.00635808,0.49589,NA,0.0209979,49386,,0.492181,0.00653766,0.501281,NA,0.0223975,49559,,0.497301,0.00618694,0.496512,NA,0.0209264,49459,,0.493845,0.00652041,0.499634,NA,0.0189925,49230,,0.494302,0.00648331,0.499215,NA,0.0203878,49049,,0.492187,0.00559395,0.502219,NA,0.0210989,49339,,0.494744,0.00633168,0.498924,NA,0.0190762,49276,,0.493945,0.00674094,0.499314,NA,0.0184468,49548,,0.492114,0.00607897,0.501808,NA,0.0204887,49515,,0.492736,0.00558164,0.501683,NA,0.0190219,49627
4,,0.4899,0.00879588,0.501304,NA,0.0279143,49455,,0.48951,0.00842015,0.502069,NA,0.026708,49049,,0.488238,0.0112357,0.500527,NA,0.0354731,48417,,0.490631,0.00921706,0.500152,NA,0.0295857,49365,,0.491145,0.00823926,0.500616,NA,0.0271815,49519,,0.489884,0.00894008,0.501176,NA,0.0302878,48881,,0.488886,0.00995924,0.501155,NA,0.0294059,49803,,0.490355,0.00940945,0.500235,NA,0.0296296,48887,,0.485184,0.00905959,0.505756,NA,0.0286684,49340,,0.491502,0.00929126,0.499207,NA,0.0295308,49186,,0.489384,0.00921293,0.501403,NA,0.0296726,49170,,0.488303,0.00995085,0.501746,NA,0.032452,49242,,0.48997,0.00868734,0.501343,NA,0.0297038,49152,,0.49114,0.00951292,0.499347,NA,0.0266505,48986,,0.484568,0.00955792,0.505874,NA,0.0302292,48860,,0.489526,0.00993031,0.500544,NA,0.0296399,49646,,0.49155,0.00784107,0.500609,NA,0.0282258,49228,,0.490933,0.0081454,0.500922,NA,0.0287824,49353,,0.493194,0.0091287,0.497677,NA,0.0291385,49076,,0.49493,0.00777062,0.497299,NA,0.0283316,49803
5,,0.48687,0.0130585,0.500072,NA,0.0401682,48857,,0.488235,0.0126264,0.499139,NA,0.0399161,49341,,0.485891,0.0159166,0.498192,NA,0.0524664,48126,,0.487021,0.013318,0.499661,NA,0.0430424,48731,,0.487488,0.0129299,0.499583,NA,0.038413,49111,,0.486463,0.0133835,0.500153,NA,0.0433379,48941,,0.489945,0.0131502,0.496905,NA,0.0437222,49277,,0.485096,0.0142072,0.500697,NA,0.043493,48778,,0.48115,0.0121971,0.506653,NA,0.0408149,49602,,0.487803,0.013842,0.498355,NA,0.0419889,48620,,0.484499,0.0142379,0.501264,NA,0.0420254,48673,,0.48331,0.0151117,0.501578,NA,0.0473819,49101,,0.489153,0.0143133,0.496533,NA,0.0432144,49185,,0.486578,0.0116253,0.501797,NA,0.0391172,48687,,0.480545,0.0142639,0.505192,NA,0.0449964,49215,,0.490837,0.0121629,0.497,NA,0.0433278,48837,,0.486572,0.0127857,0.500642,NA,0.041049,49039,,0.486428,0.0131131,0.500459,NA,0.0422147,49035,,0.48811,0.0131838,0.498706,NA,0.0420466,48696,,0.486391,0.0133822,0.500226,NA,0.0414333,48572
6,,0.485704,0.0182061,0.49609,NA,0.061688,47951,,0.478741,0.0178231,0.503436,NA,0.0571955,48308,,0.477896,0.0232056,0.498898,NA,0.0750509,47661,,0.482776,0.0194952,0.497729,NA,0.0618247,48217,,0.484391,0.017385,0.498224,NA,0.0554159,48145,,0.479912,0.0205243,0.499564,NA,0.0650214,48138,,0.482979,0.0203255,0.496695,NA,0.0651388,48412,,0.477234,0.020112,0.502654,NA,0.0622953,48230,,0.47909,0.0191538,0.501756,NA,0.0558891,48972,,0.482328,0.0172282,0.500444,NA,0.0601543,48467,,0.480405,0.0182738,0.501321,NA,0.0607578,48430,,0.478952,0.0218687,0.49918,NA,0.0687421,48151,,0.484499,0.0193582,0.496143,NA,0.0617226,47835,,0.482156,0.0179781,0.499866,NA,0.0577854,48559,,0.481779,0.0194507,0.49877,NA,0.0651465,48790,,0.483368,0.0191759,0.497456,NA,0.0638368,48342,,0.481283,0.0182107,0.500506,NA,0.0581938,48433,,0.479998,0.0188336,0.501168,NA,0.062,48371,,0.482396,0.0193798,0.498224,NA,0.0631037,48143,,0.484664,0.0182783,0.497057,NA,0.060969,48254
7,,0.471894,0.02854,0.499566,NA,0.0909091,47267,,0.475781,0.0250214,0.499197,NA,0.0842073,47959,,0.46685,0.0321054,0.501045,NA,0.110013,46908,,0.475113,0.0262359,0.498651,NA,0.0900556,47454,,0.47278,0.0241815,0.503038,NA,0.0815127,47557,,0.471819,0.0288559,0.499325,NA,0.0937711,47408,,0.473245,0.0294248,0.49733,NA,0.0966755,47375,,0.470053,0.0280068,0.501941,NA,0.0911427,47667,,0.47141,0.0264535,0.502137,NA,0.0798191,47971,,0.474996,0.025574,0.49943,NA,0.085983,48213,,0.469861,0.028863,0.501276,NA,0.0891189,47431,,0.46991,0.03028,0.49981,NA,0.0996363,47292,,0.469394,0.0269525,0.503653,NA,0.088122,47491,,0.477015,0.0249051,0.49808,NA,0.081146,47661,,0.472537,0.0278925,0.49957,NA,0.0919825,47683,,0.47085,0.0287703,0.50038,NA,0.0893061,47410,,0.473648,0.0258513,0.500501,NA,0.0859831,47928,,0.470235,0.0283367,0.501428,NA,0.0906191,47959,,0.473295,0.0271883,0.499517,NA,0.091335,47594,,0.473768,0.0276375,0.498595,NA,0.0890295,47327
8,,0.462127,0.0376155,0.500258,NA,0.129141,46550,,0.460472,0.0375563,0.501972,NA,0.120857,46650,,0.451425,0.0472977,0.501277,NA,0.159253,45795,,0.458097,0.0393911,0.502512,NA,0.131401,46381,,0.465713,0.0365075,0.497779,NA,0.117116,47278,,0.459957,0.0396861,0.500357,NA,0.132622,46263,,0.460907,0.0422282,0.496864,NA,0.140909,46083,,0.457346,0.0392355,0.503418,NA,0.133992,46514,,0.460842,0.0358485,0.503309,NA,0.115755,46836,,0.46194,0.0375784,0.500481,NA,0.125019,46729,,0.463972,0.0386535,0.497375,NA,0.127844,46283,,0.458514,0.0422581,0.499228,NA,0.142307,46642,,0.461173,0.0394403,0.499387,NA,0.127843,47312,,0.457249,0.0351979,0.507553,NA,0.116265,46338,,0.461397,0.040372,0.498231,NA,0.130265,46344,,0.462188,0.0398705,0.497941,NA,0.129048,46626,,0.460716,0.0381125,0.501172,NA,0.124329,46940,,0.463705,0.0387557,0.497539,NA,0.127826,46935,,0.4591,0.0387415,0.502158,NA,0.13173,46565,,0.46465,0.0402711,0.495079,NA,0.130698,46336
9,,0.445719,0.0537625,0.500518,NA,0.18026,45329,,0.444887,0.051138,0.503975,NA,0.174115,45915,,0.430746,0.0677163,0.501538,NA,0.229636,43889,,0.441975,0.0561783,0.501846,NA,0.186646,45498,,0.446331,0.0512363,0.502433,NA,0.170366,45417,,0.44633,0.0578069,0.495863,NA,0.187945,44960,,0.443533,0.0598918,0.496575,NA,0.196192,44380,,0.436337,0.0584684,0.505195,NA,0.194282,45717,,0.452358,0.0503569,0.497285,NA,0.166988,45674,,0.445037,0.0534656,0.501497,NA,0.179348,45749,,0.441235,0.0547087,0.504056,NA,0.182455,44874,,0.439388,0.0610274,0.499584,NA,0.200209,44521,,0.445332,0.0559626,0.498705,NA,0.182742,45173,,0.452399,0.0478383,0.499762,NA,0.164808,46260,,0.443359,0.0568306,0.499811,NA,0.185161,44923,,0.44247,0.0546427,0.502887,NA,0.18183,44855,,0.443954,0.0517241,0.504321,NA,0.178896,44892,,0.444437,0.0541861,0.501377,NA,0.182323,45030,,0.441409,0.0579878,0.500603,NA,0.188695,44768,,0.444719,0.054806,0.500475,NA,0.181388,45287
