Generation,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size
0,,0.494021,0.00990002,0.496079,NA,0.019646,51010,,0.495347,0.00989323,0.49476,NA,0.0195812,51045,,0.498369,0.00998596,0.491645,NA,0.0196437,50571,,0.496829,0.0100404,0.493131,NA,0.0198086,50297,,0.492935,0.00992434,0.497141,NA,0.0197358,50885,,0.491672,0.00995368,0.498374,NA,0.0198428,50735,,0.492511,0.0100188,0.49747,NA,0.0199368,50405,,0.492393,0.00997787,0.497629,NA,0.0198616,50612,,0.495248,0.00989672,0.494856,NA,0.0195919,51027,,0.497048,0.00990604,0.493046,NA,0.0195403,50979,,0.496261,0.00999169,0.493748,NA,0.0197366,50542,,0.492325,0.0101198,0.497555,NA,0.0201412,49902,,0.493885,0.0100097,0.496105,NA,0.0198647,50451,,0.49725,0.0100264,0.492723,NA,0.0197652,50367,,0.49594,0.0100008,0.494059,NA,0.0197667,50496,,0.49616,0.0100732,0.493767,NA,0.0198983,50133,,0.49434,0.0100294,0.495631,NA,0.019885,50352,,0.496565,0.0100867,0.493349,NA,0.0199085,50066,,0.494431,0.010045,0.495525,NA,0.0199117,50274,,0.494018,0.0100036,0.495979,NA,0.0198475,50482
1,,0.493862,0.0173168,0.488822,NA,0.0338762,49605,,0.489058,0.0188146,0.492127,NA,0.0370458,49855,,0.489368,0.0187395,0.491892,NA,0.036881,49521,,0.488471,0.0195719,0.491958,NA,0.0385241,49612,,0.49411,0.0181404,0.48775,NA,0.0354131,49999,,0.491537,0.0188868,0.489576,NA,0.0370022,49982,,0.490176,0.0179369,0.491887,NA,0.0353011,49674,,0.489744,0.0189625,0.491294,NA,0.0372759,49677,,0.489476,0.0185354,0.491988,NA,0.0364862,49365,,0.491286,0.0172476,0.491467,NA,0.0339164,49688,,0.491764,0.0191369,0.489099,NA,0.0374572,49172,,0.491675,0.0187448,0.489581,NA,0.0367243,49187,,0.494623,0.0171837,0.488194,NA,0.0335746,49931,,0.489789,0.0187543,0.491457,NA,0.0368785,49162,,0.488609,0.0197752,0.491616,NA,0.0388982,49557,,0.487134,0.0184178,0.494448,NA,0.036431,49083,,0.489164,0.0199161,0.49092,NA,0.0391216,49558,,0.49639,0.018276,0.485334,NA,0.0355105,49026,,0.48867,0.0195557,0.491774,NA,0.0384784,49295,,0.494756,0.0191883,0.486056,NA,0.0373353,49770
2,,0.48192,0.0328703,0.485209,NA,0.0638517,48950,,0.486755,0.0323862,0.480859,NA,0.0623842,48848,,0.482523,0.0323791,0.485098,NA,0.0628839,49322,,0.482443,0.0345294,0.483028,NA,0.0667916,49552,,0.481776,0.0344828,0.483741,NA,0.0667935,48865,,0.484077,0.0327236,0.483199,NA,0.0633196,48986,,0.484002,0.0335671,0.482431,NA,0.0648552,49632,,0.48604,0.0359143,0.478046,NA,0.0688073,49284,,0.48218,0.0351938,0.482626,NA,0.068024,49270,,0.485461,0.0305233,0.484015,NA,0.0591555,49110,,0.481717,0.0345195,0.483764,NA,0.0668676,48842,,0.478498,0.0366499,0.484852,NA,0.0711444,48786,,0.483735,0.0355333,0.480732,NA,0.0684295,48940,,0.482041,0.0335362,0.484422,NA,0.0650458,49141,,0.479119,0.0373151,0.483566,NA,0.0722554,49015,,0.483565,0.0343669,0.482068,NA,0.066354,49408,,0.479341,0.0364046,0.484255,NA,0.0705864,48840,,0.482027,0.0340269,0.483946,NA,0.0659367,47962,,0.483515,0.0352936,0.481192,NA,0.0680283,49074,,0.476519,0.037418,0.486063,NA,0.0728066,48613
3,,0.473313,0.0603161,0.46637,NA,0.11303,48395,,0.468795,0.0590158,0.472189,NA,0.111813,48021,,0.468257,0.0560012,0.475742,NA,0.10682,48499,,0.464778,0.0650756,0.470146,NA,0.122818,48436,,0.467769,0.0650013,0.46723,NA,0.122006,48199,,0.469626,0.0602047,0.470169,NA,0.11363,47870,,0.466826,0.0615625,0.471611,NA,0.11651,48065,,0.46344,0.0646514,0.471909,NA,0.122425,47702,,0.470015,0.0637771,0.466207,NA,0.119479,48058,,0.47425,0.0558775,0.469873,NA,0.105404,48660,,0.468923,0.064964,0.466113,NA,0.121681,48042,,0.462966,0.0684364,0.468597,NA,0.128784,48483,,0.470107,0.060727,0.469166,NA,0.114399,47870,,0.469297,0.0597305,0.470973,NA,0.112906,48317,,0.464957,0.0662186,0.468824,NA,0.124664,48355,,0.473056,0.0620215,0.464922,NA,0.115911,48193,,0.467638,0.0693121,0.463049,NA,0.129085,48159,,0.466572,0.0629458,0.470482,NA,0.118874,48089,,0.467215,0.061428,0.471357,NA,0.116199,48040,,0.465307,0.0711292,0.463564,NA,0.132596,48194
4,,0.449277,0.103998,0.446725,NA,0.187968,46626,,0.447319,0.106601,0.44608,NA,0.192449,46810,,0.449807,0.101483,0.44871,NA,0.184083,47407,,0.435648,0.113167,0.451185,NA,0.206203,46471,,0.445491,0.116159,0.43835,NA,0.206817,46488,,0.444776,0.107317,0.447907,NA,0.194383,46302,,0.441457,0.111832,0.446711,NA,0.202122,47008,,0.439509,0.117361,0.443129,NA,0.210752,46966,,0.443749,0.112179,0.444072,NA,0.201786,46524,,0.451132,0.0981415,0.450727,NA,0.178675,46973,,0.441646,0.117569,0.440786,NA,0.210239,46492,,0.43856,0.123605,0.437835,NA,0.219873,46867,,0.445752,0.107764,0.446484,NA,0.19469,46472,,0.446034,0.105706,0.44826,NA,0.191587,46705,,0.442439,0.116305,0.441256,NA,0.208154,46490,,0.447308,0.106641,0.44605,NA,0.192511,46089,,0.437936,0.121488,0.440577,NA,0.217166,46194,,0.444818,0.113,0.442182,NA,0.202574,46655,,0.45153,0.104553,0.443918,NA,0.188016,47029,,0.435354,0.128509,0.436136,NA,0.227909,46020
5,,0.41223,0.175494,0.412276,NA,0.2986,43990,,0.405376,0.187881,0.406742,NA,0.316694,43932,,0.414397,0.165178,0.420425,NA,0.284999,44455,,0.399897,0.196995,0.403108,NA,0.330035,44529,,0.403918,0.194972,0.40111,NA,0.325555,43078,,0.407177,0.18104,0.411783,NA,0.307778,44504,,0.403338,0.187557,0.409105,NA,0.317411,44216,,0.406889,0.199087,0.394023,NA,0.32854,43604,,0.400285,0.19195,0.407765,NA,0.324111,43454,,0.413898,0.167892,0.41821,NA,0.288578,44755,,0.39868,0.196271,0.405049,NA,0.329894,43333,,0.394905,0.208216,0.396879,NA,0.34523,43575,,0.409398,0.183569,0.407033,NA,0.309577,44392,,0.404122,0.186853,0.409025,NA,0.316178,44254,,0.402749,0.192923,0.404327,NA,0.323875,43722,,0.41066,0.18024,0.4091,NA,0.305026,43603,,0.393865,0.206906,0.399229,NA,0.344401,43817,,0.406771,0.19215,0.401079,NA,0.320827,43747,,0.405669,0.180323,0.414008,NA,0.307722,43888,,0.390797,0.215003,0.3942,NA,0.354908,43204
6,,0.362536,0.279503,0.357961,NA,0.435336,40225,,0.34976,0.302013,0.348227,NA,0.463371,39793,,0.364356,0.2708,0.364844,NA,0.426352,40938,,0.342101,0.313197,0.344701,NA,0.477946,39614,,0.341265,0.313738,0.344997,NA,0.478987,38580,,0.347422,0.301288,0.351289,NA,0.464442,40599,,0.342093,0.307212,0.350695,NA,0.47314,40223,,0.345371,0.315895,0.338734,NA,0.477712,38573,,0.342882,0.319618,0.3375,NA,0.482442,39760,,0.364858,0.270067,0.365075,NA,0.425353,41386,,0.344675,0.313688,0.341637,NA,0.476467,39501,,0.333805,0.328816,0.337379,NA,0.496236,38891,,0.349635,0.292221,0.358144,NA,0.455276,39956,,0.347004,0.300793,0.352202,NA,0.464332,40207,,0.349319,0.30384,0.346841,NA,0.465186,39557,,0.3574,0.29112,0.35148,NA,0.448899,39695,,0.338787,0.325544,0.335669,NA,0.490033,38812,,0.34847,0.307923,0.343607,NA,0.469114,39682,,0.35335,0.294193,0.352457,NA,0.454323,40334,,0.325853,0.343252,0.330895,NA,0.513002,38680
7,,0.283873,0.424147,0.29198,NA,0.599061,34290,,0.272332,0.447418,0.28025,NA,0.621629,33595,,0.292231,0.412151,0.295618,NA,0.585124,35140,,0.273379,0.450924,0.275697,NA,0.622563,33214,,0.264423,0.462044,0.273533,NA,0.636015,32709,,0.273452,0.448915,0.277632,NA,0.62145,33973,,0.273357,0.453495,0.273148,NA,0.623917,33491,,0.268132,0.457596,0.274272,NA,0.630533,32249,,0.266069,0.46712,0.266811,NA,0.637107,32345,,0.295524,0.404947,0.299529,NA,0.578107,35212,,0.266452,0.460924,0.272624,NA,0.633681,32565,,0.258939,0.475021,0.26604,NA,0.647203,32247,,0.281714,0.431381,0.286905,NA,0.604942,34677,,0.2768,0.446311,0.276889,NA,0.61721,33750,,0.271599,0.447135,0.281266,NA,0.622114,33207,,0.285956,0.430817,0.283228,NA,0.601051,33722,,0.261846,0.470782,0.267373,NA,0.642594,32206,,0.275482,0.452847,0.271672,NA,0.621762,32808,,0.284695,0.428222,0.287083,NA,0.600661,33931,,0.249159,0.496382,0.254459,NA,0.665801,31510
8,,0.20112,0.590911,0.20797,NA,0.746071,27153,,0.191507,0.610996,0.197497,NA,0.761363,26046,,0.212926,0.569498,0.217576,NA,0.727864,27526,,0.193242,0.611338,0.19542,NA,0.759822,25719,,0.191645,0.610434,0.197921,NA,0.761065,25015,,0.194487,0.601966,0.203547,NA,0.755808,25940,,0.197067,0.60483,0.198103,NA,0.754249,25093,,0.191904,0.604706,0.20339,NA,0.759099,25075,,0.192609,0.62175,0.185641,NA,0.763484,24542,,0.218096,0.55894,0.222965,NA,0.719323,28139,,0.189975,0.609249,0.200776,NA,0.7623,24998,,0.189006,0.620506,0.190488,NA,0.766519,24285,,0.199497,0.592746,0.207758,NA,0.748187,26632,,0.194167,0.606533,0.1993,NA,0.757504,25715,,0.191871,0.603275,0.204855,NA,0.758698,25955,,0.205298,0.58378,0.210922,NA,0.739826,26313,,0.178125,0.638662,0.183213,NA,0.78192,24567,,0.194968,0.602608,0.202424,NA,0.755549,25081,,0.208185,0.583781,0.208034,NA,0.737129,26611,,0.173891,0.651788,0.174322,NA,0.789397,23187
9,,0.12676,0.741495,0.131745,NA,0.854006,18255,,0.123292,0.743343,0.133364,NA,0.857734,17276,,0.136823,0.717077,0.1461,NA,0.839767,19295,,0.121598,0.746539,0.131863,NA,0.859932,17048,,0.125634,0.738121,0.136246,NA,0.854549,16962,,0.130457,0.7323,0.137243,NA,0.848791,17684,,0.133188,0.723745,0.143067,NA,0.844576,17006,,0.128262,0.733939,0.137799,NA,0.851239,17511,,0.12173,0.745887,0.132384,NA,0.859696,15863,,0.141705,0.712532,0.145763,NA,0.834115,19717,,0.118605,0.75866,0.122735,NA,0.864801,17436,,0.11541,0.760339,0.124251,NA,0.868215,16515,,0.133307,0.722336,0.144356,NA,0.844202,18011,,0.123856,0.744586,0.131558,NA,0.857381,17270,,0.129298,0.730776,0.139926,NA,0.849666,17595,,0.143437,0.710003,0.146561,NA,0.831931,18245,,0.09989,0.787475,0.112635,NA,0.887431,15457,,0.125525,0.743175,0.1313,NA,0.855503,17144,,0.144503,0.704553,0.150944,NA,0.829808,18318,,0.10989,0.771756,0.118354,NA,0.875358,14651
