,R1 Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase,ResWithChase,ResWithoutChase
1,0,1,255,1,23,0.07313411,0.001621431,0.038345957,0.000513945,7228.752212,27617785.21,230,0,10000,0,10000,0,10000,0,10000,0,0,0,0
2,0,1,119,1,22,0.052615908,0.002071161,0.023546261,0.000169204,10157.5,40874053.65,94,0,10000,0,10000,0,10000,0,10000,0,0,0,0
3,0,1,289,1,23,0.061097424,0.003013233,0.030166469,0.000670459,10878.79923,80373927.84,263,0,10000,0,10000,0,10000,0,10000,0,0,0,0
4,0,1,192,1,22,0.065965315,0.001791849,0.03014207,0.000392529,8390.695122,24487613.8,168,0,10000,0,10000,0,10000,0,10000,0,0,0,0
5,0,0,10000,1,23,0.054477236,0.001592581,0.026744326,0.000384376,13208.90323,137852844.4,159,1,182,0,10000,0,10000,0,10000,1,0,0,0
6,0,1,369,1,23,0.072488045,0.003116612,0.040956109,0.001699642,10936.27059,90255278.28,344,0,10000,0,10000,0,10000,0,10000,0,0,0,0
7,0,1,917,1,20,0.070734013,0.003854218,0.036116528,0.001221669,8873.74382,47950397.57,894,0,10000,0,10000,0,10000,0,10000,0,0,0,0
8,0,1,104,1,20,0.068456078,0.002343787,0.037117092,0.001260318,7310.25974,16170543.8,81,0,10000,0,10000,0,10000,0,10000,0,0,0,0
9,0,0,10000,1,23,0.063856777,0.002096524,0.031300261,0.000706444,11468.84949,79607343.65,396,1,419,0,10000,0,10000,0,10000,1,0,0,0
10,0,1,340,1,23,0.079257973,0.005207989,0.042045725,0.00183576,11272.29355,94579420.62,314,0,10000,0,10000,0,10000,0,10000,0,0,0,0
11,0,1,326,1,23,0.077223917,0.002495822,0.040392787,0.000920733,8343.074074,41999343.54,301,0,10000,0,10000,0,10000,0,10000,0,0,0,0
12,0,1,221,1,21,0.050158122,0.001055381,0.024104175,0.00023538,13280.26667,83066475.24,199,0,10000,0,10000,0,10000,0,10000,0,0,0,0
13,0,1,155,1,23,0.080595315,0.010822846,0.043198634,0.003414764,11837.816,80186382.21,129,0,10000,0,10000,0,10000,0,10000,0,0,0,0
14,0,1,909,1,20,0.063896422,0.002331194,0.031609423,0.000852277,10052.42809,56984934.28,887,0,10000,0,10000,0,10000,0,10000,0,0,0,0
15,0,0,10000,1,21,0.062871714,0.001459904,0.029658526,0.000363544,9657.008493,38376648.38,475,1,496,0,10000,0,10000,0,10000,1,0,0,0
16,0,0,10000,1,23,0.071420587,0.001901637,0.036927542,0.000703373,9187.990164,60170527.51,309,1,332,0,10000,0,10000,0,10000,1,0,0,0
17,0,1,331,1,24,0.058320343,0.001911784,0.030528961,0.000627202,8796.72,44961145.37,304,0,10000,0,10000,0,10000,0,10000,0,0,0,0
18,0,1,331,1,20,0.085973655,0.004068123,0.044911001,0.001409824,8124.417763,36547302.74,308,0,10000,0,10000,0,10000,0,10000,0,0,0,0
19,0,1,418,1,24,0.064017085,0.007029218,0.031885618,0.002874767,10701.25581,87286490.73,391,0,10000,0,10000,0,10000,0,10000,0,0,0,0
20,0,1,125,1,22,0.0605504,0.001129229,0.028233647,0.000273321,10479.02062,34315876.66,101,0,10000,0,10000,0,10000,0,10000,0,0,0,0
21,0,1,126,1,21,0.064646454,0.001258351,0.031645199,0.000391537,10261.77551,46902851.19,102,0,10000,0,10000,0,10000,0,10000,0,0,0,0
22,0,1,610,1,25,0.064196965,0.002107085,0.032466277,0.000703468,10542.14162,59737059.31,583,0,10000,0,10000,0,10000,0,10000,0,0,0,0
23,0,1,92,1,23,0.066122192,0.001200936,0.035955216,0.000571415,7822.793651,42616567.62,67,0,10000,0,10000,0,10000,0,10000,0,0,0,0
24,0,1,359,1,21,0.066507121,0.003609219,0.032914227,0.000720201,8844.683735,28274965.63,336,0,10000,0,10000,0,10000,0,10000,0,0,0,0
25,0,1,115,1,23,0.05856432,0.000718092,0.02876931,0.000181528,6897.209302,9016164.979,90,0,10000,0,10000,0,10000,0,10000,0,0,0,0
