"","R1 Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase","ResWithChase","ResWithoutChase"
"1",0,1,41,1,28,0.3576365,0.004490291,0.262520833,0.001616258,561.8333333,33339.13889,10,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"2",0,1,30,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"3",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"4",0,1,231,1,23,0.08005607,0.005063528,0.036119996,0.001693043,6731.89604,16313799.57,207,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"5",0,1,357,1,23,0.082888882,0.005798284,0.038562601,0.001593872,6694.610942,15786863.46,333,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"6",0,1,219,1,25,0.064561605,0.003325494,0.02564161,0.00087803,10875.37433,60180428.76,191,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"7",0,1,366,1,23,0.070021229,0.003005901,0.030117804,0.001282865,8115.369822,21358182.53,342,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"8",0,1,56,1,28,0.146892495,0.008946384,0.083644523,0.003058136,3331.727273,3481385.289,27,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"9",0,1,131,1,27,0.094389628,0.00112373,0.040966236,0.00017719,4813.938776,3140071.527,102,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"10",0,1,38,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"11",0,1,167,1,26,0.083690118,0.002890107,0.04091248,0.000813969,8276.820896,48862919.43,138,0,10000,0,10000,0,10000,0,10000,0,0,0,0
