"","Low-Density Growth Rate","Migration Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"1",2,0.01,1,77,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"2",2,0.01,1,77,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"3",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,81,0,10000,0,10000,0,10000,0,1
"4",2,0.01,1,76,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"5",2,0.01,1,79,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"6",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,77,0,10000,0,10000,0,10000,0,1
"7",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,81,0,10000,0,10000,0,10000,0,1
"8",2,0.01,1,78,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"9",2,0.01,1,81,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"10",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,82,0,10000,0,10000,0,10000,0,1
"11",2,0.01,0,10000,1,75,0.2078475,7e-05,0.2030305,3.05e-05,2162.5,2.25,6,1,81,0,10000,0,10000,0,10000,1,0
"12",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,77,0,10000,0,10000,0,10000,0,1
"13",2,0.01,1,78,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"14",2,0.01,1,88,1,74,0.855520625,0.027277596,0.825312625,0.053064989,43.125,132.109375,12,0,10000,0,10000,0,10000,0,10000,0,0
"15",2,0.01,1,79,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"16",2,0.01,1,78,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"17",2,0.01,1,81,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"18",2,0.01,1,82,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"19",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,78,0,10000,0,10000,0,10000,0,1
"20",2,0.01,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,79,0,10000,0,10000,0,10000,0,1
"21",2,0.0125,1,60,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"22",2,0.0125,1,64,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"23",2,0.0125,1,61,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"24",2,0.0125,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"25",2,0.0125,1,61,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"26",2,0.0125,1,65,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"27",2,0.0125,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"28",2,0.0125,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"29",2,0.0125,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"30",2,0.0125,1,64,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"31",2,0.0125,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"32",2,0.0125,0,10000,1,55,0.1213694,0.000140892,0.10949,8.54e-06,4272.4,114821.84,9,1,64,0,10000,0,10000,0,10000,1,0
"33",2,0.0125,1,63,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"34",2,0.0125,1,63,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"35",2,0.0125,1,63,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"36",2,0.0125,1,64,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"37",2,0.0125,1,61,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"38",2,0.0125,1,67,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"39",2,0.0125,1,67,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"40",2,0.0125,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,61,0,10000,0,10000,0,10000,0,1
"41",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"42",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"43",2,0.015,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"44",2,0.015,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"45",2,0.015,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"46",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"47",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,52,0,10000,0,10000,0,10000,0,1
"48",2,0.015,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"49",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,55,0,10000,0,10000,0,10000,0,1
"50",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"51",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,53,0,10000,0,10000,0,10000,0,1
"52",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"53",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"54",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,59,0,10000,0,10000,0,10000,0,1
"55",2,0.015,1,54,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"56",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,53,0,10000,0,10000,0,10000,0,1
"57",2,0.015,1,52,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"58",2,0.015,1,53,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"59",2,0.015,1,52,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"60",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,55,0,10000,0,10000,0,10000,0,1
"61",2,0.0175,1,45,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
